Year,Original treatment rate from study (mg a.i./seed),MRID,Chemical,Collected from,Mean (ng a.i./g; normalized to 1.3 mg a.i./seed),95% CI (±),Maximum single value,Number of samples,% detections (quantifications),Plant,Type,Normalized To
2014,0.088,50025901,clothianidin,Bees,<LOD (0.27),NA,<LOD (0.27),15,0 (0),Soy,Nectar,0.16
2015,0.088,50025902,clothianidin,Bees,<LOQ (1.2),NA,<LOQ (1.2),26,4 (0),Soy,Nectar,0.16
2015,0.18,50025902,imidacloprid,Bees,0.62,0.16,1.2,11,45 (9),Soy,Nectar,0.16
2014,0.18,50025901,imidacloprid,Bees,0.69,0.14,1.3,15,60 (7),Soy,Nectar,0.16
2015,0.0756,49804104,thiamethoxam,Bees,0.97,0.52,2.4,9,33 (33),Soy,Nectar,0.16
2015,0.0756,49804104,thiamethoxam,Bees,2.7,2.5,11.7,9,56 (56),Soy,Nectar,0.16
2015,0.35,49904901,Clothianidin,Plant,0.98,0.95,4.53,9,56 (22),Cotton,Pollen,0.35
2015,0.35,49904901,Clothianidin,Plant,0.48,0.36,1.8,9,44 (11),Cotton,Pollen,0.35
2013,0.3,49686801,Thiamethoxam,Plant,0.71,0.33,1.05,3,33 (0),Cotton,Pollen,0.35
2013,0.3,49686801,Thiamethoxam,Plant,<LOD (0.54),NA,<LOD (0.54),3,0 (0),Cotton,Pollen,0.35
2013,0.3,49686801,Thiamethoxam,Plant,<LOD (0.54),NA,<LOD (0.54),3,0 (0),Cotton,Pollen,0.35
2015,0.35,49904901,Clothianidin,Plant,<LOD (0.1),NA,<LOD (0.1),9,0 (0),Cotton,Nectar,0.35
2015,0.35,49904901,Clothianidin,Plant,<LOD (0.1),NA,<LOD (0.1),9,0 (0),Cotton,Nectar,0.35
2013,0.3,49686801,Thiamethoxam,Plant,1.74,0.22,1.97,3,100 (33),Cotton,Nectar,0.35
2013,0.3,49686801,Thiamethoxam,Plant,1.18,0.27,1.46,3,100 (33),Cotton,Nectar,0.35
2013,0.3,49686801,Thiamethoxam,Plant,1.05,NA,<LOQ(-1.05),2,100 (0),Cotton,Nectar,0.35
