"","OCEANA.Class","OCEANA.fieldacres","OCEANA.Commodity","OCEANA.Bin","OCEANA.Year","OCEANA.year","OCEANA.threshold","OCEANA.NASSacres","OCEANA.County"
"39",50,27.6103117129913,"CUCUMBERS","Row Crops",2008,2008,12,1067,"OCEANA"
"42",66,4062.82625102043,"CHERRIES","Cherries",2008,2008,12,9988,"OCEANA"
"43",67,11.5077895269751,"PEACHES","Tree Crops",2008,2008,12,1888,"OCEANA"
"44",68,481.932940121198,"APPLES","Apples",2008,2008,12,3685,"OCEANA"
"45",206,153.010567765153,"CARROTS","Row Crops",2008,2008,12,1386,"OCEANA"
"46",207,334.381237987028,"ASPARAGUS","Row Crops",2008,2008,12,8670,"OCEANA"
"47",222,234.660418314932,"SQUASH","Row Crops",2008,2008,12,1976,"OCEANA"
"48",229,11.1544173414655,"PUMPKINS","Pumpkins",2008,2008,12,444,"OCEANA"
"49",242,68.2375881291559,"BLUEBERRIES","Blueberries",2008,2008,12,89,"OCEANA"
"50",1,13312.7771881493,"CORN","Corn",2008,2008,11,19615,"OCEANA"
"51",5,1256.06224030105,"SOYBEANS","Soy",2008,2008,11,1736,"OCEANA"
"52",24,1433.03237850385,"WHEAT","Winter Wheat",2008,2008,11,3182,"OCEANA"
"53",27,216.087273585576,"RYE","Rye",2008,2008,11,1159,"OCEANA"
"54",28,142.799881822277,"OATS","Row Crops",2008,2008,11,219,"OCEANA"
"55",36,7020.02035253063,"HAY","Alfalfa",2008,2008,11,22687,"OCEANA"
"57",50,27.1662382074493,"CUCUMBERS","Row Crops",2008,2008,11,1067,"OCEANA"
"60",66,4501.10613964002,"CHERRIES","Cherries",2008,2008,11,9988,"OCEANA"
"61",67,11.5077895269751,"PEACHES","Tree Crops",2008,2008,11,1888,"OCEANA"
"62",68,484.470112819045,"APPLES","Apples",2008,2008,11,3685,"OCEANA"
"63",206,186.594781035274,"CARROTS","Row Crops",2008,2008,11,1386,"OCEANA"
"64",207,340.16965439286,"ASPARAGUS","Row Crops",2008,2008,11,8670,"OCEANA"
"65",222,236.563784363992,"SQUASH","Row Crops",2008,2008,11,1976,"OCEANA"
"66",229,11.1544173414655,"PUMPKINS","Pumpkins",2008,2008,11,444,"OCEANA"
"67",242,66.9525282895233,"BLUEBERRIES","Blueberries",2008,2008,11,89,"OCEANA"
"68",1,13745.2275492038,"CORN","Corn",2008,2008,10,19615,"OCEANA"
"69",5,1284.05852797287,"SOYBEANS","Soy",2008,2008,10,1736,"OCEANA"
"70",24,1432.74243224759,"WHEAT","Winter Wheat",2008,2008,10,3182,"OCEANA"
"71",27,218.881687022558,"RYE","Rye",2008,2008,10,1159,"OCEANA"
"72",28,146.952451183092,"OATS","Row Crops",2008,2008,10,219,"OCEANA"
"73",36,7256.01871688639,"HAY","Alfalfa",2008,2008,10,22687,"OCEANA"
"75",50,27.1662382074493,"CUCUMBERS","Row Crops",2008,2008,10,1067,"OCEANA"
"78",66,4934.35847580933,"CHERRIES","Cherries",2008,2008,10,9988,"OCEANA"
"79",67,11.5077895269751,"PEACHES","Tree Crops",2008,2008,10,1888,"OCEANA"
"80",68,500.373934291057,"APPLES","Apples",2008,2008,10,3685,"OCEANA"
"81",206,188.148259254276,"CARROTS","Row Crops",2008,2008,10,1386,"OCEANA"
"82",207,343.735622726516,"ASPARAGUS","Row Crops",2008,2008,10,8670,"OCEANA"
"83",222,238.734648211672,"SQUASH","Row Crops",2008,2008,10,1976,"OCEANA"
"84",229,11.1544173414655,"PUMPKINS","Pumpkins",2008,2008,10,444,"OCEANA"
"85",242,82.5242424513855,"BLUEBERRIES","Blueberries",2008,2008,10,89,"OCEANA"
"86",1,13960.2733029956,"CORN","Corn",2008,2008,9,19615,"OCEANA"
"87",5,1310.88445937005,"SOYBEANS","Soy",2008,2008,9,1736,"OCEANA"
"88",24,1468.94870065324,"WHEAT","Winter Wheat",2008,2008,9,3182,"OCEANA"
"89",27,218.884389160376,"RYE","Rye",2008,2008,9,1159,"OCEANA"
"90",28,146.952451183092,"OATS","Row Crops",2008,2008,9,219,"OCEANA"
"91",36,7386.93334030717,"HAY","Alfalfa",2008,2008,9,22687,"OCEANA"
"93",50,27.1662382074493,"CUCUMBERS","Row Crops",2008,2008,9,1067,"OCEANA"
"96",66,5164.03732223759,"CHERRIES","Cherries",2008,2008,9,9988,"OCEANA"
"97",67,11.5077895269751,"PEACHES","Tree Crops",2008,2008,9,1888,"OCEANA"
"98",68,509.204358638259,"APPLES","Apples",2008,2008,9,3685,"OCEANA"
"99",206,189.479246116082,"CARROTS","Row Crops",2008,2008,9,1386,"OCEANA"
"100",207,343.328919327596,"ASPARAGUS","Row Crops",2008,2008,9,8670,"OCEANA"
"101",222,239.127773052086,"SQUASH","Row Crops",2008,2008,9,1976,"OCEANA"
"102",229,11.1544173414655,"PUMPKINS","Pumpkins",2008,2008,9,444,"OCEANA"
"103",242,111.433003221928,"BLUEBERRIES","Blueberries",2008,2008,9,89,"OCEANA"
"104",1,14105.8753299085,"CORN","Corn",2008,2008,8,19615,"OCEANA"
"105",5,1315.86648148734,"SOYBEANS","Soy",2008,2008,8,1736,"OCEANA"
"106",24,1492.53120759284,"WHEAT","Winter Wheat",2008,2008,8,3182,"OCEANA"
"107",27,218.884389160376,"RYE","Rye",2008,2008,8,1159,"OCEANA"
"108",28,146.952451183092,"OATS","Row Crops",2008,2008,8,219,"OCEANA"
"109",36,7511.57503390089,"HAY","Alfalfa",2008,2008,8,22687,"OCEANA"
"111",50,27.1662382074493,"CUCUMBERS","Row Crops",2008,2008,8,1067,"OCEANA"
"114",66,5352.44965420766,"CHERRIES","Cherries",2008,2008,8,9988,"OCEANA"
"115",67,11.5077895269751,"PEACHES","Tree Crops",2008,2008,8,1888,"OCEANA"
"116",68,511.54005702533,"APPLES","Apples",2008,2008,8,3685,"OCEANA"
"117",206,178.613778979333,"CARROTS","Row Crops",2008,2008,8,1386,"OCEANA"
"118",207,343.826105989658,"ASPARAGUS","Row Crops",2008,2008,8,8670,"OCEANA"
"119",222,239.672115534708,"SQUASH","Row Crops",2008,2008,8,1976,"OCEANA"
"120",229,11.1544173414655,"PUMPKINS","Pumpkins",2008,2008,8,444,"OCEANA"
"121",242,112.290331545965,"BLUEBERRIES","Blueberries",2008,2008,8,89,"OCEANA"
"122",1,14327.7844431738,"CORN","Corn",2008,2008,7,19615,"OCEANA"
"123",5,1319.8316620955,"SOYBEANS","Soy",2008,2008,7,1736,"OCEANA"
"124",24,1546.75228685969,"WHEAT","Winter Wheat",2008,2008,7,3182,"OCEANA"
"125",27,219.226645934364,"RYE","Rye",2008,2008,7,1159,"OCEANA"
"126",28,146.952451183092,"OATS","Row Crops",2008,2008,7,219,"OCEANA"
"127",36,7569.84900576491,"HAY","Alfalfa",2008,2008,7,22687,"OCEANA"
"129",50,27.1662382074493,"CUCUMBERS","Row Crops",2008,2008,7,1067,"OCEANA"
"132",66,5544.6453581359,"CHERRIES","Cherries",2008,2008,7,9988,"OCEANA"
"133",67,11.5077895269751,"PEACHES","Tree Crops",2008,2008,7,1888,"OCEANA"
"134",68,511.788976159718,"APPLES","Apples",2008,2008,7,3685,"OCEANA"
"135",206,179.582224980251,"CARROTS","Row Crops",2008,2008,7,1386,"OCEANA"
"136",207,343.828367700217,"ASPARAGUS","Row Crops",2008,2008,7,8670,"OCEANA"
"137",222,239.411401208734,"SQUASH","Row Crops",2008,2008,7,1976,"OCEANA"
"138",229,11.1544173414655,"PUMPKINS","Pumpkins",2008,2008,7,444,"OCEANA"
"139",242,112.290331576129,"BLUEBERRIES","Blueberries",2008,2008,7,89,"OCEANA"
"140",1,14447.4373401062,"CORN","Corn",2008,2008,6,19615,"OCEANA"
"141",5,1321.61022826503,"SOYBEANS","Soy",2008,2008,6,1736,"OCEANA"
"142",24,1560.63097046495,"WHEAT","Winter Wheat",2008,2008,6,3182,"OCEANA"
"143",27,219.501886396537,"RYE","Rye",2008,2008,6,1159,"OCEANA"
"144",28,159.95422227699,"OATS","Row Crops",2008,2008,6,219,"OCEANA"
"145",36,7678.2092867265,"HAY","Alfalfa",2008,2008,6,22687,"OCEANA"
"147",50,27.1873246314941,"CUCUMBERS","Row Crops",2008,2008,6,1067,"OCEANA"
"150",66,5808.26275747567,"CHERRIES","Cherries",2008,2008,6,9988,"OCEANA"
"151",67,11.5077895269751,"PEACHES","Tree Crops",2008,2008,6,1888,"OCEANA"
"152",68,538.208449754762,"APPLES","Apples",2008,2008,6,3685,"OCEANA"
"153",206,179.881955080264,"CARROTS","Row Crops",2008,2008,6,1386,"OCEANA"
"154",207,344.182040170184,"ASPARAGUS","Row Crops",2008,2008,6,8670,"OCEANA"
"155",222,240.671160687737,"SQUASH","Row Crops",2008,2008,6,1976,"OCEANA"
"156",229,11.1544262097357,"PUMPKINS","Pumpkins",2008,2008,6,444,"OCEANA"
"157",242,96.3821137647095,"BLUEBERRIES","Blueberries",2008,2008,6,89,"OCEANA"
"158",1,14596.4175389009,"CORN","Corn",2008,2008,5,19615,"OCEANA"
"159",5,1361.10020811152,"SOYBEANS","Soy",2008,2008,5,1736,"OCEANA"
"160",24,1584.28983076823,"WHEAT","Winter Wheat",2008,2008,5,3182,"OCEANA"
"161",27,220.000691155952,"RYE","Rye",2008,2008,5,1159,"OCEANA"
"162",28,159.956232538906,"OATS","Row Crops",2008,2008,5,219,"OCEANA"
"163",36,7749.17408586781,"HAY","Alfalfa",2008,2008,5,22687,"OCEANA"
"165",50,27.1873246314941,"CUCUMBERS","Row Crops",2008,2008,5,1067,"OCEANA"
"168",66,6067.18070098502,"CHERRIES","Cherries",2008,2008,5,9988,"OCEANA"
"169",67,11.6751915814282,"PEACHES","Tree Crops",2008,2008,5,1888,"OCEANA"
"170",68,568.573484026081,"APPLES","Apples",2008,2008,5,3685,"OCEANA"
"171",206,180.840718227114,"CARROTS","Row Crops",2008,2008,5,1386,"OCEANA"
"172",207,345.02912458632,"ASPARAGUS","Row Crops",2008,2008,5,8670,"OCEANA"
"173",222,242.209468644543,"SQUASH","Row Crops",2008,2008,5,1976,"OCEANA"
"174",229,11.1544262097357,"PUMPKINS","Pumpkins",2008,2008,5,444,"OCEANA"
"175",242,96.2924106982013,"BLUEBERRIES","Blueberries",2008,2008,5,89,"OCEANA"
"176",1,14847.4312955015,"CORN","Corn",2008,2008,4,19615,"OCEANA"
"177",5,1367.91090438765,"SOYBEANS","Soy",2008,2008,4,1736,"OCEANA"
"178",24,1608.80775781782,"WHEAT","Winter Wheat",2008,2008,4,3182,"OCEANA"
"179",27,222.94632504041,"RYE","Rye",2008,2008,4,1159,"OCEANA"
"180",28,148.493928038308,"OATS","Row Crops",2008,2008,4,219,"OCEANA"
"181",36,7871.04412119161,"HAY","Alfalfa",2008,2008,4,22687,"OCEANA"
"183",50,27.1873246616583,"CUCUMBERS","Row Crops",2008,2008,4,1067,"OCEANA"
"186",66,6292.06471574929,"CHERRIES","Cherries",2008,2008,4,9988,"OCEANA"
"187",67,11.6751915814282,"PEACHES","Tree Crops",2008,2008,4,1888,"OCEANA"
"188",68,574.10911991993,"APPLES","Apples",2008,2008,4,3685,"OCEANA"
"189",206,181.670957032078,"CARROTS","Row Crops",2008,2008,4,1386,"OCEANA"
"190",207,345.077864660018,"ASPARAGUS","Row Crops",2008,2008,4,8670,"OCEANA"
"191",222,254.676943527983,"SQUASH","Row Crops",2008,2008,4,1976,"OCEANA"
"192",229,11.1544262097357,"PUMPKINS","Pumpkins",2008,2008,4,444,"OCEANA"
"193",242,97.1843467230017,"BLUEBERRIES","Blueberries",2008,2008,4,89,"OCEANA"
"194",1,15207.2724029593,"CORN","Corn",2008,2008,3,19615,"OCEANA"
"195",5,1357.68363079771,"SOYBEANS","Soy",2008,2008,3,1736,"OCEANA"
"196",24,1745.87726497723,"WHEAT","Winter Wheat",2008,2008,3,3182,"OCEANA"
"197",27,221.768254637523,"RYE","Rye",2008,2008,3,1159,"OCEANA"
"198",28,148.493928038308,"OATS","Row Crops",2008,2008,3,219,"OCEANA"
"200",36,8014.72006184866,"HAY","Alfalfa",2008,2008,3,22687,"OCEANA"
"202",50,26.6849696078839,"CUCUMBERS","Row Crops",2008,2008,3,1067,"OCEANA"
"205",66,6823.24181752401,"CHERRIES","Cherries",2008,2008,3,9988,"OCEANA"
"206",67,11.8880771842126,"PEACHES","Tree Crops",2008,2008,3,1888,"OCEANA"
"207",68,545.383528988369,"APPLES","Apples",2008,2008,3,3685,"OCEANA"
"208",206,160.339315963591,"CARROTS","Row Crops",2008,2008,3,1386,"OCEANA"
"209",207,346.055312166403,"ASPARAGUS","Row Crops",2008,2008,3,8670,"OCEANA"
"210",222,255.324820290828,"SQUASH","Row Crops",2008,2008,3,1976,"OCEANA"
"211",229,11.1544262097357,"PUMPKINS","Pumpkins",2008,2008,3,444,"OCEANA"
"212",242,111.939805321105,"BLUEBERRIES","Blueberries",2008,2008,3,89,"OCEANA"
"213",1,15449.5270947447,"CORN","Corn",2008,2008,2,19615,"OCEANA"
"214",5,1385.68041723433,"SOYBEANS","Soy",2008,2008,2,1736,"OCEANA"
"215",24,1798.68281426151,"WHEAT","Winter Wheat",2008,2008,2,3182,"OCEANA"
"216",27,237.353540359799,"RYE","Rye",2008,2008,2,1159,"OCEANA"
"217",28,148.493928038308,"OATS","Row Crops",2008,2008,2,219,"OCEANA"
"219",36,8123.48113608016,"HAY","Alfalfa",2008,2008,2,22687,"OCEANA"
"221",50,26.6852490488898,"CUCUMBERS","Row Crops",2008,2008,2,1067,"OCEANA"
"224",66,7549.37824011742,"CHERRIES","Cherries",2008,2008,2,9988,"OCEANA"
"225",67,11.8880771842126,"PEACHES","Tree Crops",2008,2008,2,1888,"OCEANA"
"226",68,603.609549753102,"APPLES","Apples",2008,2008,2,3685,"OCEANA"
"228",206,149.225628868088,"CARROTS","Row Crops",2008,2008,2,1386,"OCEANA"
"229",207,347.366991959247,"ASPARAGUS","Row Crops",2008,2008,2,8670,"OCEANA"
"230",222,277.948566225239,"SQUASH","Row Crops",2008,2008,2,1976,"OCEANA"
"231",229,11.1544262097357,"PUMPKINS","Pumpkins",2008,2008,2,444,"OCEANA"
"232",242,121.00311439694,"BLUEBERRIES","Blueberries",2008,2008,2,89,"OCEANA"
"233",1,15859.2711577009,"CORN","Corn",2008,2008,1,19615,"OCEANA"
"234",5,1398.11189843305,"SOYBEANS","Soy",2008,2008,1,1736,"OCEANA"
"235",24,1871.7074001746,"WHEAT","Winter Wheat",2008,2008,1,3182,"OCEANA"
"236",27,237.226859924352,"RYE","Rye",2008,2008,1,1159,"OCEANA"
"237",28,148.493928038308,"OATS","Row Crops",2008,2008,1,219,"OCEANA"
"239",36,8228.35722052457,"HAY","Alfalfa",2008,2008,1,22687,"OCEANA"
"241",50,26.6852490488898,"CUCUMBERS","Row Crops",2008,2008,1,1067,"OCEANA"
"244",66,8079.75594373375,"CHERRIES","Cherries",2008,2008,1,9988,"OCEANA"
"245",67,11.8880771842126,"PEACHES","Tree Crops",2008,2008,1,1888,"OCEANA"
"246",68,618.128385918135,"APPLES","Apples",2008,2008,1,3685,"OCEANA"
"248",206,149.535897549921,"CARROTS","Row Crops",2008,2008,1,1386,"OCEANA"
"249",207,347.371701614041,"ASPARAGUS","Row Crops",2008,2008,1,8670,"OCEANA"
"250",222,261.386977697218,"SQUASH","Row Crops",2008,2008,1,1976,"OCEANA"
"251",229,11.1544262097357,"PUMPKINS","Pumpkins",2008,2008,1,444,"OCEANA"
"252",242,242.936042136066,"BLUEBERRIES","Blueberries",2008,2008,1,89,"OCEANA"
"1062",1,6571.44034064812,"CORN","Corn",2012,2012,14,29747,"OCEANA"
"1063",4,16.6298470914496,"SORGHUM","Row Crops",2012,2012,14,60,"OCEANA"
"1064",5,1666.22269632727,"SOYBEANS","Soy",2012,2012,14,4698,"OCEANA"
"1065",24,634.41835136349,"WHEAT","Winter Wheat",2012,2012,14,5014,"OCEANA"
"1066",27,42.1241364607282,"RYE","Rye",2012,2012,14,803,"OCEANA"
"1067",36,2891.28133631268,"HAY","Alfalfa",2012,2012,14,20957,"OCEANA"
"1070",66,316.782421153923,"CHERRIES","Cherries",2012,2012,14,9959,"OCEANA"
"1071",67,15.1742334925391,"PEACHES","Tree Crops",2012,2012,14,1285,"OCEANA"
"1072",68,187.404420054983,"APPLES","Apples",2012,2012,14,4299,"OCEANA"
"1073",206,138.617573260087,"CARROTS","Row Crops",2012,2012,14,1203,"OCEANA"
"1074",207,1337.29052320536,"ASPARAGUS","Row Crops",2012,2012,14,8535,"OCEANA"
"1076",222,393.839681878169,"SQUASH","Row Crops",2012,2012,14,2996,"OCEANA"
"1077",229,68.1489051852057,"PUMPKINS","Pumpkins",2012,2012,14,730,"OCEANA"
"1079",1,10011.0378723713,"CORN","Corn",2012,2012,13,29747,"OCEANA"
"1080",4,18.6028260456604,"SORGHUM","Row Crops",2012,2012,13,60,"OCEANA"
"1081",5,2168.69792997437,"SOYBEANS","Soy",2012,2012,13,4698,"OCEANA"
"1082",24,931.511555583239,"WHEAT","Winter Wheat",2012,2012,13,5014,"OCEANA"
"1083",27,97.1718309995398,"RYE","Rye",2012,2012,13,803,"OCEANA"
"1084",36,5863.66118546729,"HAY","Alfalfa",2012,2012,13,20957,"OCEANA"
"1088",66,1397.50935503106,"CHERRIES","Cherries",2012,2012,13,9959,"OCEANA"
"1089",67,72.2241151464661,"PEACHES","Tree Crops",2012,2012,13,1285,"OCEANA"
"1090",68,525.078154861934,"APPLES","Apples",2012,2012,13,4299,"OCEANA"
"1092",206,145.5974593314,"CARROTS","Row Crops",2012,2012,13,1203,"OCEANA"
"1093",207,2233.87911324933,"ASPARAGUS","Row Crops",2012,2012,13,8535,"OCEANA"
"1095",222,669.57410420108,"SQUASH","Row Crops",2012,2012,13,2996,"OCEANA"
"1096",229,115.162196141952,"PUMPKINS","Pumpkins",2012,2012,13,730,"OCEANA"
"1098",1,11009.1455480937,"CORN","Corn",2012,2012,12,29747,"OCEANA"
"1099",4,18.6028260456604,"SORGHUM","Row Crops",2012,2012,12,60,"OCEANA"
"1100",5,2312.53908768284,"SOYBEANS","Soy",2012,2012,12,4698,"OCEANA"
"1101",24,1084.65120231914,"WHEAT","Winter Wheat",2012,2012,12,5014,"OCEANA"
"1102",27,120.396972739538,"RYE","Rye",2012,2012,12,803,"OCEANA"
"1103",36,6992.97785001027,"HAY","Alfalfa",2012,2012,12,20957,"OCEANA"
"1107",66,1982.51533570415,"CHERRIES","Cherries",2012,2012,12,9959,"OCEANA"
"1108",67,106.621341632146,"PEACHES","Tree Crops",2012,2012,12,1285,"OCEANA"
"1109",68,771.950023480764,"APPLES","Apples",2012,2012,12,4299,"OCEANA"
"1111",206,147.389701972383,"CARROTS","Row Crops",2012,2012,12,1203,"OCEANA"
"1112",207,2439.96977475253,"ASPARAGUS","Row Crops",2012,2012,12,8535,"OCEANA"
"1114",222,707.594818802331,"SQUASH","Row Crops",2012,2012,12,2996,"OCEANA"
"1115",229,143.333926433271,"PUMPKINS","Pumpkins",2012,2012,12,730,"OCEANA"
"1117",1,11449.7561680848,"CORN","Corn",2012,2012,11,29747,"OCEANA"
"1118",4,20.5083632222327,"SORGHUM","Row Crops",2012,2012,11,60,"OCEANA"
"1119",5,2353.85929987945,"SOYBEANS","Soy",2012,2012,11,4698,"OCEANA"
"1120",24,1129.8789933859,"WHEAT","Winter Wheat",2012,2012,11,5014,"OCEANA"
"1121",27,133.553164218268,"RYE","Rye",2012,2012,11,803,"OCEANA"
"1122",36,7529.68760103243,"HAY","Alfalfa",2012,2012,11,20957,"OCEANA"
"1126",66,2186.20173767992,"CHERRIES","Cherries",2012,2012,11,9959,"OCEANA"
"1127",67,107.146230146227,"PEACHES","Tree Crops",2012,2012,11,1285,"OCEANA"
"1128",68,907.971937830779,"APPLES","Apples",2012,2012,11,4299,"OCEANA"
"1130",206,148.949146636929,"CARROTS","Row Crops",2012,2012,11,1203,"OCEANA"
"1131",207,2541.15608781957,"ASPARAGUS","Row Crops",2012,2012,11,8535,"OCEANA"
"1133",222,716.980402719891,"SQUASH","Row Crops",2012,2012,11,2996,"OCEANA"
"1134",229,132.487279877515,"PUMPKINS","Pumpkins",2012,2012,11,730,"OCEANA"
"1136",1,11821.3095381829,"CORN","Corn",2012,2012,10,29747,"OCEANA"
"1137",4,21.1672015290936,"SORGHUM","Row Crops",2012,2012,10,60,"OCEANA"
"1138",5,2431.40430587598,"SOYBEANS","Soy",2012,2012,10,4698,"OCEANA"
"1139",24,1177.66028025768,"WHEAT","Winter Wheat",2012,2012,10,5014,"OCEANA"
"1140",27,146.558114466398,"RYE","Rye",2012,2012,10,803,"OCEANA"
"1141",36,7777.04786719388,"HAY","Alfalfa",2012,2012,10,20957,"OCEANA"
"1145",66,2452.65075134223,"CHERRIES","Cherries",2012,2012,10,9959,"OCEANA"
"1146",67,107.401428890724,"PEACHES","Tree Crops",2012,2012,10,1285,"OCEANA"
"1147",68,1007.60280977467,"APPLES","Apples",2012,2012,10,4299,"OCEANA"
"1149",206,149.678340129195,"CARROTS","Row Crops",2012,2012,10,1203,"OCEANA"
"1150",207,2618.79460188335,"ASPARAGUS","Row Crops",2012,2012,10,8535,"OCEANA"
"1152",222,744.090362311127,"SQUASH","Row Crops",2012,2012,10,2996,"OCEANA"
"1153",229,132.681615230729,"PUMPKINS","Pumpkins",2012,2012,10,730,"OCEANA"
"1155",1,11994.3786611817,"CORN","Corn",2012,2012,9,29747,"OCEANA"
"1156",4,21.2384456831824,"SORGHUM","Row Crops",2012,2012,9,60,"OCEANA"
"1157",5,2447.54679162488,"SOYBEANS","Soy",2012,2012,9,4698,"OCEANA"
"1158",24,1197.56645173198,"WHEAT","Winter Wheat",2012,2012,9,5014,"OCEANA"
"1159",27,146.911547643889,"RYE","Rye",2012,2012,9,803,"OCEANA"
"1160",36,7912.5667288227,"HAY","Alfalfa",2012,2012,9,20957,"OCEANA"
"1164",66,2566.91021590887,"CHERRIES","Cherries",2012,2012,9,9959,"OCEANA"
"1165",67,107.235203661768,"PEACHES","Tree Crops",2012,2012,9,1285,"OCEANA"
"1166",68,1057.57592894604,"APPLES","Apples",2012,2012,9,4299,"OCEANA"
"1168",206,149.678340129195,"CARROTS","Row Crops",2012,2012,9,1203,"OCEANA"
"1169",207,2676.91454513496,"ASPARAGUS","Row Crops",2012,2012,9,8535,"OCEANA"
"1171",222,757.108883576717,"SQUASH","Row Crops",2012,2012,9,2996,"OCEANA"
"1172",229,132.703985351976,"PUMPKINS","Pumpkins",2012,2012,9,730,"OCEANA"
"1174",1,12240.7322977981,"CORN","Corn",2012,2012,8,29747,"OCEANA"
"1175",4,21.2384456831824,"SORGHUM","Row Crops",2012,2012,8,60,"OCEANA"
"1176",5,2473.37612834705,"SOYBEANS","Soy",2012,2012,8,4698,"OCEANA"
"1177",24,1216.01160572388,"WHEAT","Winter Wheat",2012,2012,8,5014,"OCEANA"
"1178",27,146.747259166732,"RYE","Rye",2012,2012,8,803,"OCEANA"
"1179",36,7984.3866506527,"HAY","Alfalfa",2012,2012,8,20957,"OCEANA"
"1183",66,2679.52367582233,"CHERRIES","Cherries",2012,2012,8,9959,"OCEANA"
"1184",67,107.235203661768,"PEACHES","Tree Crops",2012,2012,8,1285,"OCEANA"
"1185",68,1059.83876861088,"APPLES","Apples",2012,2012,8,4299,"OCEANA"
"1187",206,150.222682611816,"CARROTS","Row Crops",2012,2012,8,1203,"OCEANA"
"1188",207,2660.44492183647,"ASPARAGUS","Row Crops",2012,2012,8,8535,"OCEANA"
"1190",222,758.72103958068,"SQUASH","Row Crops",2012,2012,8,2996,"OCEANA"
"1191",229,133.21613197154,"PUMPKINS","Pumpkins",2012,2012,8,730,"OCEANA"
"1193",1,12373.8070713515,"CORN","Corn",2012,2012,7,29747,"OCEANA"
"1194",4,21.4555981606952,"SORGHUM","Row Crops",2012,2012,7,60,"OCEANA"
"1195",5,2480.78128028335,"SOYBEANS","Soy",2012,2012,7,4698,"OCEANA"
"1196",24,1242.36272407928,"WHEAT","Winter Wheat",2012,2012,7,5014,"OCEANA"
"1197",27,136.160815593692,"RYE","Rye",2012,2012,7,803,"OCEANA"
"1198",36,8123.67864636462,"HAY","Alfalfa",2012,2012,7,20957,"OCEANA"
"1202",66,2804.95409382691,"CHERRIES","Cherries",2012,2012,7,9959,"OCEANA"
"1203",67,106.488771669825,"PEACHES","Tree Crops",2012,2012,7,1285,"OCEANA"
"1204",68,1100.18471628618,"APPLES","Apples",2012,2012,7,4299,"OCEANA"
"1206",206,151.189277436727,"CARROTS","Row Crops",2012,2012,7,1203,"OCEANA"
"1207",207,2706.53215980877,"ASPARAGUS","Row Crops",2012,2012,7,8535,"OCEANA"
