"","LANGLADE.Class","LANGLADE.fieldacres","LANGLADE.Commodity","LANGLADE.Bin","LANGLADE.Year","LANGLADE.year","LANGLADE.threshold","LANGLADE.NASSacres","LANGLADE.County"
"103",6,99.0970596272772,"SUNFLOWER","Row Crops",2008,2008,8,320,"LANGLADE"
"104",12,1147.95568896751,"SWEET CORN","Sweet Corn",2008,2008,8,3091,"LANGLADE"
"105",21,146.504291154481,"BARLEY","Row Crops",2008,2008,8,465,"LANGLADE"
"107",24,3679.95828542633,"WHEAT","Winter Wheat",2008,2008,8,2017,"LANGLADE"
"108",28,5052.68249556298,"OATS","Row Crops",2008,2008,8,8414,"LANGLADE"
"109",36,14400.3041766196,"HAY","Alfalfa",2008,2008,8,24438,"LANGLADE"
"111",43,9307.13544404219,"POTATOES","Potatoes",2008,2008,8,20430,"LANGLADE"
"112",53,2047.53817652633,"PEAS","Row Crops",2008,2008,8,2342,"LANGLADE"
"117",1,9058.236528948,"CORN","Corn",2008,2008,7,15223,"LANGLADE"
"119",5,2006.20950825305,"SOYBEANS","Soy",2008,2008,7,3101,"LANGLADE"
"120",6,99.8658198122504,"SUNFLOWER","Row Crops",2008,2008,7,320,"LANGLADE"
"121",12,1150.30436507269,"SWEET CORN","Sweet Corn",2008,2008,7,3091,"LANGLADE"
"122",21,146.507417913525,"BARLEY","Row Crops",2008,2008,7,465,"LANGLADE"
"124",24,3688.11327691201,"WHEAT","Winter Wheat",2008,2008,7,2017,"LANGLADE"
"125",28,5058.44933685481,"OATS","Row Crops",2008,2008,7,8414,"LANGLADE"
"126",36,14500.4070507256,"HAY","Alfalfa",2008,2008,7,24438,"LANGLADE"
"128",43,9341.2466218764,"POTATOES","Potatoes",2008,2008,7,20430,"LANGLADE"
"129",53,2055.68001078684,"PEAS","Row Crops",2008,2008,7,2342,"LANGLADE"
"134",1,9039.14563719591,"CORN","Corn",2008,2008,6,15223,"LANGLADE"
"136",5,2012.51941493626,"SOYBEANS","Soy",2008,2008,6,3101,"LANGLADE"
"137",6,99.9429025459045,"SUNFLOWER","Row Crops",2008,2008,6,320,"LANGLADE"
"138",12,1150.88614752219,"SWEET CORN","Sweet Corn",2008,2008,6,3091,"LANGLADE"
"139",21,146.507417913525,"BARLEY","Row Crops",2008,2008,6,465,"LANGLADE"
"141",24,3694.67121903966,"WHEAT","Winter Wheat",2008,2008,6,2017,"LANGLADE"
"142",28,5062.24676529283,"OATS","Row Crops",2008,2008,6,8414,"LANGLADE"
"143",36,14687.3866890809,"HAY","Alfalfa",2008,2008,6,24438,"LANGLADE"
"145",43,9378.95011000435,"POTATOES","Potatoes",2008,2008,6,20430,"LANGLADE"
"146",53,2058.19324120614,"PEAS","Row Crops",2008,2008,6,2342,"LANGLADE"
"151",1,9140.39285754312,"CORN","Corn",2008,2008,5,15223,"LANGLADE"
"153",5,2015.93068320276,"SOYBEANS","Soy",2008,2008,5,3101,"LANGLADE"
"154",6,99.9429025459045,"SUNFLOWER","Row Crops",2008,2008,5,320,"LANGLADE"
"155",12,1164.54130703906,"SWEET CORN","Sweet Corn",2008,2008,5,3091,"LANGLADE"
"156",21,146.507417913525,"BARLEY","Row Crops",2008,2008,5,465,"LANGLADE"
"158",24,3701.68184078618,"WHEAT","Winter Wheat",2008,2008,5,2017,"LANGLADE"
"159",28,5083.18440169196,"OATS","Row Crops",2008,2008,5,8414,"LANGLADE"
"160",36,14940.3761880068,"HAY","Alfalfa",2008,2008,5,24438,"LANGLADE"
"162",43,9412.7538591147,"POTATOES","Potatoes",2008,2008,5,20430,"LANGLADE"
"163",53,2063.01659063317,"PEAS","Row Crops",2008,2008,5,2342,"LANGLADE"
"168",1,9201.56201025419,"CORN","Corn",2008,2008,4,15223,"LANGLADE"
"170",5,2025.72408789113,"SOYBEANS","Soy",2008,2008,4,3101,"LANGLADE"
"171",6,100.718990214594,"SUNFLOWER","Row Crops",2008,2008,4,320,"LANGLADE"
"172",12,1178.3875978393,"SWEET CORN","Sweet Corn",2008,2008,4,3091,"LANGLADE"
"173",21,147.610819109659,"BARLEY","Row Crops",2008,2008,4,465,"LANGLADE"
"175",24,3721.97983467174,"WHEAT","Winter Wheat",2008,2008,4,2017,"LANGLADE"
"176",28,5101.30686569246,"OATS","Row Crops",2008,2008,4,8414,"LANGLADE"
"177",36,15212.2022118081,"HAY","Alfalfa",2008,2008,4,24438,"LANGLADE"
"179",43,9508.06965830689,"POTATOES","Potatoes",2008,2008,4,20430,"LANGLADE"
"180",53,2097.0213603548,"PEAS","Row Crops",2008,2008,4,2342,"LANGLADE"
"185",1,9303.27323958635,"CORN","Corn",2008,2008,3,15223,"LANGLADE"
"187",5,2066.01854937554,"SOYBEANS","Soy",2008,2008,3,3101,"LANGLADE"
"188",6,102.911595773064,"SUNFLOWER","Row Crops",2008,2008,3,320,"LANGLADE"
"189",12,1185.10535877557,"SWEET CORN","Sweet Corn",2008,2008,3,3091,"LANGLADE"
"190",21,147.829675742943,"BARLEY","Row Crops",2008,2008,3,465,"LANGLADE"
"192",24,3790.366476555,"WHEAT","Winter Wheat",2008,2008,3,2017,"LANGLADE"
"193",28,5189.2683110942,"OATS","Row Crops",2008,2008,3,8414,"LANGLADE"
"194",36,15633.2762521242,"HAY","Alfalfa",2008,2008,3,24438,"LANGLADE"
"196",43,9570.89926114831,"POTATOES","Potatoes",2008,2008,3,20430,"LANGLADE"
"197",53,2110.46055812535,"PEAS","Row Crops",2008,2008,3,2342,"LANGLADE"
"202",1,9312.74711328788,"CORN","Corn",2008,2008,2,15223,"LANGLADE"
"204",5,2074.38084355606,"SOYBEANS","Soy",2008,2008,2,3101,"LANGLADE"
"205",6,103.95905386921,"SUNFLOWER","Row Crops",2008,2008,2,320,"LANGLADE"
"206",12,1187.79958899225,"SWEET CORN","Sweet Corn",2008,2008,2,3091,"LANGLADE"
"207",21,147.829675742943,"BARLEY","Row Crops",2008,2008,2,465,"LANGLADE"
"209",24,3813.72181611568,"WHEAT","Winter Wheat",2008,2008,2,2017,"LANGLADE"
"210",28,5192.34165434461,"OATS","Row Crops",2008,2008,2,8414,"LANGLADE"
"211",36,16305.7480265019,"HAY","Alfalfa",2008,2008,2,24438,"LANGLADE"
"213",43,9570.52476314433,"POTATOES","Potatoes",2008,2008,2,20430,"LANGLADE"
"214",53,2115.04906200093,"PEAS","Row Crops",2008,2008,2,2342,"LANGLADE"
"219",1,9363.87524360993,"CORN","Corn",2008,2008,1,15223,"LANGLADE"
"221",5,2062.98084538068,"SOYBEANS","Soy",2008,2008,1,3101,"LANGLADE"
"222",6,104.261333596924,"SUNFLOWER","Row Crops",2008,2008,1,320,"LANGLADE"
"223",12,1187.86551785504,"SWEET CORN","Sweet Corn",2008,2008,1,3091,"LANGLADE"
"224",21,147.23571127636,"BARLEY","Row Crops",2008,2008,1,465,"LANGLADE"
"226",24,3818.0055993174,"WHEAT","Winter Wheat",2008,2008,1,2017,"LANGLADE"
"227",28,5199.61523158586,"OATS","Row Crops",2008,2008,1,8414,"LANGLADE"
"228",36,17296.5497803804,"HAY","Alfalfa",2008,2008,1,24438,"LANGLADE"
"230",43,9586.95966837131,"POTATOES","Potatoes",2008,2008,1,20430,"LANGLADE"
"231",53,2118.46842123683,"PEAS","Row Crops",2008,2008,1,2342,"LANGLADE"
"837",1,8571.20653360081,"CORN","Corn",2012,2012,14,15565,"LANGLADE"
"838",5,2352.93619061777,"SOYBEANS","Soy",2012,2012,14,5156,"LANGLADE"
"839",12,2656.45969866604,"SWEET CORN","Sweet Corn",2012,2012,14,3134,"LANGLADE"
"840",21,10.300350157915,"BARLEY","Row Crops",2012,2012,14,889,"LANGLADE"
"841",24,2504.21429114125,"WHEAT","Winter Wheat",2012,2012,14,3077,"LANGLADE"
"842",28,3297.46668539138,"OATS","Row Crops",2012,2012,14,6209,"LANGLADE"
"843",36,8770.49539958497,"HAY","Alfalfa",2012,2012,14,21205,"LANGLADE"
"845",43,8486.21400421889,"POTATOES","Potatoes",2012,2012,14,15681,"LANGLADE"
"846",53,1453.78612413999,"PEAS","Row Crops",2012,2012,14,1888,"LANGLADE"
"850",1,10102.4875965602,"CORN","Corn",2012,2012,13,15565,"LANGLADE"
"851",5,2803.63881960951,"SOYBEANS","Soy",2012,2012,13,5156,"LANGLADE"
"852",12,2778.47071595897,"SWEET CORN","Sweet Corn",2012,2012,13,3134,"LANGLADE"
"853",21,47.2345620821844,"BARLEY","Row Crops",2012,2012,13,889,"LANGLADE"
"854",24,2748.75991549207,"WHEAT","Winter Wheat",2012,2012,13,3077,"LANGLADE"
"856",28,3534.40877363485,"OATS","Row Crops",2012,2012,13,6209,"LANGLADE"
"857",36,11198.1603776766,"HAY","Alfalfa",2012,2012,13,21205,"LANGLADE"
"859",43,9100.33739150818,"POTATOES","Potatoes",2012,2012,13,15681,"LANGLADE"
"860",53,1574.26908097356,"PEAS","Row Crops",2012,2012,13,1888,"LANGLADE"
"864",1,10581.7255256648,"CORN","Corn",2012,2012,12,15565,"LANGLADE"
"865",5,2901.86989246455,"SOYBEANS","Soy",2012,2012,12,5156,"LANGLADE"
"866",12,2802.77315022482,"SWEET CORN","Sweet Corn",2012,2012,12,3134,"LANGLADE"
"867",21,48.8323047338342,"BARLEY","Row Crops",2012,2012,12,889,"LANGLADE"
"868",24,2793.31564294623,"WHEAT","Winter Wheat",2012,2012,12,3077,"LANGLADE"
"870",28,3615.67302168856,"OATS","Row Crops",2012,2012,12,6209,"LANGLADE"
"871",36,12190.5474836948,"HAY","Alfalfa",2012,2012,12,21205,"LANGLADE"
"873",43,9191.28701794983,"POTATOES","Potatoes",2012,2012,12,15681,"LANGLADE"
"874",53,1615.44341802734,"PEAS","Row Crops",2012,2012,12,1888,"LANGLADE"
"878",1,10761.0383899969,"CORN","Corn",2012,2012,11,15565,"LANGLADE"
"879",5,2961.17523628738,"SOYBEANS","Soy",2012,2012,11,5156,"LANGLADE"
"880",12,2822.20687850652,"SWEET CORN","Sweet Corn",2012,2012,11,3134,"LANGLADE"
"881",21,49.0648578675855,"BARLEY","Row Crops",2012,2012,11,889,"LANGLADE"
"882",24,2808.8507984482,"WHEAT","Winter Wheat",2012,2012,11,3077,"LANGLADE"
"884",28,3638.25955005663,"OATS","Row Crops",2012,2012,11,6209,"LANGLADE"
"885",36,12571.2728751027,"HAY","Alfalfa",2012,2012,11,21205,"LANGLADE"
"887",43,9221.16404545555,"POTATOES","Potatoes",2012,2012,11,15681,"LANGLADE"
"888",53,1637.18828329768,"PEAS","Row Crops",2012,2012,11,1888,"LANGLADE"
"892",1,10859.8665663242,"CORN","Corn",2012,2012,10,15565,"LANGLADE"
"893",5,2988.82554290384,"SOYBEANS","Soy",2012,2012,10,5156,"LANGLADE"
"894",12,2840.83364830878,"SWEET CORN","Sweet Corn",2012,2012,10,3134,"LANGLADE"
"895",21,49.7539429183899,"BARLEY","Row Crops",2012,2012,10,889,"LANGLADE"
"896",24,2828.34551113989,"WHEAT","Winter Wheat",2012,2012,10,3077,"LANGLADE"
"898",28,3644.29052206998,"OATS","Row Crops",2012,2012,10,6209,"LANGLADE"
"899",36,12730.4483103181,"HAY","Alfalfa",2012,2012,10,21205,"LANGLADE"
"901",43,9250.86003922917,"POTATOES","Potatoes",2012,2012,10,15681,"LANGLADE"
"902",53,1641.38057707972,"PEAS","Row Crops",2012,2012,10,1888,"LANGLADE"
"906",1,10907.7339536634,"CORN","Corn",2012,2012,9,15565,"LANGLADE"
"907",5,3002.07415632802,"SOYBEANS","Soy",2012,2012,9,5156,"LANGLADE"
"908",12,2842.56278985861,"SWEET CORN","Sweet Corn",2012,2012,9,3134,"LANGLADE"
"909",21,49.7539429183899,"BARLEY","Row Crops",2012,2012,9,889,"LANGLADE"
"910",24,2830.66538630066,"WHEAT","Winter Wheat",2012,2012,9,3077,"LANGLADE"
"912",28,3644.57107670737,"OATS","Row Crops",2012,2012,9,6209,"LANGLADE"
"913",36,12853.0188925701,"HAY","Alfalfa",2012,2012,9,21205,"LANGLADE"
"915",43,9243.4342876886,"POTATOES","Potatoes",2012,2012,9,15681,"LANGLADE"
"916",53,1642.7372668432,"PEAS","Row Crops",2012,2012,9,1888,"LANGLADE"
"920",1,10907.4166161256,"CORN","Corn",2012,2012,8,15565,"LANGLADE"
"921",5,3015.77588123171,"SOYBEANS","Soy",2012,2012,8,5156,"LANGLADE"
"922",12,2843.89441734737,"SWEET CORN","Sweet Corn",2012,2012,8,3134,"LANGLADE"
"923",21,49.7539429183899,"BARLEY","Row Crops",2012,2012,8,889,"LANGLADE"
"924",24,2833.65322316723,"WHEAT","Winter Wheat",2012,2012,8,3077,"LANGLADE"
"926",28,3645.44481971704,"OATS","Row Crops",2012,2012,8,6209,"LANGLADE"
"927",36,12986.2704259827,"HAY","Alfalfa",2012,2012,8,21205,"LANGLADE"
"929",43,9247.74675319901,"POTATOES","Potatoes",2012,2012,8,15681,"LANGLADE"
"930",53,1644.23823467658,"PEAS","Row Crops",2012,2012,8,1888,"LANGLADE"
"934",1,10964.5114191278,"CORN","Corn",2012,2012,7,15565,"LANGLADE"
"935",5,3033.42676817399,"SOYBEANS","Soy",2012,2012,7,5156,"LANGLADE"
"936",12,2844.97933260397,"SWEET CORN","Sweet Corn",2012,2012,7,3134,"LANGLADE"
"937",21,49.7597440642023,"BARLEY","Row Crops",2012,2012,7,889,"LANGLADE"
"938",24,2836.41753461819,"WHEAT","Winter Wheat",2012,2012,7,3077,"LANGLADE"
"940",28,3650.50667620523,"OATS","Row Crops",2012,2012,7,6209,"LANGLADE"
"941",36,13060.3768306179,"HAY","Alfalfa",2012,2012,7,21205,"LANGLADE"
"943",43,9274.85330827939,"POTATOES","Potatoes",2012,2012,7,15681,"LANGLADE"
"944",53,1651.72321905327,"PEAS","Row Crops",2012,2012,7,1888,"LANGLADE"
"948",1,10964.2736554026,"CORN","Corn",2012,2012,6,15565,"LANGLADE"
"949",5,3038.55618736804,"SOYBEANS","Soy",2012,2012,6,5156,"LANGLADE"
"950",12,2848.70654961908,"SWEET CORN","Sweet Corn",2012,2012,6,3134,"LANGLADE"
"951",21,66.0890576024182,"BARLEY","Row Crops",2012,2012,6,889,"LANGLADE"
"952",24,2850.49023489205,"WHEAT","Winter Wheat",2012,2012,6,3077,"LANGLADE"
"954",28,3671.00534936416,"OATS","Row Crops",2012,2012,6,6209,"LANGLADE"
"955",36,13206.7196128343,"HAY","Alfalfa",2012,2012,6,21205,"LANGLADE"
"957",43,9287.97714040518,"POTATOES","Potatoes",2012,2012,6,15681,"LANGLADE"
"958",53,1643.41804256608,"PEAS","Row Crops",2012,2012,6,1888,"LANGLADE"
"962",1,11055.5344063142,"CORN","Corn",2012,2012,5,15565,"LANGLADE"
"963",5,3053.9513916714,"SOYBEANS","Soy",2012,2012,5,5156,"LANGLADE"
"964",12,2853.94018748854,"SWEET CORN","Sweet Corn",2012,2012,5,3134,"LANGLADE"
"965",21,66.272989811001,"BARLEY","Row Crops",2012,2012,5,889,"LANGLADE"
"966",24,2855.31047933858,"WHEAT","Winter Wheat",2012,2012,5,3077,"LANGLADE"
"968",28,3691.89618847423,"OATS","Row Crops",2012,2012,5,6209,"LANGLADE"
"969",36,13446.0484830242,"HAY","Alfalfa",2012,2012,5,21205,"LANGLADE"
"971",43,9314.29058484029,"POTATOES","Potatoes",2012,2012,5,15681,"LANGLADE"
"972",53,1652.75956044083,"PEAS","Row Crops",2012,2012,5,1888,"LANGLADE"
"976",1,11190.2370444438,"CORN","Corn",2012,2012,4,15565,"LANGLADE"
"977",5,3046.11162221879,"SOYBEANS","Soy",2012,2012,4,5156,"LANGLADE"
"978",12,2880.75418367198,"SWEET CORN","Sweet Corn",2012,2012,4,3134,"LANGLADE"
"979",21,65.6495285122668,"BARLEY","Row Crops",2012,2012,4,889,"LANGLADE"
"980",24,2869.47980083469,"WHEAT","Winter Wheat",2012,2012,4,3077,"LANGLADE"
"982",28,3712.90192236005,"OATS","Row Crops",2012,2012,4,6209,"LANGLADE"
"983",36,13637.8153674751,"HAY","Alfalfa",2012,2012,4,21205,"LANGLADE"
"985",43,9435.33239282762,"POTATOES","Potatoes",2012,2012,4,15681,"LANGLADE"
"986",53,1662.6493530918,"PEAS","Row Crops",2012,2012,4,1888,"LANGLADE"
"990",1,11337.2621185858,"CORN","Corn",2012,2012,3,15565,"LANGLADE"
"991",5,3119.78716731243,"SOYBEANS","Soy",2012,2012,3,5156,"LANGLADE"
"992",12,2932.88485270259,"SWEET CORN","Sweet Corn",2012,2012,3,3134,"LANGLADE"
"993",21,66.4753046467804,"BARLEY","Row Crops",2012,2012,3,889,"LANGLADE"
"994",24,2911.79903160968,"WHEAT","Winter Wheat",2012,2012,3,3077,"LANGLADE"
"996",28,3727.13258972357,"OATS","Row Crops",2012,2012,3,6209,"LANGLADE"
"997",36,14025.8388634069,"HAY","Alfalfa",2012,2012,3,21205,"LANGLADE"
"999",43,9526.39940023744,"POTATOES","Potatoes",2012,2012,3,15681,"LANGLADE"
"1000",53,1667.00380551826,"PEAS","Row Crops",2012,2012,3,1888,"LANGLADE"
"1004",1,11420.5715983175,"CORN","Corn",2012,2012,2,15565,"LANGLADE"
"1005",5,3144.82993204946,"SOYBEANS","Soy",2012,2012,2,5156,"LANGLADE"
"1006",12,2934.60122427505,"SWEET CORN","Sweet Corn",2012,2012,2,3134,"LANGLADE"
"1007",21,78.5814519633289,"BARLEY","Row Crops",2012,2012,2,889,"LANGLADE"
"1008",24,2924.3298141486,"WHEAT","Winter Wheat",2012,2012,2,3077,"LANGLADE"
"1010",28,3756.21953663668,"OATS","Row Crops",2012,2012,2,6209,"LANGLADE"
"1011",36,14525.7355114646,"HAY","Alfalfa",2012,2012,2,21205,"LANGLADE"
"1013",43,9524.31251574192,"POTATOES","Potatoes",2012,2012,2,15681,"LANGLADE"
"1014",53,1670.58933131377,"PEAS","Row Crops",2012,2012,2,1888,"LANGLADE"
"1018",1,11544.5492846999,"CORN","Corn",2012,2012,1,15565,"LANGLADE"
"1019",5,3101.2878697253,"SOYBEANS","Soy",2012,2012,1,5156,"LANGLADE"
"1020",12,2935.13337056342,"SWEET CORN","Sweet Corn",2012,2012,1,3134,"LANGLADE"
"1021",21,77.4427100767468,"BARLEY","Row Crops",2012,2012,1,889,"LANGLADE"
"1022",24,2948.24551795887,"WHEAT","Winter Wheat",2012,2012,1,3077,"LANGLADE"
"1024",28,3782.57935699737,"OATS","Row Crops",2012,2012,1,6209,"LANGLADE"
"1025",36,15382.3477678636,"HAY","Alfalfa",2012,2012,1,21205,"LANGLADE"
"1027",43,9519.24038119996,"POTATOES","Potatoes",2012,2012,1,15681,"LANGLADE"
"1028",53,1667.49964200126,"PEAS","Row Crops",2012,2012,1,1888,"LANGLADE"
"1782",1,8419.66097581938,"CORN","Corn",2017,2017,14,15803,"LANGLADE"
"1783",5,3496.24023398739,"SOYBEANS","Soy",2017,2017,14,8069,"LANGLADE"
"1785",21,242.209847446373,"BARLEY","Row Crops",2017,2017,14,501,"LANGLADE"
"1786",24,1296.3939213728,"WHEAT","Winter Wheat",2017,2017,14,2970,"LANGLADE"
"1787",28,6949.11216912046,"OATS","Row Crops",2017,2017,14,10394,"LANGLADE"
"1789",36,9657.60566167277,"HAY","Alfalfa",2017,2017,14,27959,"LANGLADE"
"1791",43,9089.49197860724,"POTATOES","Potatoes",2017,2017,14,18245,"LANGLADE"
"1793",57,23.0684936094788,"HERBS","Row Crops",2017,2017,14,2,"LANGLADE"
"1797",1,9957.48524956324,"CORN","Corn",2017,2017,13,15803,"LANGLADE"
"1798",5,4062.47909887076,"SOYBEANS","Soy",2017,2017,13,8069,"LANGLADE"
"1800",21,250.285409062866,"BARLEY","Row Crops",2017,2017,13,501,"LANGLADE"
"1801",24,1372.03242596444,"WHEAT","Winter Wheat",2017,2017,13,2970,"LANGLADE"
"1802",28,7460.83655962852,"OATS","Row Crops",2017,2017,13,10394,"LANGLADE"
"1804",36,11993.6797852288,"HAY","Alfalfa",2017,2017,13,27959,"LANGLADE"
"1806",43,9630.47369184917,"POTATOES","Potatoes",2017,2017,13,18245,"LANGLADE"
"1808",57,12.0159441881885,"HERBS","Row Crops",2017,2017,13,2,"LANGLADE"
"1812",1,10491.9942609228,"CORN","Corn",2017,2017,12,15803,"LANGLADE"
"1813",5,4293.2904832876,"SOYBEANS","Soy",2017,2017,12,8069,"LANGLADE"
"1815",21,258.045456837964,"BARLEY","Row Crops",2017,2017,12,501,"LANGLADE"
"1816",24,1399.12346745387,"WHEAT","Winter Wheat",2017,2017,12,2970,"LANGLADE"
"1817",28,7609.18891574658,"OATS","Row Crops",2017,2017,12,10394,"LANGLADE"
"1819",36,12764.9620555891,"HAY","Alfalfa",2017,2017,12,27959,"LANGLADE"
"1821",43,9723.8077012495,"POTATOES","Potatoes",2017,2017,12,18245,"LANGLADE"
"1823",57,12.0159441881885,"HERBS","Row Crops",2017,2017,12,2,"LANGLADE"
"1827",1,10656.7110983684,"CORN","Corn",2017,2017,11,15803,"LANGLADE"
"1828",5,4391.25779143334,"SOYBEANS","Soy",2017,2017,11,8069,"LANGLADE"
"1830",21,259.293633782883,"BARLEY","Row Crops",2017,2017,11,501,"LANGLADE"
"1831",24,1402.48028345505,"WHEAT","Winter Wheat",2017,2017,11,2970,"LANGLADE"
"1832",28,7680.11059575916,"OATS","Row Crops",2017,2017,11,10394,"LANGLADE"
"1834",36,13134.6360606463,"HAY","Alfalfa",2017,2017,11,27959,"LANGLADE"
"1836",43,9769.27233699904,"POTATOES","Potatoes",2017,2017,11,18245,"LANGLADE"
"1838",57,12.0159441881885,"HERBS","Row Crops",2017,2017,11,2,"LANGLADE"
"1842",1,10739.7234911669,"CORN","Corn",2017,2017,10,15803,"LANGLADE"
"1843",5,4425.19168980003,"SOYBEANS","Soy",2017,2017,10,8069,"LANGLADE"
"1845",21,260.13977246134,"BARLEY","Row Crops",2017,2017,10,501,"LANGLADE"
