"","WAUSHARA.Class","WAUSHARA.fieldacres","WAUSHARA.Commodity","WAUSHARA.Bin","WAUSHARA.Year","WAUSHARA.year","WAUSHARA.threshold","WAUSHARA.NASSacres","WAUSHARA.County"
"123",5,28117.3064920209,"SOYBEANS","Soy",2009,2009,12,49900,"WAUSHARA"
"124",24,2618.59515249428,"WHEAT","Winter Wheat",2009,2009,12,6000,"WAUSHARA"
"125",36,380.84947316868,"HAY","Alfalfa",2009,2009,12,3500,"WAUSHARA"
"129",1,65719.1480874735,"CORN","Corn",2009,2009,11,96000,"WAUSHARA"
"130",5,29228.7767468854,"SOYBEANS","Soy",2009,2009,11,49900,"WAUSHARA"
"131",24,2784.18631732031,"WHEAT","Winter Wheat",2009,2009,11,6000,"WAUSHARA"
"132",36,452.270027046822,"HAY","Alfalfa",2009,2009,11,3500,"WAUSHARA"
"136",1,67887.7162854226,"CORN","Corn",2009,2009,10,96000,"WAUSHARA"
"137",5,30915.5459440993,"SOYBEANS","Soy",2009,2009,10,49900,"WAUSHARA"
"138",24,2991.37699592995,"WHEAT","Winter Wheat",2009,2009,10,6000,"WAUSHARA"
"139",36,491.609481850943,"HAY","Alfalfa",2009,2009,10,3500,"WAUSHARA"
"142",1,68560.1535368909,"CORN","Corn",2009,2009,9,96000,"WAUSHARA"
"143",5,31275.686827929,"SOYBEANS","Soy",2009,2009,9,49900,"WAUSHARA"
"144",24,2991.60539059905,"WHEAT","Winter Wheat",2009,2009,9,6000,"WAUSHARA"
"145",36,539.139372626149,"HAY","Alfalfa",2009,2009,9,3500,"WAUSHARA"
"149",1,72033.6911672592,"CORN","Corn",2009,2009,8,96000,"WAUSHARA"
"150",5,33148.138660753,"SOYBEANS","Soy",2009,2009,8,49900,"WAUSHARA"
"151",24,3133.33400621693,"WHEAT","Winter Wheat",2009,2009,8,6000,"WAUSHARA"
"152",36,691.553796290906,"HAY","Alfalfa",2009,2009,8,3500,"WAUSHARA"
"156",1,73434.4725741577,"CORN","Corn",2009,2009,7,96000,"WAUSHARA"
"157",5,33939.2522936604,"SOYBEANS","Soy",2009,2009,7,49900,"WAUSHARA"
"158",24,3152.96918911219,"WHEAT","Winter Wheat",2009,2009,7,6000,"WAUSHARA"
"159",36,686.188323892116,"HAY","Alfalfa",2009,2009,7,3500,"WAUSHARA"
"163",1,73837.9577176757,"CORN","Corn",2009,2009,6,96000,"WAUSHARA"
"164",5,34102.2522105755,"SOYBEANS","Soy",2009,2009,6,49900,"WAUSHARA"
"165",24,3174.87648025145,"WHEAT","Winter Wheat",2009,2009,6,6000,"WAUSHARA"
"166",36,677.502417691563,"HAY","Alfalfa",2009,2009,6,3500,"WAUSHARA"
"170",1,75790.3195970336,"CORN","Corn",2009,2009,5,96000,"WAUSHARA"
"171",5,35006.5384726013,"SOYBEANS","Soy",2009,2009,5,49900,"WAUSHARA"
"172",24,3323.27104321264,"WHEAT","Winter Wheat",2009,2009,5,6000,"WAUSHARA"
"173",36,715.256134797359,"HAY","Alfalfa",2009,2009,5,3500,"WAUSHARA"
"177",1,80402.9469655504,"CORN","Corn",2009,2009,4,96000,"WAUSHARA"
"178",5,37143.2973935521,"SOYBEANS","Soy",2009,2009,4,49900,"WAUSHARA"
"179",24,3563.89968920158,"WHEAT","Winter Wheat",2009,2009,4,6000,"WAUSHARA"
"180",36,820.938463161846,"HAY","Alfalfa",2009,2009,4,3500,"WAUSHARA"
"184",1,81249.0804428876,"CORN","Corn",2009,2009,3,96000,"WAUSHARA"
"185",5,37720.1510678647,"SOYBEANS","Soy",2009,2009,3,49900,"WAUSHARA"
"186",24,3648.16397426762,"WHEAT","Winter Wheat",2009,2009,3,6000,"WAUSHARA"
"187",36,842.369978780535,"HAY","Alfalfa",2009,2009,3,3500,"WAUSHARA"
"191",1,90177.0377293022,"CORN","Corn",2009,2009,2,96000,"WAUSHARA"
"192",5,42289.3700964424,"SOYBEANS","Soy",2009,2009,2,49900,"WAUSHARA"
"193",24,4407.96951754477,"WHEAT","Winter Wheat",2009,2009,2,6000,"WAUSHARA"
"195",36,1186.92323584552,"HAY","Alfalfa",2009,2009,2,3500,"WAUSHARA"
"199",1,91904.3329865586,"CORN","Corn",2009,2009,1,96000,"WAUSHARA"
"200",5,43322.5973723826,"SOYBEANS","Soy",2009,2009,1,49900,"WAUSHARA"
"201",24,4528.20234315652,"WHEAT","Winter Wheat",2009,2009,1,6000,"WAUSHARA"
"203",36,1310.78988122836,"HAY","Alfalfa",2009,2009,1,3500,"WAUSHARA"
"207",1,55753.1773431855,"CORN","Corn",2010,2010,14,98000,"WAUSHARA"
"208",5,26580.6321322234,"SOYBEANS","Soy",2010,2010,14,52800,"WAUSHARA"
"210",24,560.425353142871,"WHEAT","Winter Wheat",2010,2010,14,3350,"WAUSHARA"
"211",36,157.127100125483,"HAY","Alfalfa",2010,2010,14,13200,"WAUSHARA"
"212",1,61106.5233006187,"CORN","Corn",2010,2010,13,98000,"WAUSHARA"
"213",5,29294.1179723951,"SOYBEANS","Soy",2010,2010,13,52800,"WAUSHARA"
"215",24,721.898068192015,"WHEAT","Winter Wheat",2010,2010,13,3350,"WAUSHARA"
"216",36,279.282723614321,"HAY","Alfalfa",2010,2010,13,13200,"WAUSHARA"
"217",1,63632.2450393185,"CORN","Corn",2010,2010,12,98000,"WAUSHARA"
"218",5,30665.3921208018,"SOYBEANS","Soy",2010,2010,12,52800,"WAUSHARA"
"220",24,782.172648619043,"WHEAT","Winter Wheat",2010,2010,12,3350,"WAUSHARA"
"221",36,430.948578034002,"HAY","Alfalfa",2010,2010,12,13200,"WAUSHARA"
"222",1,66385.5393396748,"CORN","Corn",2010,2010,11,98000,"WAUSHARA"
"223",5,31963.8077731173,"SOYBEANS","Soy",2010,2010,11,52800,"WAUSHARA"
"225",24,825.780945881974,"WHEAT","Winter Wheat",2010,2010,11,3350,"WAUSHARA"
"226",36,541.079542298445,"HAY","Alfalfa",2010,2010,11,13200,"WAUSHARA"
"227",1,69453.9058764074,"CORN","Corn",2010,2010,10,98000,"WAUSHARA"
"228",5,32911.9824071915,"SOYBEANS","Soy",2010,2010,10,52800,"WAUSHARA"
"230",24,884.079008281508,"WHEAT","Winter Wheat",2010,2010,10,3350,"WAUSHARA"
"231",36,593.608742466107,"HAY","Alfalfa",2010,2010,10,13200,"WAUSHARA"
"233",1,70031.7838864906,"CORN","Corn",2010,2010,9,98000,"WAUSHARA"
"234",5,33340.406543171,"SOYBEANS","Soy",2010,2010,9,52800,"WAUSHARA"
"236",24,908.654677604046,"WHEAT","Winter Wheat",2010,2010,9,3350,"WAUSHARA"
"237",36,635.531452365963,"HAY","Alfalfa",2010,2010,9,13200,"WAUSHARA"
"240",1,73665.7003165938,"CORN","Corn",2010,2010,8,98000,"WAUSHARA"
"241",5,35219.8019505115,"SOYBEANS","Soy",2010,2010,8,52800,"WAUSHARA"
"243",24,1069.11773561937,"WHEAT","Winter Wheat",2010,2010,8,3350,"WAUSHARA"
"244",28,13.7113030277057,"OATS","Row Crops",2010,2010,8,700,"WAUSHARA"
"245",36,661.566104264858,"HAY","Alfalfa",2010,2010,8,13200,"WAUSHARA"
"248",1,75111.5797497754,"CORN","Corn",2010,2010,7,98000,"WAUSHARA"
"249",5,35973.9498680805,"SOYBEANS","Soy",2010,2010,7,52800,"WAUSHARA"
"251",24,1089.62376865835,"WHEAT","Winter Wheat",2010,2010,7,3350,"WAUSHARA"
"252",28,13.8962807269257,"OATS","Row Crops",2010,2010,7,700,"WAUSHARA"
"253",36,695.57831356031,"HAY","Alfalfa",2010,2010,7,13200,"WAUSHARA"
"256",1,75501.8981645601,"CORN","Corn",2010,2010,6,98000,"WAUSHARA"
"257",5,36155.3109792723,"SOYBEANS","Soy",2010,2010,6,52800,"WAUSHARA"
"259",24,1091.75733639215,"WHEAT","Winter Wheat",2010,2010,6,3350,"WAUSHARA"
"260",28,14.7290964581775,"OATS","Row Crops",2010,2010,6,700,"WAUSHARA"
"261",36,697.407051305249,"HAY","Alfalfa",2010,2010,6,13200,"WAUSHARA"
"264",1,77470.9617201376,"CORN","Corn",2010,2010,5,98000,"WAUSHARA"
"265",5,37232.039828212,"SOYBEANS","Soy",2010,2010,5,52800,"WAUSHARA"
"267",24,1120.70284679204,"WHEAT","Winter Wheat",2010,2010,5,3350,"WAUSHARA"
"268",28,19.9003402246393,"OATS","Row Crops",2010,2010,5,700,"WAUSHARA"
"269",36,715.117161370789,"HAY","Alfalfa",2010,2010,5,13200,"WAUSHARA"
"272",1,81664.3030162921,"CORN","Corn",2010,2010,4,98000,"WAUSHARA"
"273",5,40127.4031708085,"SOYBEANS","Soy",2010,2010,4,52800,"WAUSHARA"
"275",24,1162.51947070264,"WHEAT","Winter Wheat",2010,2010,4,3350,"WAUSHARA"
"276",28,13.7131377642322,"OATS","Row Crops",2010,2010,4,700,"WAUSHARA"
"277",36,871.499329297751,"HAY","Alfalfa",2010,2010,4,13200,"WAUSHARA"
"280",1,82671.7776762132,"CORN","Corn",2010,2010,3,98000,"WAUSHARA"
"281",5,40614.539570166,"SOYBEANS","Soy",2010,2010,3,52800,"WAUSHARA"
"283",24,1193.14192075586,"WHEAT","Winter Wheat",2010,2010,3,3350,"WAUSHARA"
"284",28,13.7131377642322,"OATS","Row Crops",2010,2010,3,700,"WAUSHARA"
"285",36,915.016036211638,"HAY","Alfalfa",2010,2010,3,13200,"WAUSHARA"
"288",1,91512.8620248561,"CORN","Corn",2010,2010,2,98000,"WAUSHARA"
"289",5,45884.7638147584,"SOYBEANS","Soy",2010,2010,2,52800,"WAUSHARA"
"291",24,1453.15175646753,"WHEAT","Winter Wheat",2010,2010,2,3350,"WAUSHARA"
"292",28,13.2211049849103,"OATS","Row Crops",2010,2010,2,700,"WAUSHARA"
"293",36,1381.02768020575,"HAY","Alfalfa",2010,2010,2,13200,"WAUSHARA"
"296",1,93577.142663712,"CORN","Corn",2010,2010,1,98000,"WAUSHARA"
"297",5,46808.0649296945,"SOYBEANS","Soy",2010,2010,1,52800,"WAUSHARA"
"299",24,1544.27482733244,"WHEAT","Winter Wheat",2010,2010,1,3350,"WAUSHARA"
"300",28,13.2211049849103,"OATS","Row Crops",2010,2010,1,700,"WAUSHARA"
"301",36,1525.26857462323,"HAY","Alfalfa",2010,2010,1,13200,"WAUSHARA"
"304",1,58921.729663905,"CORN","Corn",2011,2011,14,100600,"WAUSHARA"
"305",5,22228.6288129813,"SOYBEANS","Soy",2011,2011,14,46900,"WAUSHARA"
"306",24,1584.12454268016,"WHEAT","Winter Wheat",2011,2011,14,6900,"WAUSHARA"
"307",36,475.45746343545,"HAY","Alfalfa",2011,2011,14,5100,"WAUSHARA"
"308",1,64470.2285474163,"CORN","Corn",2011,2011,13,100600,"WAUSHARA"
"309",5,24417.9766338473,"SOYBEANS","Soy",2011,2011,13,46900,"WAUSHARA"
"310",24,1992.39465040331,"WHEAT","Winter Wheat",2011,2011,13,6900,"WAUSHARA"
"311",36,692.714791774491,"HAY","Alfalfa",2011,2011,13,5100,"WAUSHARA"
"313",1,67006.1926250873,"CORN","Corn",2011,2011,12,100600,"WAUSHARA"
"314",5,25561.013790605,"SOYBEANS","Soy",2011,2011,12,46900,"WAUSHARA"
"315",24,2248.37853327171,"WHEAT","Winter Wheat",2011,2011,12,6900,"WAUSHARA"
"316",36,877.57268009008,"HAY","Alfalfa",2011,2011,12,5100,"WAUSHARA"
"318",1,69505.7160351106,"CORN","Corn",2011,2011,11,100600,"WAUSHARA"
"319",5,26846.3409785425,"SOYBEANS","Soy",2011,2011,11,46900,"WAUSHARA"
"320",24,2540.62788573965,"WHEAT","Winter Wheat",2011,2011,11,6900,"WAUSHARA"
"321",36,998.301870118384,"HAY","Alfalfa",2011,2011,11,5100,"WAUSHARA"
"323",1,72057.2053648087,"CORN","Corn",2011,2011,10,100600,"WAUSHARA"
"324",5,28162.653380609,"SOYBEANS","Soy",2011,2011,10,46900,"WAUSHARA"
"325",24,2654.0076730061,"WHEAT","Winter Wheat",2011,2011,10,6900,"WAUSHARA"
"326",36,1131.09358426082,"HAY","Alfalfa",2011,2011,10,5100,"WAUSHARA"
"328",1,72743.7763566138,"CORN","Corn",2011,2011,9,100600,"WAUSHARA"
"329",5,28443.6242038709,"SOYBEANS","Soy",2011,2011,9,46900,"WAUSHARA"
"330",24,2727.05947313701,"WHEAT","Winter Wheat",2011,2011,9,6900,"WAUSHARA"
"331",36,1177.92081939007,"HAY","Alfalfa",2011,2011,9,5100,"WAUSHARA"
"333",1,76736.2871361229,"CORN","Corn",2011,2011,8,100600,"WAUSHARA"
"334",5,29964.4930775285,"SOYBEANS","Soy",2011,2011,8,46900,"WAUSHARA"
"335",24,2941.64729020534,"WHEAT","Winter Wheat",2011,2011,8,6900,"WAUSHARA"
"336",36,1167.78849689179,"HAY","Alfalfa",2011,2011,8,5100,"WAUSHARA"
"338",1,78222.8313477956,"CORN","Corn",2011,2011,7,100600,"WAUSHARA"
"339",5,30577.7179312825,"SOYBEANS","Soy",2011,2011,7,46900,"WAUSHARA"
"340",24,3039.32966348196,"WHEAT","Winter Wheat",2011,2011,7,6900,"WAUSHARA"
"342",36,1228.6164359667,"HAY","Alfalfa",2011,2011,7,5100,"WAUSHARA"
"344",1,78586.3997438481,"CORN","Corn",2011,2011,6,100600,"WAUSHARA"
"345",5,30759.1802146575,"SOYBEANS","Soy",2011,2011,6,46900,"WAUSHARA"
"346",24,3053.26121105741,"WHEAT","Winter Wheat",2011,2011,6,6900,"WAUSHARA"
"348",36,1247.04915884567,"HAY","Alfalfa",2011,2011,6,5100,"WAUSHARA"
"350",1,80405.9728214156,"CORN","Corn",2011,2011,5,100600,"WAUSHARA"
"351",5,31802.6857082075,"SOYBEANS","Soy",2011,2011,5,46900,"WAUSHARA"
"352",24,3276.46764403319,"WHEAT","Winter Wheat",2011,2011,5,6900,"WAUSHARA"
"354",36,1256.02352001536,"HAY","Alfalfa",2011,2011,5,5100,"WAUSHARA"
"356",1,85109.1618029151,"CORN","Corn",2011,2011,4,100600,"WAUSHARA"
"357",5,33785.1035443084,"SOYBEANS","Soy",2011,2011,4,46900,"WAUSHARA"
"358",24,3680.61609766829,"WHEAT","Winter Wheat",2011,2011,4,6900,"WAUSHARA"
"360",36,1452.05956509682,"HAY","Alfalfa",2011,2011,4,5100,"WAUSHARA"
"362",1,85935.0337959796,"CORN","Corn",2011,2011,3,100600,"WAUSHARA"
"363",5,34339.9412355181,"SOYBEANS","Soy",2011,2011,3,46900,"WAUSHARA"
"364",24,3766.47590385412,"WHEAT","Winter Wheat",2011,2011,3,6900,"WAUSHARA"
"366",36,1542.22441640365,"HAY","Alfalfa",2011,2011,3,5100,"WAUSHARA"
"368",1,94881.8050922397,"CORN","Corn",2011,2011,2,100600,"WAUSHARA"
"369",5,38721.2280772301,"SOYBEANS","Soy",2011,2011,2,46900,"WAUSHARA"
"370",24,4622.7903632249,"WHEAT","Winter Wheat",2011,2011,2,6900,"WAUSHARA"
"372",36,2181.95336876925,"HAY","Alfalfa",2011,2011,2,5100,"WAUSHARA"
"374",1,96483.900103193,"CORN","Corn",2011,2011,1,100600,"WAUSHARA"
"375",5,39582.4991426477,"SOYBEANS","Soy",2011,2011,1,46900,"WAUSHARA"
"376",24,4918.77161756779,"WHEAT","Winter Wheat",2011,2011,1,6900,"WAUSHARA"
"378",36,2589.99086695163,"HAY","Alfalfa",2011,2011,1,5100,"WAUSHARA"
"381",1,57926.5426339359,"CORN","Corn",2012,2012,14,133976,"WAUSHARA"
"382",5,23724.0786278318,"SOYBEANS","Soy",2012,2012,14,60250,"WAUSHARA"
"383",12,216.322137265701,"SWEET CORN","Sweet Corn",2012,2012,14,1579,"WAUSHARA"
"384",24,974.431153384137,"WHEAT","Winter Wheat",2012,2012,14,7368,"WAUSHARA"
"385",36,336.989361673254,"HAY","Alfalfa",2012,2012,14,22814,"WAUSHARA"
"387",1,63612.1913745136,"CORN","Corn",2012,2012,13,133976,"WAUSHARA"
"388",5,25940.8480219617,"SOYBEANS","Soy",2012,2012,13,60250,"WAUSHARA"
"389",12,239.376868134163,"SWEET CORN","Sweet Corn",2012,2012,13,1579,"WAUSHARA"
"390",24,1255.63515731542,"WHEAT","Winter Wheat",2012,2012,13,7368,"WAUSHARA"
"391",36,515.236888088788,"HAY","Alfalfa",2012,2012,13,22814,"WAUSHARA"
"392",1,66338.7615743813,"CORN","Corn",2012,2012,12,133976,"WAUSHARA"
"393",5,27029.645312384,"SOYBEANS","Soy",2012,2012,12,60250,"WAUSHARA"
"394",12,247.682436966902,"SWEET CORN","Sweet Corn",2012,2012,12,1579,"WAUSHARA"
"395",24,1458.90956240969,"WHEAT","Winter Wheat",2012,2012,12,7368,"WAUSHARA"
"396",36,586.095346293151,"HAY","Alfalfa",2012,2012,12,22814,"WAUSHARA"
"397",1,69277.8230205895,"CORN","Corn",2012,2012,11,133976,"WAUSHARA"
"398",5,28073.1978610966,"SOYBEANS","Soy",2012,2012,11,60250,"WAUSHARA"
"399",12,261.370717603033,"SWEET CORN","Sweet Corn",2012,2012,11,1579,"WAUSHARA"
"400",24,1615.82887983765,"WHEAT","Winter Wheat",2012,2012,11,7368,"WAUSHARA"
"401",36,617.607121087875,"HAY","Alfalfa",2012,2012,11,22814,"WAUSHARA"
"402",1,72191.2039836298,"CORN","Corn",2012,2012,10,133976,"WAUSHARA"
"403",5,29037.4263127864,"SOYBEANS","Soy",2012,2012,10,60250,"WAUSHARA"
"404",12,271.353692638543,"SWEET CORN","Sweet Corn",2012,2012,10,1579,"WAUSHARA"
"405",24,1838.11533694693,"WHEAT","Winter Wheat",2012,2012,10,7368,"WAUSHARA"
"406",36,649.668535377015,"HAY","Alfalfa",2012,2012,10,22814,"WAUSHARA"
"407",1,72944.6314057906,"CORN","Corn",2012,2012,9,133976,"WAUSHARA"
"408",5,29321.9581857496,"SOYBEANS","Soy",2012,2012,9,60250,"WAUSHARA"
"409",12,271.353692638543,"SWEET CORN","Sweet Corn",2012,2012,9,1579,"WAUSHARA"
"410",24,1877.7595834314,"WHEAT","Winter Wheat",2012,2012,9,7368,"WAUSHARA"
"411",36,649.342713016035,"HAY","Alfalfa",2012,2012,9,22814,"WAUSHARA"
"412",1,77057.1056166,"CORN","Corn",2012,2012,8,133976,"WAUSHARA"
"413",5,30838.8355865496,"SOYBEANS","Soy",2012,2012,8,60250,"WAUSHARA"
"414",12,279.306556155565,"SWEET CORN","Sweet Corn",2012,2012,8,1579,"WAUSHARA"
"415",24,1974.62348464981,"WHEAT","Winter Wheat",2012,2012,8,7368,"WAUSHARA"
"416",36,634.287092608109,"HAY","Alfalfa",2012,2012,8,22814,"WAUSHARA"
"417",1,78652.7627009035,"CORN","Corn",2012,2012,7,133976,"WAUSHARA"
"418",5,31513.3083519117,"SOYBEANS","Soy",2012,2012,7,60250,"WAUSHARA"
"419",12,280.563500562043,"SWEET CORN","Sweet Corn",2012,2012,7,1579,"WAUSHARA"
"420",24,1980.16450264862,"WHEAT","Winter Wheat",2012,2012,7,7368,"WAUSHARA"
"421",36,650.084293159218,"HAY","Alfalfa",2012,2012,7,22814,"WAUSHARA"
