"","WAUSHARA.Class","WAUSHARA.fieldacres","WAUSHARA.Commodity","WAUSHARA.Bin","WAUSHARA.Year","WAUSHARA.year","WAUSHARA.threshold","WAUSHARA.NASSacres","WAUSHARA.County"
"67",24,2458.26029675784,"WHEAT","Winter Wheat",2008,2008,10,1277,"WAUSHARA"
"68",27,144.998388912966,"RYE","Rye",2008,2008,10,720,"WAUSHARA"
"69",28,85.8238297248621,"OATS","Row Crops",2008,2008,10,468,"WAUSHARA"
"71",36,9802.8875169417,"ALFALFA","Alfalfa",2008,2008,10,11379,"WAUSHARA"
"73",42,8479.72879249504,"DRY BEANS","Dry Beans",2008,2008,10,7585,"WAUSHARA"
"74",43,9879.99613635283,"POTATOES","Potatoes",2008,2008,10,9646,"WAUSHARA"
"75",50,472.41216584844,"CUCUMBERS","Row Crops",2008,2008,10,1202,"WAUSHARA"
"76",53,1938.64789271317,"PEAS","Row Crops",2008,2008,10,1904,"WAUSHARA"
"81",1,32990.6088090384,"CORN","Corn",2008,2008,9,45057,"WAUSHARA"
"82",5,11628.9257936841,"SOYBEANS","Soy",2008,2008,9,10517,"WAUSHARA"
"83",12,9220.44487594411,"SWEET CORN","Sweet Corn",2008,2008,9,7523,"WAUSHARA"
"84",24,2469.06384723031,"WHEAT","Winter Wheat",2008,2008,9,1277,"WAUSHARA"
"85",27,144.998388912966,"RYE","Rye",2008,2008,9,720,"WAUSHARA"
"86",28,85.9530329117218,"OATS","Row Crops",2008,2008,9,468,"WAUSHARA"
"88",36,10025.2928923066,"ALFALFA","Alfalfa",2008,2008,9,11379,"WAUSHARA"
"90",42,8488.33745953048,"DRY BEANS","Dry Beans",2008,2008,9,7585,"WAUSHARA"
"91",43,9887.71004342267,"POTATOES","Potatoes",2008,2008,9,9646,"WAUSHARA"
"92",50,472.905461481513,"CUCUMBERS","Row Crops",2008,2008,9,1202,"WAUSHARA"
"93",53,1938.69333406181,"PEAS","Row Crops",2008,2008,9,1904,"WAUSHARA"
"98",1,33116.370103564,"CORN","Corn",2008,2008,8,45057,"WAUSHARA"
"99",5,11664.2253851899,"SOYBEANS","Soy",2008,2008,8,10517,"WAUSHARA"
"100",12,9232.61733771223,"SWEET CORN","Sweet Corn",2008,2008,8,7523,"WAUSHARA"
"101",24,2491.89622715586,"WHEAT","Winter Wheat",2008,2008,8,1277,"WAUSHARA"
"102",27,145.479932338417,"RYE","Rye",2008,2008,8,720,"WAUSHARA"
"103",28,85.9530329117218,"OATS","Row Crops",2008,2008,8,468,"WAUSHARA"
"105",36,10214.8803129198,"ALFALFA","Alfalfa",2008,2008,8,11379,"WAUSHARA"
"107",42,8507.49417933665,"DRY BEANS","Dry Beans",2008,2008,8,7585,"WAUSHARA"
"108",43,9899.76545412831,"POTATOES","Potatoes",2008,2008,8,9646,"WAUSHARA"
"109",50,472.905461481513,"CUCUMBERS","Row Crops",2008,2008,8,1202,"WAUSHARA"
"110",53,1938.82436320742,"PEAS","Row Crops",2008,2008,8,1904,"WAUSHARA"
"115",1,33328.7469463221,"CORN","Corn",2008,2008,7,45057,"WAUSHARA"
"116",5,11764.5320925967,"SOYBEANS","Soy",2008,2008,7,10517,"WAUSHARA"
"117",12,9250.17420445975,"SWEET CORN","Sweet Corn",2008,2008,7,7523,"WAUSHARA"
"118",24,2486.14788905747,"WHEAT","Winter Wheat",2008,2008,7,1277,"WAUSHARA"
"119",27,148.073758020172,"RYE","Rye",2008,2008,7,720,"WAUSHARA"
"120",28,86.5353846197083,"OATS","Row Crops",2008,2008,7,468,"WAUSHARA"
"122",36,10345.5930556579,"ALFALFA","Alfalfa",2008,2008,7,11379,"WAUSHARA"
"124",42,8537.18381959792,"DRY BEANS","Dry Beans",2008,2008,7,7585,"WAUSHARA"
"125",43,9907.43435735085,"POTATOES","Potatoes",2008,2008,7,9646,"WAUSHARA"
"126",50,472.905461481513,"CUCUMBERS","Row Crops",2008,2008,7,1202,"WAUSHARA"
"127",53,1939.66655692332,"PEAS","Row Crops",2008,2008,7,1904,"WAUSHARA"
"132",1,33523.3568957216,"CORN","Corn",2008,2008,6,45057,"WAUSHARA"
"133",5,11829.6563893265,"SOYBEANS","Soy",2008,2008,6,10517,"WAUSHARA"
"134",12,9266.89251079755,"SWEET CORN","Sweet Corn",2008,2008,6,7523,"WAUSHARA"
"135",24,2534.16699132565,"WHEAT","Winter Wheat",2008,2008,6,1277,"WAUSHARA"
"136",27,148.819666090392,"RYE","Rye",2008,2008,6,720,"WAUSHARA"
"137",28,86.5353846197083,"OATS","Row Crops",2008,2008,6,468,"WAUSHARA"
"139",36,10532.6029111359,"ALFALFA","Alfalfa",2008,2008,6,11379,"WAUSHARA"
"141",42,8588.3526316016,"DRY BEANS","Dry Beans",2008,2008,6,7585,"WAUSHARA"
"142",43,9929.68301858789,"POTATOES","Potatoes",2008,2008,6,9646,"WAUSHARA"
"143",50,472.112155372331,"CUCUMBERS","Row Crops",2008,2008,6,1202,"WAUSHARA"
"144",53,1948.19228873985,"PEAS","Row Crops",2008,2008,6,1904,"WAUSHARA"
"149",1,33795.1503988821,"CORN","Corn",2008,2008,5,45057,"WAUSHARA"
"150",5,11898.4046963138,"SOYBEANS","Soy",2008,2008,5,10517,"WAUSHARA"
"151",12,9297.96790365216,"SWEET CORN","Sweet Corn",2008,2008,5,7523,"WAUSHARA"
"152",24,2590.76704505254,"WHEAT","Winter Wheat",2008,2008,5,1277,"WAUSHARA"
"153",27,150.734528765938,"RYE","Rye",2008,2008,5,720,"WAUSHARA"
"154",28,86.7099379990393,"OATS","Row Crops",2008,2008,5,468,"WAUSHARA"
"156",36,10980.5382594049,"ALFALFA","Alfalfa",2008,2008,5,11379,"WAUSHARA"
"158",42,8660.24085458685,"DRY BEANS","Dry Beans",2008,2008,5,7585,"WAUSHARA"
"159",43,9988.79361030913,"POTATOES","Potatoes",2008,2008,5,9646,"WAUSHARA"
"160",50,472.147165041018,"CUCUMBERS","Row Crops",2008,2008,5,1202,"WAUSHARA"
"161",53,1965.52788424127,"PEAS","Row Crops",2008,2008,5,1904,"WAUSHARA"
"166",1,34354.3487241552,"CORN","Corn",2008,2008,4,45057,"WAUSHARA"
"167",5,11999.6302475253,"SOYBEANS","Soy",2008,2008,4,10517,"WAUSHARA"
"168",12,9346.84785283618,"SWEET CORN","Sweet Corn",2008,2008,4,7523,"WAUSHARA"
"169",24,2665.09009794071,"WHEAT","Winter Wheat",2008,2008,4,1277,"WAUSHARA"
"170",27,148.928277756983,"RYE","Rye",2008,2008,4,720,"WAUSHARA"
"171",28,87.0067302582965,"OATS","Row Crops",2008,2008,4,468,"WAUSHARA"
"173",36,11453.7414913701,"ALFALFA","Alfalfa",2008,2008,4,11379,"WAUSHARA"
"175",42,8767.17544168355,"DRY BEANS","Dry Beans",2008,2008,4,7585,"WAUSHARA"
"176",43,10054.5926440429,"POTATOES","Potatoes",2008,2008,4,9646,"WAUSHARA"
"177",50,471.328456012979,"CUCUMBERS","Row Crops",2008,2008,4,1202,"WAUSHARA"
"178",53,1971.05965797326,"PEAS","Row Crops",2008,2008,4,1904,"WAUSHARA"
"183",1,35041.7499935263,"CORN","Corn",2008,2008,3,45057,"WAUSHARA"
"184",5,12171.754193869,"SOYBEANS","Soy",2008,2008,3,10517,"WAUSHARA"
"185",12,9447.03155443864,"SWEET CORN","Sweet Corn",2008,2008,3,7523,"WAUSHARA"
"186",24,2887.49135963482,"WHEAT","Winter Wheat",2008,2008,3,1277,"WAUSHARA"
"187",27,162.06370900716,"RYE","Rye",2008,2008,3,720,"WAUSHARA"
"188",28,90.2708350394928,"OATS","Row Crops",2008,2008,3,468,"WAUSHARA"
"190",36,12528.3694900985,"ALFALFA","Alfalfa",2008,2008,3,11379,"WAUSHARA"
"192",42,8967.09159263882,"DRY BEANS","Dry Beans",2008,2008,3,7585,"WAUSHARA"
"193",43,10173.6457580486,"POTATOES","Potatoes",2008,2008,3,9646,"WAUSHARA"
"194",50,473.641161147078,"CUCUMBERS","Row Crops",2008,2008,3,1202,"WAUSHARA"
"195",53,1990.57911787476,"PEAS","Row Crops",2008,2008,3,1904,"WAUSHARA"
"200",1,35482.4757613706,"CORN","Corn",2008,2008,2,45057,"WAUSHARA"
"201",5,12392.4585302372,"SOYBEANS","Soy",2008,2008,2,10517,"WAUSHARA"
"202",12,9471.64043576512,"SWEET CORN","Sweet Corn",2008,2008,2,7523,"WAUSHARA"
"203",24,3183.54359341091,"WHEAT","Winter Wheat",2008,2008,2,1277,"WAUSHARA"
"204",27,167.594600195433,"RYE","Rye",2008,2008,2,720,"WAUSHARA"
"205",28,91.0926397273016,"OATS","Row Crops",2008,2008,2,468,"WAUSHARA"
"207",36,13795.4743086575,"ALFALFA","Alfalfa",2008,2008,2,11379,"WAUSHARA"
"209",42,9226.80742799767,"DRY BEANS","Dry Beans",2008,2008,2,7585,"WAUSHARA"
"210",43,10192.2260457473,"POTATOES","Potatoes",2008,2008,2,9646,"WAUSHARA"
"211",50,474.190389714808,"CUCUMBERS","Row Crops",2008,2008,2,1202,"WAUSHARA"
"212",53,1989.56923931517,"PEAS","Row Crops",2008,2008,2,1904,"WAUSHARA"
"217",1,36298.2245293946,"CORN","Corn",2008,2008,1,45057,"WAUSHARA"
"218",5,12642.6493733447,"SOYBEANS","Soy",2008,2008,1,10517,"WAUSHARA"
"219",12,9460.58285622474,"SWEET CORN","Sweet Corn",2008,2008,1,7523,"WAUSHARA"
"220",24,3390.78050985448,"WHEAT","Winter Wheat",2008,2008,1,1277,"WAUSHARA"
"221",27,167.701549513812,"RYE","Rye",2008,2008,1,720,"WAUSHARA"
"222",28,91.0953507635541,"OATS","Row Crops",2008,2008,1,468,"WAUSHARA"
"224",36,15922.6206978166,"ALFALFA","Alfalfa",2008,2008,1,11379,"WAUSHARA"
"226",42,9282.27193561268,"DRY BEANS","Dry Beans",2008,2008,1,7585,"WAUSHARA"
"227",43,10205.9908025757,"POTATOES","Potatoes",2008,2008,1,9646,"WAUSHARA"
"228",50,474.659817031915,"CUCUMBERS","Row Crops",2008,2008,1,1202,"WAUSHARA"
"229",53,1990.00099958942,"PEAS","Row Crops",2008,2008,1,1904,"WAUSHARA"
"973",1,28443.8343622392,"CORN","Corn",2012,2012,14,46523,"WAUSHARA"
"975",5,11186.9032763832,"SOYBEANS","Soy",2012,2012,14,17988,"WAUSHARA"
"976",12,6799.24273707216,"SWEET CORN","Sweet Corn",2012,2012,14,7619,"WAUSHARA"
"978",24,945.460095066157,"WHEAT","Winter Wheat",2012,2012,14,1435,"WAUSHARA"
"979",27,74.2701912406238,"RYE","Rye",2012,2012,14,400,"WAUSHARA"
"980",28,125.143539596719,"OATS","Row Crops",2012,2012,14,612,"WAUSHARA"
"982",36,2894.12554734951,"ALFALFA","Alfalfa",2012,2012,14,8652,"WAUSHARA"
"985",42,4796.24236064083,"DRY BEANS","Dry Beans",2012,2012,14,7053,"WAUSHARA"
"986",43,11383.0362126866,"POTATOES","Potatoes",2012,2012,14,9019,"WAUSHARA"
"987",50,155.758837661446,"CUCUMBERS","Row Crops",2012,2012,14,3015,"WAUSHARA"
"988",53,876.617374603379,"PEAS","Row Crops",2012,2012,14,2682,"WAUSHARA"
"990",216,79.5689623623431,"PEPPERS","Row Crops",2012,2012,14,12,"WAUSHARA"
"991",1,33326.0288255585,"CORN","Corn",2012,2012,13,46523,"WAUSHARA"
"993",5,12252.5679417868,"SOYBEANS","Soy",2012,2012,13,17988,"WAUSHARA"
"994",12,7720.99736455018,"SWEET CORN","Sweet Corn",2012,2012,13,7619,"WAUSHARA"
"996",24,1144.89722251195,"WHEAT","Winter Wheat",2012,2012,13,1435,"WAUSHARA"
"997",27,104.000448511501,"RYE","Rye",2012,2012,13,400,"WAUSHARA"
"998",28,190.474609941534,"OATS","Row Crops",2012,2012,13,612,"WAUSHARA"
"1000",36,4625.92168236986,"ALFALFA","Alfalfa",2012,2012,13,8652,"WAUSHARA"
"1003",42,5679.54083450989,"DRY BEANS","Dry Beans",2012,2012,13,7053,"WAUSHARA"
"1004",43,13600.9817841754,"POTATOES","Potatoes",2012,2012,13,9019,"WAUSHARA"
"1005",50,361.696405249836,"CUCUMBERS","Row Crops",2012,2012,13,3015,"WAUSHARA"
"1006",53,933.836903824151,"PEAS","Row Crops",2012,2012,13,2682,"WAUSHARA"
"1009",216,80.1016998687274,"PEPPERS","Row Crops",2012,2012,13,12,"WAUSHARA"
"1010",1,35173.6193207487,"CORN","Corn",2012,2012,12,46523,"WAUSHARA"
"1012",5,12750.1712377194,"SOYBEANS","Soy",2012,2012,12,17988,"WAUSHARA"
"1013",12,7894.88646489057,"SWEET CORN","Sweet Corn",2012,2012,12,7619,"WAUSHARA"
"1015",24,1198.75752356203,"WHEAT","Winter Wheat",2012,2012,12,1435,"WAUSHARA"
"1016",27,93.8477128537824,"RYE","Rye",2012,2012,12,400,"WAUSHARA"
"1017",28,219.095372066726,"OATS","Row Crops",2012,2012,12,612,"WAUSHARA"
"1019",36,5343.03665964312,"ALFALFA","Alfalfa",2012,2012,12,8652,"WAUSHARA"
"1022",42,5816.75109478276,"DRY BEANS","Dry Beans",2012,2012,12,7053,"WAUSHARA"
"1023",43,13696.9236269015,"POTATOES","Potatoes",2012,2012,12,9019,"WAUSHARA"
"1024",50,385.051162340112,"CUCUMBERS","Row Crops",2012,2012,12,3015,"WAUSHARA"
"1025",53,942.404618997361,"PEAS","Row Crops",2012,2012,12,2682,"WAUSHARA"
"1028",216,80.1016998687274,"PEPPERS","Row Crops",2012,2012,12,12,"WAUSHARA"
"1029",1,36114.1776182724,"CORN","Corn",2012,2012,11,46523,"WAUSHARA"
"1031",5,12967.9786646216,"SOYBEANS","Soy",2012,2012,11,17988,"WAUSHARA"
"1032",12,7951.23355724103,"SWEET CORN","Sweet Corn",2012,2012,11,7619,"WAUSHARA"
"1034",24,1208.46043979902,"WHEAT","Winter Wheat",2012,2012,11,1435,"WAUSHARA"
"1035",27,94.8675317790839,"RYE","Rye",2012,2012,11,400,"WAUSHARA"
"1036",28,220.749899248292,"OATS","Row Crops",2012,2012,11,612,"WAUSHARA"
"1038",36,5653.45168157017,"ALFALFA","Alfalfa",2012,2012,11,8652,"WAUSHARA"
"1041",42,5896.87593969063,"DRY BEANS","Dry Beans",2012,2012,11,7053,"WAUSHARA"
"1042",43,13803.0035072737,"POTATOES","Potatoes",2012,2012,11,9019,"WAUSHARA"
"1043",50,346.657749028491,"CUCUMBERS","Row Crops",2012,2012,11,3015,"WAUSHARA"
"1044",53,948.837183450527,"PEAS","Row Crops",2012,2012,11,2682,"WAUSHARA"
"1047",216,81.1215927566095,"PEPPERS","Row Crops",2012,2012,11,12,"WAUSHARA"
"1048",1,36677.8733722159,"CORN","Corn",2012,2012,10,46523,"WAUSHARA"
"1050",5,13085.6315731967,"SOYBEANS","Soy",2012,2012,10,17988,"WAUSHARA"
"1051",12,7996.44677418037,"SWEET CORN","Sweet Corn",2012,2012,10,7619,"WAUSHARA"
"1053",24,1227.39939304521,"WHEAT","Winter Wheat",2012,2012,10,1435,"WAUSHARA"
"1054",27,96.7698959850812,"RYE","Rye",2012,2012,10,400,"WAUSHARA"
"1055",28,221.051060065744,"OATS","Row Crops",2012,2012,10,612,"WAUSHARA"
"1057",36,5824.25704818448,"ALFALFA","Alfalfa",2012,2012,10,8652,"WAUSHARA"
"1060",42,5933.02290886879,"DRY BEANS","Dry Beans",2012,2012,10,7053,"WAUSHARA"
"1061",43,13839.3302295634,"POTATOES","Potatoes",2012,2012,10,9019,"WAUSHARA"
"1062",50,347.535320959092,"CUCUMBERS","Row Crops",2012,2012,10,3015,"WAUSHARA"
"1063",53,956.510016282045,"PEAS","Row Crops",2012,2012,10,2682,"WAUSHARA"
"1066",216,81.1215927566095,"PEPPERS","Row Crops",2012,2012,10,12,"WAUSHARA"
"1067",1,36875.7148282639,"CORN","Corn",2012,2012,9,46523,"WAUSHARA"
"1069",5,13184.3898568159,"SOYBEANS","Soy",2012,2012,9,17988,"WAUSHARA"
"1070",12,8002.43863371331,"SWEET CORN","Sweet Corn",2012,2012,9,7619,"WAUSHARA"
"1072",24,1242.03056310705,"WHEAT","Winter Wheat",2012,2012,9,1435,"WAUSHARA"
"1073",27,96.7698959850812,"RYE","Rye",2012,2012,9,400,"WAUSHARA"
"1074",28,221.053321776303,"OATS","Row Crops",2012,2012,9,612,"WAUSHARA"
"1076",36,5994.15471840985,"ALFALFA","Alfalfa",2012,2012,9,8652,"WAUSHARA"
"1079",42,5939.36861398395,"DRY BEANS","Dry Beans",2012,2012,9,7053,"WAUSHARA"
"1080",43,13850.0017593031,"POTATOES","Potatoes",2012,2012,9,9019,"WAUSHARA"
"1081",50,347.184292168753,"CUCUMBERS","Row Crops",2012,2012,9,3015,"WAUSHARA"
"1082",53,958.014615732429,"PEAS","Row Crops",2012,2012,9,2682,"WAUSHARA"
"1085",216,81.1215927566095,"PEPPERS","Row Crops",2012,2012,9,12,"WAUSHARA"
"1086",1,37087.4459926854,"CORN","Corn",2012,2012,8,46523,"WAUSHARA"
"1088",5,13221.0974844048,"SOYBEANS","Soy",2012,2012,8,17988,"WAUSHARA"
"1089",12,8009.04506470732,"SWEET CORN","Sweet Corn",2012,2012,8,7619,"WAUSHARA"
"1091",24,1262.65863877777,"WHEAT","Winter Wheat",2012,2012,8,1435,"WAUSHARA"
"1092",27,97.1192277685602,"RYE","Rye",2012,2012,8,400,"WAUSHARA"
"1093",28,221.194652684719,"OATS","Row Crops",2012,2012,8,612,"WAUSHARA"
"1095",36,6085.76867436718,"ALFALFA","Alfalfa",2012,2012,8,8652,"WAUSHARA"
"1098",42,5950.97412476064,"DRY BEANS","Dry Beans",2012,2012,8,7053,"WAUSHARA"
"1099",43,13867.9227371081,"POTATOES","Potatoes",2012,2012,8,9019,"WAUSHARA"
"1100",50,347.22296660488,"CUCUMBERS","Row Crops",2012,2012,8,3015,"WAUSHARA"
"1101",53,958.298499922676,"PEAS","Row Crops",2012,2012,8,2682,"WAUSHARA"
"1104",216,81.1215927566095,"PEPPERS","Row Crops",2012,2012,8,12,"WAUSHARA"
"1105",1,37360.8678655214,"CORN","Corn",2012,2012,7,46523,"WAUSHARA"
"1107",5,13263.8781345393,"SOYBEANS","Soy",2012,2012,7,17988,"WAUSHARA"
"1108",12,8024.38308474499,"SWEET CORN","Sweet Corn",2012,2012,7,7619,"WAUSHARA"
"1110",24,1273.08778312636,"WHEAT","Winter Wheat",2012,2012,7,1435,"WAUSHARA"
"1111",27,97.179890537851,"RYE","Rye",2012,2012,7,400,"WAUSHARA"
"1112",28,221.962326657405,"OATS","Row Crops",2012,2012,7,612,"WAUSHARA"
"1114",36,6179.84341300921,"ALFALFA","Alfalfa",2012,2012,7,8652,"WAUSHARA"
"1117",42,5966.69770072087,"DRY BEANS","Dry Beans",2012,2012,7,7053,"WAUSHARA"
"1118",43,13890.6218640335,"POTATOES","Potatoes",2012,2012,7,9019,"WAUSHARA"
"1119",50,347.989404419119,"CUCUMBERS","Row Crops",2012,2012,7,3015,"WAUSHARA"
"1120",53,961.27087755416,"PEAS","Row Crops",2012,2012,7,2682,"WAUSHARA"
"1123",216,81.1215927566095,"PEPPERS","Row Crops",2012,2012,7,12,"WAUSHARA"
"1124",1,37694.181900299,"CORN","Corn",2012,2012,6,46523,"WAUSHARA"
"1126",5,13324.6685078024,"SOYBEANS","Soy",2012,2012,6,17988,"WAUSHARA"
"1127",12,8036.87117853777,"SWEET CORN","Sweet Corn",2012,2012,6,7619,"WAUSHARA"
"1129",24,1293.00937531609,"WHEAT","Winter Wheat",2012,2012,6,1435,"WAUSHARA"
"1130",27,98.4733260666132,"RYE","Rye",2012,2012,6,400,"WAUSHARA"
"1131",28,223.233251529984,"OATS","Row Crops",2012,2012,6,612,"WAUSHARA"
"1133",36,6297.25356463093,"ALFALFA","Alfalfa",2012,2012,6,8652,"WAUSHARA"
"1136",42,5991.81967054358,"DRY BEANS","Dry Beans",2012,2012,6,7053,"WAUSHARA"
"1137",43,13913.6369806102,"POTATOES","Potatoes",2012,2012,6,9019,"WAUSHARA"
"1138",50,347.5946686001,"CUCUMBERS","Row Crops",2012,2012,6,3015,"WAUSHARA"
"1139",53,962.933572503131,"PEAS","Row Crops",2012,2012,6,2682,"WAUSHARA"
"1142",216,81.1215927566095,"PEPPERS","Row Crops",2012,2012,6,12,"WAUSHARA"
"1143",1,38167.6664898119,"CORN","Corn",2012,2012,5,46523,"WAUSHARA"
"1145",5,13467.5663711008,"SOYBEANS","Soy",2012,2012,5,17988,"WAUSHARA"
"1146",12,8060.70022972519,"SWEET CORN","Sweet Corn",2012,2012,5,7619,"WAUSHARA"
"1148",24,1323.40522206064,"WHEAT","Winter Wheat",2012,2012,5,1435,"WAUSHARA"
"1149",27,98.5682637955475,"RYE","Rye",2012,2012,5,400,"WAUSHARA"
"1150",28,196.674372738232,"OATS","Row Crops",2012,2012,5,612,"WAUSHARA"
"1152",36,6449.09076887288,"ALFALFA","Alfalfa",2012,2012,5,8652,"WAUSHARA"
"1155",42,6034.81742742673,"DRY BEANS","Dry Beans",2012,2012,5,7053,"WAUSHARA"
"1156",43,13970.6684205151,"POTATOES","Potatoes",2012,2012,5,9019,"WAUSHARA"
"1157",50,360.682571471873,"CUCUMBERS","Row Crops",2012,2012,5,3015,"WAUSHARA"
"1158",53,977.501118336364,"PEAS","Row Crops",2012,2012,5,2682,"WAUSHARA"
"1161",216,81.1215927566095,"PEPPERS","Row Crops",2012,2012,5,12,"WAUSHARA"
"1162",1,38943.0228907987,"CORN","Corn",2012,2012,4,46523,"WAUSHARA"
"1164",5,13584.7292945622,"SOYBEANS","Soy",2012,2012,4,17988,"WAUSHARA"
"1165",12,8099.33080516747,"SWEET CORN","Sweet Corn",2012,2012,4,7619,"WAUSHARA"
"1167",24,1356.67245544966,"WHEAT","Winter Wheat",2012,2012,4,1435,"WAUSHARA"
"1168",27,99.5758874315198,"RYE","Rye",2012,2012,4,400,"WAUSHARA"
"1169",28,210.432301631938,"OATS","Row Crops",2012,2012,4,612,"WAUSHARA"
"1171",36,6834.19774662799,"ALFALFA","Alfalfa",2012,2012,4,8652,"WAUSHARA"
"1174",42,6066.52096601761,"DRY BEANS","Dry Beans",2012,2012,4,7053,"WAUSHARA"
"1175",43,14073.1297155376,"POTATOES","Potatoes",2012,2012,4,9019,"WAUSHARA"
"1176",50,363.466163567969,"CUCUMBERS","Row Crops",2012,2012,4,3015,"WAUSHARA"
"1177",53,979.307926447643,"PEAS","Row Crops",2012,2012,4,2682,"WAUSHARA"
"1180",216,81.2270680719458,"PEPPERS","Row Crops",2012,2012,4,12,"WAUSHARA"
"1181",1,40115.1485480155,"CORN","Corn",2012,2012,3,46523,"WAUSHARA"
"1183",5,13787.5978072216,"SOYBEANS","Soy",2012,2012,3,17988,"WAUSHARA"
"1184",12,8182.75182707661,"SWEET CORN","Sweet Corn",2012,2012,3,7619,"WAUSHARA"
"1186",24,1389.17329967928,"WHEAT","Winter Wheat",2012,2012,3,1435,"WAUSHARA"
"1187",27,101.252884426964,"RYE","Rye",2012,2012,3,400,"WAUSHARA"
