"","LANGLADE.Class","LANGLADE.fieldacres","LANGLADE.Commodity","LANGLADE.Bin","LANGLADE.Year","LANGLADE.year","LANGLADE.threshold","LANGLADE.NASSacres","LANGLADE.County"
"348",5,222499.760594092,"SOYBEANS","Soy",2011,2011,4,227000,"LANGLADE"
"352",36,412.277007057601,"HAY","Alfalfa",2011,2011,4,1700,"LANGLADE"
"353",1,302905.960101677,"CORN","Corn",2011,2011,3,302000,"LANGLADE"
"354",5,223908.539328084,"SOYBEANS","Soy",2011,2011,3,227000,"LANGLADE"
"358",36,495.606373794863,"HAY","Alfalfa",2011,2011,3,1700,"LANGLADE"
"359",1,303465.673226872,"CORN","Corn",2011,2011,2,302000,"LANGLADE"
"360",5,224286.926011443,"SOYBEANS","Soy",2011,2011,2,227000,"LANGLADE"
"364",36,644.149913078682,"HAY","Alfalfa",2011,2011,2,1700,"LANGLADE"
"365",1,304157.471472991,"CORN","Corn",2011,2011,1,302000,"LANGLADE"
"366",5,224839.328878119,"SOYBEANS","Soy",2011,2011,1,227000,"LANGLADE"
"370",36,897.138010968701,"HAY","Alfalfa",2011,2011,1,1700,"LANGLADE"
"371",1,276697.57122887,"CORN","Corn",2012,2012,14,321448,"LANGLADE"
"372",5,229445.917336556,"SOYBEANS","Soy",2012,2012,14,264066,"LANGLADE"
"373",24,741.262490971769,"WHEAT","Winter Wheat",2012,2012,14,9122,"LANGLADE"
"375",28,37.9625290052899,"OATS","Row Crops",2012,2012,14,206,"LANGLADE"
"376",36,50.9374363288721,"HAY","Alfalfa",2012,2012,14,3577,"LANGLADE"
"377",1,280195.254175868,"CORN","Corn",2012,2012,13,321448,"LANGLADE"
"378",5,232386.527642997,"SOYBEANS","Soy",2012,2012,13,264066,"LANGLADE"
"379",24,784.916027573793,"WHEAT","Winter Wheat",2012,2012,13,9122,"LANGLADE"
"381",28,38.9391269374164,"OATS","Row Crops",2012,2012,13,206,"LANGLADE"
"382",36,80.0058211077271,"HAY","Alfalfa",2012,2012,13,3577,"LANGLADE"
"383",1,281970.783273197,"CORN","Corn",2012,2012,12,321448,"LANGLADE"
"384",5,234163.915855184,"SOYBEANS","Soy",2012,2012,12,264066,"LANGLADE"
"385",24,783.121652988572,"WHEAT","Winter Wheat",2012,2012,12,9122,"LANGLADE"
"387",28,44.8516140036115,"OATS","Row Crops",2012,2012,12,206,"LANGLADE"
"388",36,143.98485578143,"HAY","Alfalfa",2012,2012,12,3577,"LANGLADE"
"389",1,283642.759653833,"CORN","Corn",2012,2012,11,321448,"LANGLADE"
"390",5,235982.553204002,"SOYBEANS","Soy",2012,2012,11,264066,"LANGLADE"
"391",24,785.599361883137,"WHEAT","Winter Wheat",2012,2012,11,9122,"LANGLADE"
"393",28,44.8540620383386,"OATS","Row Crops",2012,2012,11,206,"LANGLADE"
"394",36,242.812993196963,"HAY","Alfalfa",2012,2012,11,3577,"LANGLADE"
"395",1,284306.681973348,"CORN","Corn",2012,2012,10,321448,"LANGLADE"
"396",5,236550.968614368,"SOYBEANS","Soy",2012,2012,10,264066,"LANGLADE"
"397",24,786.115751095261,"WHEAT","Winter Wheat",2012,2012,10,9122,"LANGLADE"
"399",28,44.9224376991315,"OATS","Row Crops",2012,2012,10,206,"LANGLADE"
"400",36,252.271965459507,"HAY","Alfalfa",2012,2012,10,3577,"LANGLADE"
"401",1,284478.328015636,"CORN","Corn",2012,2012,9,321448,"LANGLADE"
"402",5,236741.552188505,"SOYBEANS","Soy",2012,2012,9,264066,"LANGLADE"
"403",24,786.390049107651,"WHEAT","Winter Wheat",2012,2012,9,9122,"LANGLADE"
"405",28,44.9224376991315,"OATS","Row Crops",2012,2012,9,206,"LANGLADE"
"406",36,253.205037800523,"HAY","Alfalfa",2012,2012,9,3577,"LANGLADE"
"407",1,284648.375749965,"CORN","Corn",2012,2012,8,321448,"LANGLADE"
"408",5,236891.416355848,"SOYBEANS","Soy",2012,2012,8,264066,"LANGLADE"
"409",24,785.693839185958,"WHEAT","Winter Wheat",2012,2012,8,9122,"LANGLADE"
"411",28,44.9224376991315,"OATS","Row Crops",2012,2012,8,206,"LANGLADE"
"412",36,255.077015904044,"HAY","Alfalfa",2012,2012,8,3577,"LANGLADE"
"414",1,284922.886209612,"CORN","Corn",2012,2012,7,321448,"LANGLADE"
"415",5,237162.094760684,"SOYBEANS","Soy",2012,2012,7,264066,"LANGLADE"
"416",24,785.565321269044,"WHEAT","Winter Wheat",2012,2012,7,9122,"LANGLADE"
"418",28,44.9224376991315,"OATS","Row Crops",2012,2012,7,206,"LANGLADE"
"419",36,291.892134228241,"HAY","Alfalfa",2012,2012,7,3577,"LANGLADE"
"421",1,285121.240727913,"CORN","Corn",2012,2012,6,321448,"LANGLADE"
"422",5,237368.28963492,"SOYBEANS","Soy",2012,2012,6,264066,"LANGLADE"
"423",24,786.767184034481,"WHEAT","Winter Wheat",2012,2012,6,9122,"LANGLADE"
"425",28,44.9224376991315,"OATS","Row Crops",2012,2012,6,206,"LANGLADE"
"426",36,313.627108270321,"HAY","Alfalfa",2012,2012,6,3577,"LANGLADE"
"428",1,285395.382689122,"CORN","Corn",2012,2012,5,321448,"LANGLADE"
"429",5,237700.410142986,"SOYBEANS","Soy",2012,2012,5,264066,"LANGLADE"
"430",24,786.671554037511,"WHEAT","Winter Wheat",2012,2012,5,9122,"LANGLADE"
"432",28,44.9224376991315,"OATS","Row Crops",2012,2012,5,206,"LANGLADE"
"433",36,331.626020705909,"HAY","Alfalfa",2012,2012,5,3577,"LANGLADE"
"435",1,285928.019535692,"CORN","Corn",2012,2012,4,321448,"LANGLADE"
"436",5,238168.554409429,"SOYBEANS","Soy",2012,2012,4,264066,"LANGLADE"
"437",24,818.508105702578,"WHEAT","Winter Wheat",2012,2012,4,9122,"LANGLADE"
"439",28,44.9224376991315,"OATS","Row Crops",2012,2012,4,206,"LANGLADE"
"440",36,349.357749925157,"HAY","Alfalfa",2012,2012,4,3577,"LANGLADE"
"442",1,287666.95913408,"CORN","Corn",2012,2012,3,321448,"LANGLADE"
"443",5,239835.510503442,"SOYBEANS","Soy",2012,2012,3,264066,"LANGLADE"
"444",24,836.681595558352,"WHEAT","Winter Wheat",2012,2012,3,9122,"LANGLADE"
"446",28,44.9224376991315,"OATS","Row Crops",2012,2012,3,206,"LANGLADE"
"447",36,348.267474915253,"HAY","Alfalfa",2012,2012,3,3577,"LANGLADE"
"449",1,288230.196360685,"CORN","Corn",2012,2012,2,321448,"LANGLADE"
"450",5,240299.953153575,"SOYBEANS","Soy",2012,2012,2,264066,"LANGLADE"
"451",24,836.474330448078,"WHEAT","Winter Wheat",2012,2012,2,9122,"LANGLADE"
"453",28,44.9224376991315,"OATS","Row Crops",2012,2012,2,206,"LANGLADE"
"454",36,418.786639705284,"HAY","Alfalfa",2012,2012,2,3577,"LANGLADE"
"456",1,288939.859482905,"CORN","Corn",2012,2012,1,321448,"LANGLADE"
"457",5,240840.39687296,"SOYBEANS","Soy",2012,2012,1,264066,"LANGLADE"
"458",24,847.084610242392,"WHEAT","Winter Wheat",2012,2012,1,9122,"LANGLADE"
"460",28,44.9224376991315,"OATS","Row Crops",2012,2012,1,206,"LANGLADE"
"461",36,603.423668093599,"HAY","Alfalfa",2012,2012,1,3577,"LANGLADE"
"463",1,273789.156241325,"CORN","Corn",2013,2013,14,283500,"LANGLADE"
"464",5,231875.489989801,"SOYBEANS","Soy",2013,2013,14,244500,"LANGLADE"
"468",36,38.0241081021796,"HAY","Alfalfa",2013,2013,14,1600,"LANGLADE"
"469",1,277464.936147738,"CORN","Corn",2013,2013,13,283500,"LANGLADE"
"470",5,234566.36123006,"SOYBEANS","Soy",2013,2013,13,244500,"LANGLADE"
"474",36,94.2640779013483,"HAY","Alfalfa",2013,2013,13,1600,"LANGLADE"
"475",1,279617.964996911,"CORN","Corn",2013,2013,12,283500,"LANGLADE"
"476",5,235970.416909725,"SOYBEANS","Soy",2013,2013,12,244500,"LANGLADE"
"480",36,134.496438026177,"HAY","Alfalfa",2013,2013,12,1600,"LANGLADE"
"481",1,281704.00122902,"CORN","Corn",2013,2013,11,283500,"LANGLADE"
"482",5,237373.492248685,"SOYBEANS","Soy",2013,2013,11,244500,"LANGLADE"
"486",36,189.737449122869,"HAY","Alfalfa",2013,2013,11,1600,"LANGLADE"
"487",1,282371.303854926,"CORN","Corn",2013,2013,10,283500,"LANGLADE"
"488",5,237921.463344287,"SOYBEANS","Soy",2013,2013,10,244500,"LANGLADE"
"492",36,199.196421385413,"HAY","Alfalfa",2013,2013,10,1600,"LANGLADE"
"493",1,282587.230203793,"CORN","Corn",2013,2013,9,283500,"LANGLADE"
"494",5,238063.350001198,"SOYBEANS","Soy",2013,2013,9,244500,"LANGLADE"
"498",36,200.129493726429,"HAY","Alfalfa",2013,2013,9,1600,"LANGLADE"
"499",1,282759.463367289,"CORN","Corn",2013,2013,8,283500,"LANGLADE"
"500",5,238220.436430169,"SOYBEANS","Soy",2013,2013,8,244500,"LANGLADE"
"504",36,210.633381184031,"HAY","Alfalfa",2013,2013,8,1600,"LANGLADE"
"505",1,283061.472946829,"CORN","Corn",2013,2013,7,283500,"LANGLADE"
"506",5,238453.927859069,"SOYBEANS","Soy",2013,2013,7,244500,"LANGLADE"
"510",36,234.828718296832,"HAY","Alfalfa",2013,2013,7,1600,"LANGLADE"
"511",1,283294.786920887,"CORN","Corn",2013,2013,6,283500,"LANGLADE"
"512",5,238604.082320642,"SOYBEANS","Soy",2013,2013,6,244500,"LANGLADE"
"516",36,255.375930304178,"HAY","Alfalfa",2013,2013,6,1600,"LANGLADE"
"517",1,283670.11318475,"CORN","Corn",2013,2013,5,283500,"LANGLADE"
"518",5,238847.552057696,"SOYBEANS","Soy",2013,2013,5,244500,"LANGLADE"
"522",36,290.901341573811,"HAY","Alfalfa",2013,2013,5,1600,"LANGLADE"
"523",1,284232.401841863,"CORN","Corn",2013,2013,4,283500,"LANGLADE"
"524",5,239305.441640203,"SOYBEANS","Soy",2013,2013,4,244500,"LANGLADE"
"528",36,322.358362008897,"HAY","Alfalfa",2013,2013,4,1600,"LANGLADE"
"529",1,286159.952435652,"CORN","Corn",2013,2013,3,283500,"LANGLADE"
"530",5,240773.271759052,"SOYBEANS","Soy",2013,2013,3,244500,"LANGLADE"
"534",36,331.296251783676,"HAY","Alfalfa",2013,2013,3,1600,"LANGLADE"
"535",1,286768.261143605,"CORN","Corn",2013,2013,2,283500,"LANGLADE"
"536",5,241161.649613719,"SOYBEANS","Soy",2013,2013,2,244500,"LANGLADE"
"540",36,393.032398982917,"HAY","Alfalfa",2013,2013,2,1600,"LANGLADE"
"541",1,287495.624599196,"CORN","Corn",2013,2013,1,283500,"LANGLADE"
"542",5,241631.210835673,"SOYBEANS","Soy",2013,2013,1,244500,"LANGLADE"
"546",36,476.593482431255,"HAY","Alfalfa",2013,2013,1,1600,"LANGLADE"
"547",1,263212.210192095,"CORN","Corn",2014,2014,14,277000,"LANGLADE"
"548",5,243477.806951386,"SOYBEANS","Soy",2014,2014,14,255000,"LANGLADE"
"549",24,1355.54472053436,"WHEAT","Winter Wheat",2014,2014,14,2200,"LANGLADE"
"552",1,266474.554845432,"CORN","Corn",2014,2014,13,277000,"LANGLADE"
"553",5,246686.581677959,"SOYBEANS","Soy",2014,2014,13,255000,"LANGLADE"
"554",24,1386.71389263222,"WHEAT","Winter Wheat",2014,2014,13,2200,"LANGLADE"
