"","MCHENRY.Class","MCHENRY.fieldacres","MCHENRY.Commodity","MCHENRY.Bin","MCHENRY.Year","MCHENRY.year","MCHENRY.threshold","MCHENRY.NASSacres","MCHENRY.County"
"440",12,239.376868134163,"SWEET CORN","Sweet Corn",2012,2012,13,1579,"MCHENRY"
"441",24,1255.63515731542,"WHEAT","Winter Wheat",2012,2012,13,3684,"MCHENRY"
"442",36,500.250274919351,"ALFALFA","Alfalfa",2012,2012,13,10215,"MCHENRY"
"444",1,66338.7615743813,"CORN","Corn",2012,2012,12,133976,"MCHENRY"
"445",5,27029.645312384,"SOYBEANS","Soy",2012,2012,12,60250,"MCHENRY"
"446",12,247.682436966902,"SWEET CORN","Sweet Corn",2012,2012,12,1579,"MCHENRY"
"447",24,1458.90956240969,"WHEAT","Winter Wheat",2012,2012,12,3684,"MCHENRY"
"448",36,571.108733123714,"ALFALFA","Alfalfa",2012,2012,12,10215,"MCHENRY"
"450",1,69277.8230205895,"CORN","Corn",2012,2012,11,133976,"MCHENRY"
"451",5,28073.1978610966,"SOYBEANS","Soy",2012,2012,11,60250,"MCHENRY"
"452",12,261.370717603033,"SWEET CORN","Sweet Corn",2012,2012,11,1579,"MCHENRY"
"453",24,1615.82887983765,"WHEAT","Winter Wheat",2012,2012,11,3684,"MCHENRY"
"454",36,602.620507918438,"ALFALFA","Alfalfa",2012,2012,11,10215,"MCHENRY"
"456",1,72191.2039836298,"CORN","Corn",2012,2012,10,133976,"MCHENRY"
"457",5,29037.4263127864,"SOYBEANS","Soy",2012,2012,10,60250,"MCHENRY"
"458",12,271.353692638543,"SWEET CORN","Sweet Corn",2012,2012,10,1579,"MCHENRY"
"459",24,1838.11533694693,"WHEAT","Winter Wheat",2012,2012,10,3684,"MCHENRY"
"460",36,634.681922207578,"ALFALFA","Alfalfa",2012,2012,10,10215,"MCHENRY"
"462",1,72944.6314057906,"CORN","Corn",2012,2012,9,133976,"MCHENRY"
"463",5,29321.9581857496,"SOYBEANS","Soy",2012,2012,9,60250,"MCHENRY"
"464",12,271.353692638543,"SWEET CORN","Sweet Corn",2012,2012,9,1579,"MCHENRY"
"465",24,1877.7595834314,"WHEAT","Winter Wheat",2012,2012,9,3684,"MCHENRY"
"466",36,634.356099846598,"ALFALFA","Alfalfa",2012,2012,9,10215,"MCHENRY"
"468",1,77057.1056166,"CORN","Corn",2012,2012,8,133976,"MCHENRY"
"469",5,30838.8355865496,"SOYBEANS","Soy",2012,2012,8,60250,"MCHENRY"
"470",12,279.306556155565,"SWEET CORN","Sweet Corn",2012,2012,8,1579,"MCHENRY"
"471",24,1974.62348464981,"WHEAT","Winter Wheat",2012,2012,8,3684,"MCHENRY"
"472",36,619.172240932598,"ALFALFA","Alfalfa",2012,2012,8,10215,"MCHENRY"
"474",1,78652.7627009035,"CORN","Corn",2012,2012,7,133976,"MCHENRY"
"475",5,31513.3083519117,"SOYBEANS","Soy",2012,2012,7,60250,"MCHENRY"
"476",12,280.563500562043,"SWEET CORN","Sweet Corn",2012,2012,7,1579,"MCHENRY"
"477",24,1980.16450264862,"WHEAT","Winter Wheat",2012,2012,7,3684,"MCHENRY"
"478",36,634.966739345889,"ALFALFA","Alfalfa",2012,2012,7,10215,"MCHENRY"
"480",1,79051.8739505145,"CORN","Corn",2012,2012,6,133976,"MCHENRY"
"481",5,31672.6735076618,"SOYBEANS","Soy",2012,2012,6,60250,"MCHENRY"
"482",12,280.563500562043,"SWEET CORN","Sweet Corn",2012,2012,6,1579,"MCHENRY"
"483",24,1980.17624927587,"WHEAT","Winter Wheat",2012,2012,6,3684,"MCHENRY"
"484",36,654.08968977432,"ALFALFA","Alfalfa",2012,2012,6,10215,"MCHENRY"
"486",1,81098.3962432144,"CORN","Corn",2012,2012,5,133976,"MCHENRY"
"487",5,32590.2278214552,"SOYBEANS","Soy",2012,2012,5,60250,"MCHENRY"
"488",12,280.483981708514,"SWEET CORN","Sweet Corn",2012,2012,5,1579,"MCHENRY"
"489",24,2076.10302511244,"WHEAT","Winter Wheat",2012,2012,5,3684,"MCHENRY"
"490",36,655.09359232632,"ALFALFA","Alfalfa",2012,2012,5,10215,"MCHENRY"
"492",1,85892.0840141461,"CORN","Corn",2012,2012,4,133976,"MCHENRY"
"493",5,34769.8975935586,"SOYBEANS","Soy",2012,2012,4,60250,"MCHENRY"
"494",12,278.894144757835,"SWEET CORN","Sweet Corn",2012,2012,4,1579,"MCHENRY"
"495",24,2246.19867449435,"WHEAT","Winter Wheat",2012,2012,4,3684,"MCHENRY"
"496",36,803.753597034974,"ALFALFA","Alfalfa",2012,2012,4,10215,"MCHENRY"
"498",1,86930.8028929068,"CORN","Corn",2012,2012,3,133976,"MCHENRY"
"499",5,35128.5560007731,"SOYBEANS","Soy",2012,2012,3,60250,"MCHENRY"
"500",12,278.894144757835,"SWEET CORN","Sweet Corn",2012,2012,3,1579,"MCHENRY"
"501",24,2347.06628898539,"WHEAT","Winter Wheat",2012,2012,3,3684,"MCHENRY"
"502",36,858.432645602598,"ALFALFA","Alfalfa",2012,2012,3,10215,"MCHENRY"
"504",1,96565.1020810884,"CORN","Corn",2012,2012,2,133976,"MCHENRY"
"505",5,39509.1746303864,"SOYBEANS","Soy",2012,2012,2,60250,"MCHENRY"
"506",12,288.021473635389,"SWEET CORN","Sweet Corn",2012,2012,2,1579,"MCHENRY"
"507",24,2727.84502804617,"WHEAT","Winter Wheat",2012,2012,2,3684,"MCHENRY"
"508",36,1305.67817546907,"ALFALFA","Alfalfa",2012,2012,2,10215,"MCHENRY"
"510",1,98854.1346402243,"CORN","Corn",2012,2012,1,133976,"MCHENRY"
"511",5,40183.1193898867,"SOYBEANS","Soy",2012,2012,1,60250,"MCHENRY"
"512",12,288.030354695267,"SWEET CORN","Sweet Corn",2012,2012,1,1579,"MCHENRY"
"513",24,2846.55532669756,"WHEAT","Winter Wheat",2012,2012,1,3684,"MCHENRY"
"514",36,1412.65778466241,"ALFALFA","Alfalfa",2012,2012,1,10215,"MCHENRY"
"939",1,49591.3288289353,"CORN","Corn",2017,2017,14,100056,"MCHENRY"
"940",5,32333.118214959,"SOYBEANS","Soy",2017,2017,14,69484,"MCHENRY"
"941",24,479.803530037612,"WHEAT","Winter Wheat",2017,2017,14,2910,"MCHENRY"
"942",36,254.720301677705,"ALFALFA","Alfalfa",2017,2017,14,7857,"MCHENRY"
"943",37,135.413701770522,"OTHER HAY/NON ALFALFA","Row Crops",2017,2017,14,2972,"MCHENRY"
"946",1,54164.9899228693,"CORN","Corn",2017,2017,13,100056,"MCHENRY"
"947",5,35660.5436952384,"SOYBEANS","Soy",2017,2017,13,69484,"MCHENRY"
"948",24,728.430662782247,"WHEAT","Winter Wheat",2017,2017,13,2910,"MCHENRY"
"949",36,414.08537809594,"ALFALFA","Alfalfa",2017,2017,13,7857,"MCHENRY"
"950",37,174.86409905794,"OTHER HAY/NON ALFALFA","Row Crops",2017,2017,13,2972,"MCHENRY"
"953",1,56642.0420886896,"CORN","Corn",2017,2017,12,100056,"MCHENRY"
"954",5,37006.4345856832,"SOYBEANS","Soy",2017,2017,12,69484,"MCHENRY"
"955",24,866.016495235873,"WHEAT","Winter Wheat",2017,2017,12,2910,"MCHENRY"
"956",36,506.566268463528,"ALFALFA","Alfalfa",2017,2017,12,7857,"MCHENRY"
"957",37,221.744858903835,"OTHER HAY/NON ALFALFA","Row Crops",2017,2017,12,2972,"MCHENRY"
"960",1,59173.2604726662,"CORN","Corn",2017,2017,11,100056,"MCHENRY"
"961",5,38492.1685499246,"SOYBEANS","Soy",2017,2017,11,69484,"MCHENRY"
"962",24,977.244968816769,"WHEAT","Winter Wheat",2017,2017,11,2910,"MCHENRY"
"963",28,11.7649722905475,"OATS","Row Crops",2017,2017,11,148,"MCHENRY"
"964",36,570.897758301365,"ALFALFA","Alfalfa",2017,2017,11,7857,"MCHENRY"
"965",37,227.013531206772,"OTHER HAY/NON ALFALFA","Row Crops",2017,2017,11,2972,"MCHENRY"
"968",1,61454.5155045758,"CORN","Corn",2017,2017,10,100056,"MCHENRY"
"969",5,40202.625033928,"SOYBEANS","Soy",2017,2017,10,69484,"MCHENRY"
"970",24,1005.04747021403,"WHEAT","Winter Wheat",2017,2017,10,2910,"MCHENRY"
"971",28,10.7581221245959,"OATS","Row Crops",2017,2017,10,148,"MCHENRY"
"972",36,629.08368881364,"ALFALFA","Alfalfa",2017,2017,10,7857,"MCHENRY"
"973",37,243.196057226077,"OTHER HAY/NON ALFALFA","Row Crops",2017,2017,10,2972,"MCHENRY"
"977",1,62158.5108455614,"CORN","Corn",2017,2017,9,100056,"MCHENRY"
"978",5,40518.1119733959,"SOYBEANS","Soy",2017,2017,9,69484,"MCHENRY"
"979",24,1017.53599773763,"WHEAT","Winter Wheat",2017,2017,9,2910,"MCHENRY"
"980",28,11.2893176077008,"OATS","Row Crops",2017,2017,9,148,"MCHENRY"
"981",36,683.742319636863,"ALFALFA","Alfalfa",2017,2017,9,7857,"MCHENRY"
"982",37,243.656867661234,"OTHER HAY/NON ALFALFA","Row Crops",2017,2017,9,2972,"MCHENRY"
"986",1,64870.1572745723,"CORN","Corn",2017,2017,8,100056,"MCHENRY"
"987",5,43263.6734530749,"SOYBEANS","Soy",2017,2017,8,69484,"MCHENRY"
"989",24,1147.82362060541,"WHEAT","Winter Wheat",2017,2017,8,2910,"MCHENRY"
"990",36,741.093385214007,"ALFALFA","Alfalfa",2017,2017,8,7857,"MCHENRY"
"991",37,235.455020699782,"OTHER HAY/NON ALFALFA","Row Crops",2017,2017,8,2972,"MCHENRY"
"994",1,65920.9911696739,"CORN","Corn",2017,2017,7,100056,"MCHENRY"
"995",5,44479.9206934755,"SOYBEANS","Soy",2017,2017,7,69484,"MCHENRY"
"997",24,1077.64475227934,"WHEAT","Winter Wheat",2017,2017,7,2910,"MCHENRY"
"998",36,780.979788052849,"ALFALFA","Alfalfa",2017,2017,7,7857,"MCHENRY"
"999",37,262.021533925992,"OTHER HAY/NON ALFALFA","Row Crops",2017,2017,7,2972,"MCHENRY"
"1002",1,66261.9518197201,"CORN","Corn",2017,2017,6,100056,"MCHENRY"
"1003",5,44719.5542178272,"SOYBEANS","Soy",2017,2017,6,69484,"MCHENRY"
"1005",24,1081.8958694187,"WHEAT","Winter Wheat",2017,2017,6,2910,"MCHENRY"
"1006",36,772.52252616019,"ALFALFA","Alfalfa",2017,2017,6,7857,"MCHENRY"
"1007",37,262.441652725343,"OTHER HAY/NON ALFALFA","Row Crops",2017,2017,6,2972,"MCHENRY"
"1010",1,67751.2151585845,"CORN","Corn",2017,2017,5,100056,"MCHENRY"
"1011",5,46223.6366336665,"SOYBEANS","Soy",2017,2017,5,69484,"MCHENRY"
"1013",24,1110.64431898048,"WHEAT","Winter Wheat",2017,2017,5,2910,"MCHENRY"
"1014",36,819.624847220486,"ALFALFA","Alfalfa",2017,2017,5,7857,"MCHENRY"
"1015",37,274.606142551941,"OTHER HAY/NON ALFALFA","Row Crops",2017,2017,5,2972,"MCHENRY"
"1018",1,71760.747614353,"CORN","Corn",2017,2017,4,100056,"MCHENRY"
"1019",5,49375.2197030269,"SOYBEANS","Soy",2017,2017,4,69484,"MCHENRY"
"1020",24,1133.44466255117,"WHEAT","Winter Wheat",2017,2017,4,2910,"MCHENRY"
"1021",36,895.750611712524,"ALFALFA","Alfalfa",2017,2017,4,7857,"MCHENRY"
"1022",37,275.634011001044,"OTHER HAY/NON ALFALFA","Row Crops",2017,2017,4,2972,"MCHENRY"
"1025",1,72595.0282867841,"CORN","Corn",2017,2017,3,100056,"MCHENRY"
"1026",5,50035.3950652708,"SOYBEANS","Soy",2017,2017,3,69484,"MCHENRY"
"1027",24,1169.59517876596,"WHEAT","Winter Wheat",2017,2017,3,2910,"MCHENRY"
"1028",36,915.064633669071,"ALFALFA","Alfalfa",2017,2017,3,7857,"MCHENRY"
"1029",37,289.242037923782,"OTHER HAY/NON ALFALFA","Row Crops",2017,2017,3,2972,"MCHENRY"
"1032",1,79559.618060646,"CORN","Corn",2017,2017,2,100056,"MCHENRY"
"1033",5,57112.3095576681,"SOYBEANS","Soy",2017,2017,2,69484,"MCHENRY"
"1035",24,1451.07225179059,"WHEAT","Winter Wheat",2017,2017,2,2910,"MCHENRY"
"1036",28,15.7511969420715,"OATS","Row Crops",2017,2017,2,148,"MCHENRY"
"1037",36,1123.52681440329,"ALFALFA","Alfalfa",2017,2017,2,7857,"MCHENRY"
"1038",37,448.604686366473,"OTHER HAY/NON ALFALFA","Row Crops",2017,2017,2,2972,"MCHENRY"
"1042",1,81192.745594421,"CORN","Corn",2017,2017,1,100056,"MCHENRY"
"1043",5,58366.424504542,"SOYBEANS","Soy",2017,2017,1,69484,"MCHENRY"
"1045",24,1501.1381839559,"WHEAT","Winter Wheat",2017,2017,1,2910,"MCHENRY"
"1046",28,16.2253346982404,"OATS","Row Crops",2017,2017,1,148,"MCHENRY"
"1047",36,1179.27697045137,"ALFALFA","Alfalfa",2017,2017,1,7857,"MCHENRY"
"1048",37,639.240485385035,"OTHER HAY/NON ALFALFA","Row Crops",2017,2017,1,2972,"MCHENRY"
