"","OCEANA.Class","OCEANA.fieldacres","OCEANA.Commodity","OCEANA.Bin","OCEANA.Year","OCEANA.year","OCEANA.threshold","OCEANA.NASSacres","OCEANA.County"
"37",36,6716.14997258813,"ALFALFA","Alfalfa",2008,2008,12,10201,"OCEANA"
"38",42,14.6249108427167,"DRY BEANS","Dry Beans",2008,2008,12,895,"OCEANA"
"39",50,27.6103117129913,"CUCUMBERS","Row Crops",2008,2008,12,1067,"OCEANA"
"42",66,4062.82625102043,"CHERRIES","Cherries",2008,2008,12,9988,"OCEANA"
"43",67,11.5077895269751,"PEACHES","Tree Crops",2008,2008,12,1888,"OCEANA"
"44",68,481.932940121198,"APPLES","Apples",2008,2008,12,3685,"OCEANA"
"45",206,153.010567765153,"CARROTS","Row Crops",2008,2008,12,1386,"OCEANA"
"46",207,334.381237987028,"ASPARAGUS","Row Crops",2008,2008,12,8670,"OCEANA"
"47",222,234.660418314932,"SQUASH","Row Crops",2008,2008,12,1976,"OCEANA"
"48",229,11.1544173414655,"PUMPKINS","Pumpkins",2008,2008,12,444,"OCEANA"
"49",242,68.2375881291559,"BLUEBERRIES","Blueberries",2008,2008,12,89,"OCEANA"
"50",1,13312.7771881493,"CORN","Corn",2008,2008,11,19615,"OCEANA"
"51",5,1256.06224030105,"SOYBEANS","Soy",2008,2008,11,1736,"OCEANA"
"52",24,1433.03237850385,"WHEAT","Winter Wheat",2008,2008,11,1591,"OCEANA"
"53",27,216.087273585576,"RYE","Rye",2008,2008,11,1159,"OCEANA"
"54",28,142.799881822277,"OATS","Row Crops",2008,2008,11,219,"OCEANA"
"55",36,7020.02035253063,"ALFALFA","Alfalfa",2008,2008,11,10201,"OCEANA"
"56",42,14.6249108125525,"DRY BEANS","Dry Beans",2008,2008,11,895,"OCEANA"
"57",50,27.1662382074493,"CUCUMBERS","Row Crops",2008,2008,11,1067,"OCEANA"
"60",66,4501.10613964002,"CHERRIES","Cherries",2008,2008,11,9988,"OCEANA"
"61",67,11.5077895269751,"PEACHES","Tree Crops",2008,2008,11,1888,"OCEANA"
"62",68,484.470112819045,"APPLES","Apples",2008,2008,11,3685,"OCEANA"
"63",206,186.594781035274,"CARROTS","Row Crops",2008,2008,11,1386,"OCEANA"
"64",207,340.16965439286,"ASPARAGUS","Row Crops",2008,2008,11,8670,"OCEANA"
"65",222,236.563784363992,"SQUASH","Row Crops",2008,2008,11,1976,"OCEANA"
"66",229,11.1544173414655,"PUMPKINS","Pumpkins",2008,2008,11,444,"OCEANA"
"67",242,66.9525282895233,"BLUEBERRIES","Blueberries",2008,2008,11,89,"OCEANA"
"68",1,13745.2275492038,"CORN","Corn",2008,2008,10,19615,"OCEANA"
"69",5,1284.05852797287,"SOYBEANS","Soy",2008,2008,10,1736,"OCEANA"
"70",24,1432.74243224759,"WHEAT","Winter Wheat",2008,2008,10,1591,"OCEANA"
"71",27,218.881687022558,"RYE","Rye",2008,2008,10,1159,"OCEANA"
"72",28,146.952451183092,"OATS","Row Crops",2008,2008,10,219,"OCEANA"
"73",36,7245.1013804736,"ALFALFA","Alfalfa",2008,2008,10,10201,"OCEANA"
"75",42,14.6249108125525,"DRY BEANS","Dry Beans",2008,2008,10,895,"OCEANA"
"76",50,27.1662382074493,"CUCUMBERS","Row Crops",2008,2008,10,1067,"OCEANA"
"79",66,4934.35847580933,"CHERRIES","Cherries",2008,2008,10,9988,"OCEANA"
"80",67,11.5077895269751,"PEACHES","Tree Crops",2008,2008,10,1888,"OCEANA"
"81",68,500.373934291057,"APPLES","Apples",2008,2008,10,3685,"OCEANA"
"82",206,188.148259254276,"CARROTS","Row Crops",2008,2008,10,1386,"OCEANA"
"83",207,343.735622726516,"ASPARAGUS","Row Crops",2008,2008,10,8670,"OCEANA"
"84",222,238.734648211672,"SQUASH","Row Crops",2008,2008,10,1976,"OCEANA"
"85",229,11.1544173414655,"PUMPKINS","Pumpkins",2008,2008,10,444,"OCEANA"
"86",242,82.5242424513855,"BLUEBERRIES","Blueberries",2008,2008,10,89,"OCEANA"
"87",1,13960.2733029956,"CORN","Corn",2008,2008,9,19615,"OCEANA"
"88",5,1310.88445937005,"SOYBEANS","Soy",2008,2008,9,1736,"OCEANA"
"89",24,1468.94870065324,"WHEAT","Winter Wheat",2008,2008,9,1591,"OCEANA"
"90",27,218.884389160376,"RYE","Rye",2008,2008,9,1159,"OCEANA"
"91",28,146.952451183092,"OATS","Row Crops",2008,2008,9,219,"OCEANA"
"92",36,7364.8732395807,"ALFALFA","Alfalfa",2008,2008,9,10201,"OCEANA"
"94",42,14.6249108125525,"DRY BEANS","Dry Beans",2008,2008,9,895,"OCEANA"
"95",50,27.1662382074493,"CUCUMBERS","Row Crops",2008,2008,9,1067,"OCEANA"
"98",66,5164.03732223759,"CHERRIES","Cherries",2008,2008,9,9988,"OCEANA"
"99",67,11.5077895269751,"PEACHES","Tree Crops",2008,2008,9,1888,"OCEANA"
"100",68,509.204358638259,"APPLES","Apples",2008,2008,9,3685,"OCEANA"
"101",206,189.479246116082,"CARROTS","Row Crops",2008,2008,9,1386,"OCEANA"
"102",207,343.328919327596,"ASPARAGUS","Row Crops",2008,2008,9,8670,"OCEANA"
"103",222,239.127773052086,"SQUASH","Row Crops",2008,2008,9,1976,"OCEANA"
"104",229,11.1544173414655,"PUMPKINS","Pumpkins",2008,2008,9,444,"OCEANA"
"105",242,111.433003221928,"BLUEBERRIES","Blueberries",2008,2008,9,89,"OCEANA"
"106",1,14105.8753299085,"CORN","Corn",2008,2008,8,19615,"OCEANA"
"107",5,1315.86648148734,"SOYBEANS","Soy",2008,2008,8,1736,"OCEANA"
"108",24,1492.53120759284,"WHEAT","Winter Wheat",2008,2008,8,1591,"OCEANA"
"109",27,218.884389160376,"RYE","Rye",2008,2008,8,1159,"OCEANA"
"110",28,146.952451183092,"OATS","Row Crops",2008,2008,8,219,"OCEANA"
"111",36,7489.51347012098,"ALFALFA","Alfalfa",2008,2008,8,10201,"OCEANA"
"113",42,14.6362389720679,"DRY BEANS","Dry Beans",2008,2008,8,895,"OCEANA"
"114",50,27.1662382074493,"CUCUMBERS","Row Crops",2008,2008,8,1067,"OCEANA"
"117",66,5352.44965420766,"CHERRIES","Cherries",2008,2008,8,9988,"OCEANA"
"118",67,11.5077895269751,"PEACHES","Tree Crops",2008,2008,8,1888,"OCEANA"
"119",68,511.54005702533,"APPLES","Apples",2008,2008,8,3685,"OCEANA"
"120",206,178.613778979333,"CARROTS","Row Crops",2008,2008,8,1386,"OCEANA"
"121",207,343.826105989658,"ASPARAGUS","Row Crops",2008,2008,8,8670,"OCEANA"
"122",222,239.672115534708,"SQUASH","Row Crops",2008,2008,8,1976,"OCEANA"
"123",229,11.1544173414655,"PUMPKINS","Pumpkins",2008,2008,8,444,"OCEANA"
"124",242,112.290331545965,"BLUEBERRIES","Blueberries",2008,2008,8,89,"OCEANA"
"125",1,14327.7844431738,"CORN","Corn",2008,2008,7,19615,"OCEANA"
"126",5,1319.8316620955,"SOYBEANS","Soy",2008,2008,7,1736,"OCEANA"
"127",24,1546.75228685969,"WHEAT","Winter Wheat",2008,2008,7,1591,"OCEANA"
"128",27,219.226645934364,"RYE","Rye",2008,2008,7,1159,"OCEANA"
"129",28,146.952451183092,"OATS","Row Crops",2008,2008,7,219,"OCEANA"
"130",36,7547.18024611951,"ALFALFA","Alfalfa",2008,2008,7,10201,"OCEANA"
"132",42,14.6362389720679,"DRY BEANS","Dry Beans",2008,2008,7,895,"OCEANA"
"133",50,27.1662382074493,"CUCUMBERS","Row Crops",2008,2008,7,1067,"OCEANA"
"136",66,5544.6453581359,"CHERRIES","Cherries",2008,2008,7,9988,"OCEANA"
"137",67,11.5077895269751,"PEACHES","Tree Crops",2008,2008,7,1888,"OCEANA"
"138",68,511.788976159718,"APPLES","Apples",2008,2008,7,3685,"OCEANA"
"139",206,179.582224980251,"CARROTS","Row Crops",2008,2008,7,1386,"OCEANA"
"140",207,343.828367700217,"ASPARAGUS","Row Crops",2008,2008,7,8670,"OCEANA"
"141",222,239.411401208734,"SQUASH","Row Crops",2008,2008,7,1976,"OCEANA"
"142",229,11.1544173414655,"PUMPKINS","Pumpkins",2008,2008,7,444,"OCEANA"
"143",242,112.290331576129,"BLUEBERRIES","Blueberries",2008,2008,7,89,"OCEANA"
"144",1,14447.4373401062,"CORN","Corn",2008,2008,6,19615,"OCEANA"
"145",5,1321.61022826503,"SOYBEANS","Soy",2008,2008,6,1736,"OCEANA"
"146",24,1560.63097046495,"WHEAT","Winter Wheat",2008,2008,6,1591,"OCEANA"
"147",27,219.501886396537,"RYE","Rye",2008,2008,6,1159,"OCEANA"
"148",28,159.95422227699,"OATS","Row Crops",2008,2008,6,219,"OCEANA"
"149",36,7655.1322597597,"ALFALFA","Alfalfa",2008,2008,6,10201,"OCEANA"
"151",42,14.6751406349976,"DRY BEANS","Dry Beans",2008,2008,6,895,"OCEANA"
"152",50,27.1873246314941,"CUCUMBERS","Row Crops",2008,2008,6,1067,"OCEANA"
"155",66,5808.26275747567,"CHERRIES","Cherries",2008,2008,6,9988,"OCEANA"
"156",67,11.5077895269751,"PEACHES","Tree Crops",2008,2008,6,1888,"OCEANA"
"157",68,538.208449754762,"APPLES","Apples",2008,2008,6,3685,"OCEANA"
"158",206,179.881955080264,"CARROTS","Row Crops",2008,2008,6,1386,"OCEANA"
"159",207,344.182040170184,"ASPARAGUS","Row Crops",2008,2008,6,8670,"OCEANA"
"160",222,240.671160687737,"SQUASH","Row Crops",2008,2008,6,1976,"OCEANA"
"161",229,11.1544262097357,"PUMPKINS","Pumpkins",2008,2008,6,444,"OCEANA"
"162",242,96.3821137647095,"BLUEBERRIES","Blueberries",2008,2008,6,89,"OCEANA"
"163",1,14596.4175389009,"CORN","Corn",2008,2008,5,19615,"OCEANA"
"164",5,1361.10020811152,"SOYBEANS","Soy",2008,2008,5,1736,"OCEANA"
"165",24,1584.28983076823,"WHEAT","Winter Wheat",2008,2008,5,1591,"OCEANA"
"166",27,220.000691155952,"RYE","Rye",2008,2008,5,1159,"OCEANA"
"167",28,159.956232538906,"OATS","Row Crops",2008,2008,5,219,"OCEANA"
"168",36,7726.11784736323,"ALFALFA","Alfalfa",2008,2008,5,10201,"OCEANA"
"170",42,14.6774023455566,"DRY BEANS","Dry Beans",2008,2008,5,895,"OCEANA"
"171",50,27.1873246314941,"CUCUMBERS","Row Crops",2008,2008,5,1067,"OCEANA"
"174",66,6067.18070098502,"CHERRIES","Cherries",2008,2008,5,9988,"OCEANA"
"175",67,11.6751915814282,"PEACHES","Tree Crops",2008,2008,5,1888,"OCEANA"
"176",68,568.573484026081,"APPLES","Apples",2008,2008,5,3685,"OCEANA"
"177",206,180.840718227114,"CARROTS","Row Crops",2008,2008,5,1386,"OCEANA"
"178",207,345.02912458632,"ASPARAGUS","Row Crops",2008,2008,5,8670,"OCEANA"
"179",222,242.209468644543,"SQUASH","Row Crops",2008,2008,5,1976,"OCEANA"
"180",229,11.1544262097357,"PUMPKINS","Pumpkins",2008,2008,5,444,"OCEANA"
"181",242,96.2924106982013,"BLUEBERRIES","Blueberries",2008,2008,5,89,"OCEANA"
"182",1,14847.4312955015,"CORN","Corn",2008,2008,4,19615,"OCEANA"
"183",5,1367.91090438765,"SOYBEANS","Soy",2008,2008,4,1736,"OCEANA"
"184",24,1608.80775781782,"WHEAT","Winter Wheat",2008,2008,4,1591,"OCEANA"
"185",27,222.94632504041,"RYE","Rye",2008,2008,4,1159,"OCEANA"
"186",28,148.493928038308,"OATS","Row Crops",2008,2008,4,219,"OCEANA"
"187",36,7847.9870426145,"ALFALFA","Alfalfa",2008,2008,4,10201,"OCEANA"
"189",42,14.6774023455566,"DRY BEANS","Dry Beans",2008,2008,4,895,"OCEANA"
"190",50,27.1873246616583,"CUCUMBERS","Row Crops",2008,2008,4,1067,"OCEANA"
"193",66,6292.06471574929,"CHERRIES","Cherries",2008,2008,4,9988,"OCEANA"
"194",67,11.6751915814282,"PEACHES","Tree Crops",2008,2008,4,1888,"OCEANA"
"195",68,574.10911991993,"APPLES","Apples",2008,2008,4,3685,"OCEANA"
"196",206,181.670957032078,"CARROTS","Row Crops",2008,2008,4,1386,"OCEANA"
"197",207,345.077864660018,"ASPARAGUS","Row Crops",2008,2008,4,8670,"OCEANA"
"198",222,254.676943527983,"SQUASH","Row Crops",2008,2008,4,1976,"OCEANA"
"199",229,11.1544262097357,"PUMPKINS","Pumpkins",2008,2008,4,444,"OCEANA"
"200",242,97.1843467230017,"BLUEBERRIES","Blueberries",2008,2008,4,89,"OCEANA"
"201",1,15207.2724029593,"CORN","Corn",2008,2008,3,19615,"OCEANA"
"202",5,1357.68363079771,"SOYBEANS","Soy",2008,2008,3,1736,"OCEANA"
"203",24,1745.87726497723,"WHEAT","Winter Wheat",2008,2008,3,1591,"OCEANA"
"204",27,221.768254637523,"RYE","Rye",2008,2008,3,1159,"OCEANA"
"205",28,148.493928038308,"OATS","Row Crops",2008,2008,3,219,"OCEANA"
"207",36,7991.78923057947,"ALFALFA","Alfalfa",2008,2008,3,10201,"OCEANA"
"209",42,14.6774023455566,"DRY BEANS","Dry Beans",2008,2008,3,895,"OCEANA"
"210",50,26.6849696078839,"CUCUMBERS","Row Crops",2008,2008,3,1067,"OCEANA"
"213",66,6823.24181752401,"CHERRIES","Cherries",2008,2008,3,9988,"OCEANA"
"214",67,11.8880771842126,"PEACHES","Tree Crops",2008,2008,3,1888,"OCEANA"
"215",68,545.383528988369,"APPLES","Apples",2008,2008,3,3685,"OCEANA"
"216",206,160.339315963591,"CARROTS","Row Crops",2008,2008,3,1386,"OCEANA"
"217",207,346.055312166403,"ASPARAGUS","Row Crops",2008,2008,3,8670,"OCEANA"
"218",222,255.324820290828,"SQUASH","Row Crops",2008,2008,3,1976,"OCEANA"
"219",229,11.1544262097357,"PUMPKINS","Pumpkins",2008,2008,3,444,"OCEANA"
"220",242,111.939805321105,"BLUEBERRIES","Blueberries",2008,2008,3,89,"OCEANA"
"221",1,15449.5270947447,"CORN","Corn",2008,2008,2,19615,"OCEANA"
"222",5,1385.68041723433,"SOYBEANS","Soy",2008,2008,2,1736,"OCEANA"
"223",24,1798.68281426151,"WHEAT","Winter Wheat",2008,2008,2,1591,"OCEANA"
"224",27,237.353540359799,"RYE","Rye",2008,2008,2,1159,"OCEANA"
"225",28,148.493928038308,"OATS","Row Crops",2008,2008,2,219,"OCEANA"
"227",36,8099.81722170743,"ALFALFA","Alfalfa",2008,2008,2,10201,"OCEANA"
"229",42,14.6774023455566,"DRY BEANS","Dry Beans",2008,2008,2,895,"OCEANA"
"230",50,26.6852490488898,"CUCUMBERS","Row Crops",2008,2008,2,1067,"OCEANA"
"233",66,7549.37824011742,"CHERRIES","Cherries",2008,2008,2,9988,"OCEANA"
"234",67,11.8880771842126,"PEACHES","Tree Crops",2008,2008,2,1888,"OCEANA"
"235",68,603.609549753102,"APPLES","Apples",2008,2008,2,3685,"OCEANA"
"237",206,149.225628868088,"CARROTS","Row Crops",2008,2008,2,1386,"OCEANA"
"238",207,347.366991959247,"ASPARAGUS","Row Crops",2008,2008,2,8670,"OCEANA"
"239",222,277.948566225239,"SQUASH","Row Crops",2008,2008,2,1976,"OCEANA"
"240",229,11.1544262097357,"PUMPKINS","Pumpkins",2008,2008,2,444,"OCEANA"
"241",242,121.00311439694,"BLUEBERRIES","Blueberries",2008,2008,2,89,"OCEANA"
"242",1,15859.2711577009,"CORN","Corn",2008,2008,1,19615,"OCEANA"
"243",5,1398.11189843305,"SOYBEANS","Soy",2008,2008,1,1736,"OCEANA"
"244",24,1871.7074001746,"WHEAT","Winter Wheat",2008,2008,1,1591,"OCEANA"
"245",27,237.226859924352,"RYE","Rye",2008,2008,1,1159,"OCEANA"
"246",28,148.493928038308,"OATS","Row Crops",2008,2008,1,219,"OCEANA"
"248",36,8204.69322675971,"ALFALFA","Alfalfa",2008,2008,1,10201,"OCEANA"
"250",42,14.9449397497516,"DRY BEANS","Dry Beans",2008,2008,1,895,"OCEANA"
"251",50,26.6852490488898,"CUCUMBERS","Row Crops",2008,2008,1,1067,"OCEANA"
"254",66,8079.75594373375,"CHERRIES","Cherries",2008,2008,1,9988,"OCEANA"
"255",67,11.8880771842126,"PEACHES","Tree Crops",2008,2008,1,1888,"OCEANA"
"256",68,618.128385918135,"APPLES","Apples",2008,2008,1,3685,"OCEANA"
"258",206,149.535897549921,"CARROTS","Row Crops",2008,2008,1,1386,"OCEANA"
"259",207,347.371701614041,"ASPARAGUS","Row Crops",2008,2008,1,8670,"OCEANA"
"260",222,261.386977697218,"SQUASH","Row Crops",2008,2008,1,1976,"OCEANA"
"261",229,11.1544262097357,"PUMPKINS","Pumpkins",2008,2008,1,444,"OCEANA"
"262",242,242.936042136066,"BLUEBERRIES","Blueberries",2008,2008,1,89,"OCEANA"
"1086",1,6571.44034064812,"CORN","Corn",2012,2012,14,29747,"OCEANA"
"1087",4,16.6298470914496,"SORGHUM","Row Crops",2012,2012,14,60,"OCEANA"
"1088",5,1666.22269632727,"SOYBEANS","Soy",2012,2012,14,4698,"OCEANA"
"1089",24,634.41835136349,"WHEAT","Winter Wheat",2012,2012,14,2507,"OCEANA"
"1090",27,42.1241364607282,"RYE","Rye",2012,2012,14,803,"OCEANA"
"1091",36,2891.28133631268,"ALFALFA","Alfalfa",2012,2012,14,9495,"OCEANA"
"1092",42,15.6912926512018,"DRY BEANS","Dry Beans",2012,2012,14,1020,"OCEANA"
"1094",66,316.782421153923,"CHERRIES","Cherries",2012,2012,14,9959,"OCEANA"
"1095",67,15.1742334925391,"PEACHES","Tree Crops",2012,2012,14,1285,"OCEANA"
"1096",68,187.404420054983,"APPLES","Apples",2012,2012,14,4299,"OCEANA"
"1097",206,138.617573260087,"CARROTS","Row Crops",2012,2012,14,1203,"OCEANA"
"1098",207,1337.29052320536,"ASPARAGUS","Row Crops",2012,2012,14,8535,"OCEANA"
"1100",222,393.839681878169,"SQUASH","Row Crops",2012,2012,14,2996,"OCEANA"
"1101",229,68.1489051852057,"PUMPKINS","Pumpkins",2012,2012,14,730,"OCEANA"
"1103",1,10011.0378723713,"CORN","Corn",2012,2012,13,29747,"OCEANA"
"1104",4,18.6028260456604,"SORGHUM","Row Crops",2012,2012,13,60,"OCEANA"
"1105",5,2168.69792997437,"SOYBEANS","Soy",2012,2012,13,4698,"OCEANA"
"1106",24,931.511555583239,"WHEAT","Winter Wheat",2012,2012,13,2507,"OCEANA"
"1107",27,97.1718309995398,"RYE","Rye",2012,2012,13,803,"OCEANA"
"1108",36,5849.55503462095,"ALFALFA","Alfalfa",2012,2012,13,9495,"OCEANA"
"1110",42,14.8735269477069,"DRY BEANS","Dry Beans",2012,2012,13,1020,"OCEANA"
"1113",66,1397.50935503106,"CHERRIES","Cherries",2012,2012,13,9959,"OCEANA"
"1114",67,72.2241151464661,"PEACHES","Tree Crops",2012,2012,13,1285,"OCEANA"
"1115",68,525.078154861934,"APPLES","Apples",2012,2012,13,4299,"OCEANA"
"1117",206,145.5974593314,"CARROTS","Row Crops",2012,2012,13,1203,"OCEANA"
"1118",207,2233.87911324933,"ASPARAGUS","Row Crops",2012,2012,13,8535,"OCEANA"
"1120",222,669.57410420108,"SQUASH","Row Crops",2012,2012,13,2996,"OCEANA"
"1121",229,115.162196141952,"PUMPKINS","Pumpkins",2012,2012,13,730,"OCEANA"
"1123",1,11009.1455480937,"CORN","Corn",2012,2012,12,29747,"OCEANA"
"1124",4,18.6028260456604,"SORGHUM","Row Crops",2012,2012,12,60,"OCEANA"
"1125",5,2312.53908768284,"SOYBEANS","Soy",2012,2012,12,4698,"OCEANA"
"1126",24,1084.65120231914,"WHEAT","Winter Wheat",2012,2012,12,2507,"OCEANA"
"1127",27,120.396972739538,"RYE","Rye",2012,2012,12,803,"OCEANA"
"1128",36,6964.85883482889,"ALFALFA","Alfalfa",2012,2012,12,9495,"OCEANA"
"1130",42,27.0269220252496,"DRY BEANS","Dry Beans",2012,2012,12,1020,"OCEANA"
"1133",66,1982.51533570415,"CHERRIES","Cherries",2012,2012,12,9959,"OCEANA"
"1134",67,106.621341632146,"PEACHES","Tree Crops",2012,2012,12,1285,"OCEANA"
"1135",68,771.950023480764,"APPLES","Apples",2012,2012,12,4299,"OCEANA"
"1137",206,147.389701972383,"CARROTS","Row Crops",2012,2012,12,1203,"OCEANA"
"1138",207,2439.96977475253,"ASPARAGUS","Row Crops",2012,2012,12,8535,"OCEANA"
"1140",222,707.594818802331,"SQUASH","Row Crops",2012,2012,12,2996,"OCEANA"
"1141",229,143.333926433271,"PUMPKINS","Pumpkins",2012,2012,12,730,"OCEANA"
"1143",1,11449.7561680848,"CORN","Corn",2012,2012,11,29747,"OCEANA"
"1144",4,20.5083632222327,"SORGHUM","Row Crops",2012,2012,11,60,"OCEANA"
"1145",5,2353.85929987945,"SOYBEANS","Soy",2012,2012,11,4698,"OCEANA"
"1146",24,1129.8789933859,"WHEAT","Winter Wheat",2012,2012,11,2507,"OCEANA"
"1147",27,133.553164218268,"RYE","Rye",2012,2012,11,803,"OCEANA"
"1148",36,7500.89154460504,"ALFALFA","Alfalfa",2012,2012,11,9495,"OCEANA"
"1150",42,27.1454399116956,"DRY BEANS","Dry Beans",2012,2012,11,1020,"OCEANA"
"1153",66,2186.20173767992,"CHERRIES","Cherries",2012,2012,11,9959,"OCEANA"
"1154",67,107.146230146227,"PEACHES","Tree Crops",2012,2012,11,1285,"OCEANA"
"1155",68,907.971937830779,"APPLES","Apples",2012,2012,11,4299,"OCEANA"
"1157",206,148.949146636929,"CARROTS","Row Crops",2012,2012,11,1203,"OCEANA"
"1158",207,2541.15608781957,"ASPARAGUS","Row Crops",2012,2012,11,8535,"OCEANA"
"1160",222,716.980402719891,"SQUASH","Row Crops",2012,2012,11,2996,"OCEANA"
"1161",229,132.487279877515,"PUMPKINS","Pumpkins",2012,2012,11,730,"OCEANA"
"1163",1,11821.3095381829,"CORN","Corn",2012,2012,10,29747,"OCEANA"
"1164",4,21.1672015290936,"SORGHUM","Row Crops",2012,2012,10,60,"OCEANA"
"1165",5,2431.40430587598,"SOYBEANS","Soy",2012,2012,10,4698,"OCEANA"
"1166",24,1177.66028025768,"WHEAT","Winter Wheat",2012,2012,10,2507,"OCEANA"
"1167",27,146.558114466398,"RYE","Rye",2012,2012,10,803,"OCEANA"
"1168",36,7748.25181076649,"ALFALFA","Alfalfa",2012,2012,10,9495,"OCEANA"
"1170",42,26.5125083862305,"DRY BEANS","Dry Beans",2012,2012,10,1020,"OCEANA"
"1173",66,2452.65075134223,"CHERRIES","Cherries",2012,2012,10,9959,"OCEANA"
"1174",67,107.401428890724,"PEACHES","Tree Crops",2012,2012,10,1285,"OCEANA"
"1175",68,1007.60280977467,"APPLES","Apples",2012,2012,10,4299,"OCEANA"
"1177",206,149.678340129195,"CARROTS","Row Crops",2012,2012,10,1203,"OCEANA"
"1178",207,2618.79460188335,"ASPARAGUS","Row Crops",2012,2012,10,8535,"OCEANA"
"1180",222,744.090362311127,"SQUASH","Row Crops",2012,2012,10,2996,"OCEANA"
"1181",229,132.681615230729,"PUMPKINS","Pumpkins",2012,2012,10,730,"OCEANA"
"1183",1,11994.3786611817,"CORN","Corn",2012,2012,9,29747,"OCEANA"
"1184",4,21.2384456831824,"SORGHUM","Row Crops",2012,2012,9,60,"OCEANA"
"1185",5,2447.54679162488,"SOYBEANS","Soy",2012,2012,9,4698,"OCEANA"
"1186",24,1197.56645173198,"WHEAT","Winter Wheat",2012,2012,9,2507,"OCEANA"
"1187",27,146.911547643889,"RYE","Rye",2012,2012,9,803,"OCEANA"
"1188",36,7883.16126848135,"ALFALFA","Alfalfa",2012,2012,9,9495,"OCEANA"
"1190",42,26.5125083862305,"DRY BEANS","Dry Beans",2012,2012,9,1020,"OCEANA"
"1193",66,2566.91021590887,"CHERRIES","Cherries",2012,2012,9,9959,"OCEANA"
"1194",67,107.235203661768,"PEACHES","Tree Crops",2012,2012,9,1285,"OCEANA"
"1195",68,1057.57592894604,"APPLES","Apples",2012,2012,9,4299,"OCEANA"
"1197",206,149.678340129195,"CARROTS","Row Crops",2012,2012,9,1203,"OCEANA"
"1198",207,2676.91454513496,"ASPARAGUS","Row Crops",2012,2012,9,8535,"OCEANA"
"1200",222,757.108883576717,"SQUASH","Row Crops",2012,2012,9,2996,"OCEANA"
"1201",229,132.703985351976,"PUMPKINS","Pumpkins",2012,2012,9,730,"OCEANA"
"1203",1,12240.7322977981,"CORN","Corn",2012,2012,8,29747,"OCEANA"
"1204",4,21.2384456831824,"SORGHUM","Row Crops",2012,2012,8,60,"OCEANA"
