"","DU.PAGE.Class","DU.PAGE.fieldacres","DU.PAGE.Commodity","DU.PAGE.Bin","DU.PAGE.Year","DU.PAGE.year","DU.PAGE.threshold","DU.PAGE.NASSacres","DU.PAGE.County"
"301",37,15.1660710641943,"OTHER HAY/NON ALFALFA","Row Crops",2017,2017,9,24,"DU PAGE"
"303",5,553.996510437289,"SOYBEANS","Soy",2017,2017,8,423,"DU PAGE"
"304",37,14.4745949889716,"OTHER HAY/NON ALFALFA","Row Crops",2017,2017,8,24,"DU PAGE"
"306",5,552.124447723231,"SOYBEANS","Soy",2017,2017,7,423,"DU PAGE"
"307",37,16.8437365281323,"OTHER HAY/NON ALFALFA","Row Crops",2017,2017,7,24,"DU PAGE"
"309",5,587.051258954723,"SOYBEANS","Soy",2017,2017,6,423,"DU PAGE"
"311",5,604.392891998673,"SOYBEANS","Soy",2017,2017,5,423,"DU PAGE"
"313",5,640.034852097111,"SOYBEANS","Soy",2017,2017,4,423,"DU PAGE"
"314",37,14.9679469687415,"OTHER HAY/NON ALFALFA","Row Crops",2017,2017,4,24,"DU PAGE"
"316",5,902.292830698635,"SOYBEANS","Soy",2017,2017,3,423,"DU PAGE"
"317",37,18.0166989581689,"OTHER HAY/NON ALFALFA","Row Crops",2017,2017,3,24,"DU PAGE"
"319",5,829.363881026495,"SOYBEANS","Soy",2017,2017,2,423,"DU PAGE"
"320",37,33.3641664184418,"OTHER HAY/NON ALFALFA","Row Crops",2017,2017,2,24,"DU PAGE"
"322",5,990.171214433206,"SOYBEANS","Soy",2017,2017,1,423,"DU PAGE"
"323",36,13.6161833182459,"ALFALFA","Alfalfa",2017,2017,1,16,"DU PAGE"
"324",37,32.8039608927966,"OTHER HAY/NON ALFALFA","Row Crops",2017,2017,1,24,"DU PAGE"
