"","CHAMPAIGN.Class","CHAMPAIGN.fieldacres","CHAMPAIGN.Commodity","CHAMPAIGN.Bin","CHAMPAIGN.Year","CHAMPAIGN.year","CHAMPAIGN.threshold","CHAMPAIGN.NASSacres","CHAMPAIGN.County"
"72",36,93.8191039345685,"ALFALFA","Alfalfa",2008,2008,6,1475,"CHAMPAIGN"
"76",1,284476.199619763,"CORN","Corn",2008,2008,5,316550,"CHAMPAIGN"
"77",5,237310.416910086,"SOYBEANS","Soy",2008,2008,5,209668,"CHAMPAIGN"
"78",24,2727.57267272793,"WHEAT","Winter Wheat",2008,2008,5,3117,"CHAMPAIGN"
"80",28,28.088292476767,"OATS","Row Crops",2008,2008,5,304,"CHAMPAIGN"
"81",36,93.8218061025507,"ALFALFA","Alfalfa",2008,2008,5,1475,"CHAMPAIGN"
"85",1,285013.583200631,"CORN","Corn",2008,2008,4,316550,"CHAMPAIGN"
"86",5,237808.982774558,"SOYBEANS","Soy",2008,2008,4,209668,"CHAMPAIGN"
"87",24,2736.236481039,"WHEAT","Winter Wheat",2008,2008,4,3117,"CHAMPAIGN"
"89",28,28.088292476767,"OATS","Row Crops",2008,2008,4,304,"CHAMPAIGN"
"90",36,94.2665949818939,"ALFALFA","Alfalfa",2008,2008,4,1475,"CHAMPAIGN"
"94",1,286729.347560815,"CORN","Corn",2008,2008,3,316550,"CHAMPAIGN"
"95",5,239478.671911376,"SOYBEANS","Soy",2008,2008,3,209668,"CHAMPAIGN"
"96",24,2784.90247735105,"WHEAT","Winter Wheat",2008,2008,3,3117,"CHAMPAIGN"
"98",28,28.088292476767,"OATS","Row Crops",2008,2008,3,304,"CHAMPAIGN"
"99",36,79.4039902139423,"ALFALFA","Alfalfa",2008,2008,3,1475,"CHAMPAIGN"
"103",1,287333.898628248,"CORN","Corn",2008,2008,2,316550,"CHAMPAIGN"
"104",5,239944.844681163,"SOYBEANS","Soy",2008,2008,2,209668,"CHAMPAIGN"
"105",24,2817.74054250437,"WHEAT","Winter Wheat",2008,2008,2,3117,"CHAMPAIGN"
"107",28,28.088292476767,"OATS","Row Crops",2008,2008,2,304,"CHAMPAIGN"
"108",36,79.4039902139423,"ALFALFA","Alfalfa",2008,2008,2,1475,"CHAMPAIGN"
"112",1,288388.276006154,"CORN","Corn",2008,2008,1,316550,"CHAMPAIGN"
"113",5,240396.99067073,"SOYBEANS","Soy",2008,2008,1,209668,"CHAMPAIGN"
"114",24,2842.86246201322,"WHEAT","Winter Wheat",2008,2008,1,3117,"CHAMPAIGN"
"116",28,28.088292476767,"OATS","Row Crops",2008,2008,1,304,"CHAMPAIGN"
"117",36,78.6951646951727,"ALFALFA","Alfalfa",2008,2008,1,1475,"CHAMPAIGN"
"415",1,276697.57122887,"CORN","Corn",2012,2012,14,321448,"CHAMPAIGN"
"416",5,229445.917336556,"SOYBEANS","Soy",2012,2012,14,264066,"CHAMPAIGN"
"417",24,741.262490971769,"WHEAT","Winter Wheat",2012,2012,14,4561,"CHAMPAIGN"
"419",28,37.9625290052899,"OATS","Row Crops",2012,2012,14,206,"CHAMPAIGN"
"420",36,38.0241081021796,"ALFALFA","Alfalfa",2012,2012,14,1492,"CHAMPAIGN"
"422",1,280195.254175868,"CORN","Corn",2012,2012,13,321448,"CHAMPAIGN"
"423",5,232386.527642997,"SOYBEANS","Soy",2012,2012,13,264066,"CHAMPAIGN"
"424",24,784.916027573793,"WHEAT","Winter Wheat",2012,2012,13,4561,"CHAMPAIGN"
"426",28,38.9391269374164,"OATS","Row Crops",2012,2012,13,206,"CHAMPAIGN"
"427",36,80.0058211077271,"ALFALFA","Alfalfa",2012,2012,13,1492,"CHAMPAIGN"
"428",1,281970.783273197,"CORN","Corn",2012,2012,12,321448,"CHAMPAIGN"
"429",5,234163.915855184,"SOYBEANS","Soy",2012,2012,12,264066,"CHAMPAIGN"
"430",24,783.121652988572,"WHEAT","Winter Wheat",2012,2012,12,4561,"CHAMPAIGN"
"432",28,44.8516140036115,"OATS","Row Crops",2012,2012,12,206,"CHAMPAIGN"
"433",36,104.854376969967,"ALFALFA","Alfalfa",2012,2012,12,1492,"CHAMPAIGN"
"435",1,283642.759653833,"CORN","Corn",2012,2012,11,321448,"CHAMPAIGN"
"436",5,235982.553204002,"SOYBEANS","Soy",2012,2012,11,264066,"CHAMPAIGN"
"437",24,785.599361883137,"WHEAT","Winter Wheat",2012,2012,11,4561,"CHAMPAIGN"
"439",28,44.8540620383386,"OATS","Row Crops",2012,2012,11,206,"CHAMPAIGN"
"440",36,156.551973916105,"ALFALFA","Alfalfa",2012,2012,11,1492,"CHAMPAIGN"
"442",1,284306.681973348,"CORN","Corn",2012,2012,10,321448,"CHAMPAIGN"
"443",5,236550.968614368,"SOYBEANS","Soy",2012,2012,10,264066,"CHAMPAIGN"
"444",24,786.115751095261,"WHEAT","Winter Wheat",2012,2012,10,4561,"CHAMPAIGN"
"446",28,44.9224376991315,"OATS","Row Crops",2012,2012,10,206,"CHAMPAIGN"
"447",36,164.535226190051,"ALFALFA","Alfalfa",2012,2012,10,1492,"CHAMPAIGN"
"449",1,284478.328015636,"CORN","Corn",2012,2012,9,321448,"CHAMPAIGN"
"450",5,236741.552188505,"SOYBEANS","Soy",2012,2012,9,264066,"CHAMPAIGN"
"451",24,786.390049107651,"WHEAT","Winter Wheat",2012,2012,9,4561,"CHAMPAIGN"
"453",28,44.9224376991315,"OATS","Row Crops",2012,2012,9,206,"CHAMPAIGN"
"454",36,165.265140877806,"ALFALFA","Alfalfa",2012,2012,9,1492,"CHAMPAIGN"
"456",1,284648.375749965,"CORN","Corn",2012,2012,8,321448,"CHAMPAIGN"
"457",5,236891.416355848,"SOYBEANS","Soy",2012,2012,8,264066,"CHAMPAIGN"
"458",24,785.693839185958,"WHEAT","Winter Wheat",2012,2012,8,4561,"CHAMPAIGN"
"460",28,44.9224376991315,"OATS","Row Crops",2012,2012,8,206,"CHAMPAIGN"
"461",36,155.685499449336,"ALFALFA","Alfalfa",2012,2012,8,1492,"CHAMPAIGN"
"464",1,284922.886209612,"CORN","Corn",2012,2012,7,321448,"CHAMPAIGN"
"465",5,237162.094760684,"SOYBEANS","Soy",2012,2012,7,264066,"CHAMPAIGN"
"466",24,785.565321269044,"WHEAT","Winter Wheat",2012,2012,7,4561,"CHAMPAIGN"
"468",28,44.9224376991315,"OATS","Row Crops",2012,2012,7,206,"CHAMPAIGN"
"469",36,179.852724688356,"ALFALFA","Alfalfa",2012,2012,7,1492,"CHAMPAIGN"
"472",1,285121.240727913,"CORN","Corn",2012,2012,6,321448,"CHAMPAIGN"
"473",5,237368.28963492,"SOYBEANS","Soy",2012,2012,6,264066,"CHAMPAIGN"
"474",24,786.767184034481,"WHEAT","Winter Wheat",2012,2012,6,4561,"CHAMPAIGN"
"476",28,44.9224376991315,"OATS","Row Crops",2012,2012,6,206,"CHAMPAIGN"
"477",36,200.361382132045,"ALFALFA","Alfalfa",2012,2012,6,1492,"CHAMPAIGN"
"480",1,285395.382689122,"CORN","Corn",2012,2012,5,321448,"CHAMPAIGN"
"481",5,237700.410142986,"SOYBEANS","Soy",2012,2012,5,264066,"CHAMPAIGN"
"482",24,786.671554037511,"WHEAT","Winter Wheat",2012,2012,5,4561,"CHAMPAIGN"
"484",28,44.9224376991315,"OATS","Row Crops",2012,2012,5,206,"CHAMPAIGN"
"485",36,212.987576792036,"ALFALFA","Alfalfa",2012,2012,5,1492,"CHAMPAIGN"
"488",1,285928.019535692,"CORN","Corn",2012,2012,4,321448,"CHAMPAIGN"
"489",5,238168.554409429,"SOYBEANS","Soy",2012,2012,4,264066,"CHAMPAIGN"
"490",24,818.508105702578,"WHEAT","Winter Wheat",2012,2012,4,4561,"CHAMPAIGN"
"492",28,44.9224376991315,"OATS","Row Crops",2012,2012,4,206,"CHAMPAIGN"
"493",36,217.578857341138,"ALFALFA","Alfalfa",2012,2012,4,1492,"CHAMPAIGN"
"496",1,287666.95913408,"CORN","Corn",2012,2012,3,321448,"CHAMPAIGN"
"497",5,239835.510503442,"SOYBEANS","Soy",2012,2012,3,264066,"CHAMPAIGN"
"498",24,836.681595558352,"WHEAT","Winter Wheat",2012,2012,3,4561,"CHAMPAIGN"
"500",28,44.9224376991315,"OATS","Row Crops",2012,2012,3,206,"CHAMPAIGN"
"501",36,221.584772357917,"ALFALFA","Alfalfa",2012,2012,3,1492,"CHAMPAIGN"
"504",1,288230.196360685,"CORN","Corn",2012,2012,2,321448,"CHAMPAIGN"
"505",5,240299.953153575,"SOYBEANS","Soy",2012,2012,2,264066,"CHAMPAIGN"
"506",24,836.474330448078,"WHEAT","Winter Wheat",2012,2012,2,4561,"CHAMPAIGN"
"508",28,44.9224376991315,"OATS","Row Crops",2012,2012,2,206,"CHAMPAIGN"
"509",36,283.869653190948,"ALFALFA","Alfalfa",2012,2012,2,1492,"CHAMPAIGN"
"512",1,288939.859482905,"CORN","Corn",2012,2012,1,321448,"CHAMPAIGN"
"513",5,240840.39687296,"SOYBEANS","Soy",2012,2012,1,264066,"CHAMPAIGN"
"514",24,847.084610242392,"WHEAT","Winter Wheat",2012,2012,1,4561,"CHAMPAIGN"
"516",28,44.9224376991315,"OATS","Row Crops",2012,2012,1,206,"CHAMPAIGN"
"517",36,401.253611411191,"ALFALFA","Alfalfa",2012,2012,1,1492,"CHAMPAIGN"
"914",1,261988.240222204,"CORN","Corn",2017,2017,14,286717,"CHAMPAIGN"
"915",5,244558.705010423,"SOYBEANS","Soy",2017,2017,14,271640,"CHAMPAIGN"
"916",24,989.429109071242,"WHEAT","Winter Wheat",2017,2017,14,3371,"CHAMPAIGN"
"918",28,49.703107127641,"OATS","Row Crops",2017,2017,14,192,"CHAMPAIGN"
"919",36,256.938017502114,"ALFALFA","Alfalfa",2017,2017,14,1485,"CHAMPAIGN"
"920",37,10.009015323587,"OTHER HAY/NON ALFALFA","Row Crops",2017,2017,14,864,"CHAMPAIGN"
"921",1,265522.173317719,"CORN","Corn",2017,2017,13,286717,"CHAMPAIGN"
"922",5,247383.624575494,"SOYBEANS","Soy",2017,2017,13,271640,"CHAMPAIGN"
"923",24,985.515680762416,"WHEAT","Winter Wheat",2017,2017,13,3371,"CHAMPAIGN"
"925",28,63.2608987682166,"OATS","Row Crops",2017,2017,13,192,"CHAMPAIGN"
"926",36,287.458486730613,"ALFALFA","Alfalfa",2017,2017,13,1485,"CHAMPAIGN"
"927",37,138.725146977087,"OTHER HAY/NON ALFALFA","Row Crops",2017,2017,13,864,"CHAMPAIGN"
"928",53,18.9965161327295,"PEAS","Row Crops",2017,2017,13,4,"CHAMPAIGN"
"929",1,267409.558639516,"CORN","Corn",2017,2017,12,286717,"CHAMPAIGN"
"930",5,249072.914787116,"SOYBEANS","Soy",2017,2017,12,271640,"CHAMPAIGN"
"931",24,991.00586191473,"WHEAT","Winter Wheat",2017,2017,12,3371,"CHAMPAIGN"
"933",28,64.0042432145544,"OATS","Row Crops",2017,2017,12,192,"CHAMPAIGN"
"934",36,347.198333385521,"ALFALFA","Alfalfa",2017,2017,12,1485,"CHAMPAIGN"
"935",37,170.463562725386,"OTHER HAY/NON ALFALFA","Row Crops",2017,2017,12,864,"CHAMPAIGN"
"936",1,269389.697474645,"CORN","Corn",2017,2017,11,286717,"CHAMPAIGN"
"937",5,250604.722590097,"SOYBEANS","Soy",2017,2017,11,271640,"CHAMPAIGN"
"938",24,992.179760399742,"WHEAT","Winter Wheat",2017,2017,11,3371,"CHAMPAIGN"
"940",28,64.6497193004419,"OATS","Row Crops",2017,2017,11,192,"CHAMPAIGN"
"941",36,375.578062259426,"ALFALFA","Alfalfa",2017,2017,11,1485,"CHAMPAIGN"
"942",37,241.172955683097,"OTHER HAY/NON ALFALFA","Row Crops",2017,2017,11,864,"CHAMPAIGN"
"943",1,270056.033917799,"CORN","Corn",2017,2017,10,286717,"CHAMPAIGN"
"944",5,251175.915364138,"SOYBEANS","Soy",2017,2017,10,271640,"CHAMPAIGN"
"945",24,993.493392358283,"WHEAT","Winter Wheat",2017,2017,10,3371,"CHAMPAIGN"
"947",28,64.6499988017761,"OATS","Row Crops",2017,2017,10,192,"CHAMPAIGN"
"948",36,378.586762425566,"ALFALFA","Alfalfa",2017,2017,10,1485,"CHAMPAIGN"
"949",37,244.589791865939,"OTHER HAY/NON ALFALFA","Row Crops",2017,2017,10,864,"CHAMPAIGN"
"950",1,270245.293224056,"CORN","Corn",2017,2017,9,286717,"CHAMPAIGN"
"951",5,251347.097091968,"SOYBEANS","Soy",2017,2017,9,271640,"CHAMPAIGN"
"952",24,993.884337655377,"WHEAT","Winter Wheat",2017,2017,9,3371,"CHAMPAIGN"
"954",28,66.8968404690295,"OATS","Row Crops",2017,2017,9,192,"CHAMPAIGN"
"955",36,378.52847025954,"ALFALFA","Alfalfa",2017,2017,9,1485,"CHAMPAIGN"
"956",37,245.31106210168,"OTHER HAY/NON ALFALFA","Row Crops",2017,2017,9,864,"CHAMPAIGN"
"957",1,270392.203478561,"CORN","Corn",2017,2017,8,286717,"CHAMPAIGN"
"958",5,251510.044558253,"SOYBEANS","Soy",2017,2017,8,271640,"CHAMPAIGN"
"959",24,993.886638066585,"WHEAT","Winter Wheat",2017,2017,8,3371,"CHAMPAIGN"
"961",28,66.8968404690295,"OATS","Row Crops",2017,2017,8,192,"CHAMPAIGN"
"962",36,378.52847025954,"ALFALFA","Alfalfa",2017,2017,8,1485,"CHAMPAIGN"
"963",37,256.762681633671,"OTHER HAY/NON ALFALFA","Row Crops",2017,2017,8,864,"CHAMPAIGN"
"965",1,270665.767290234,"CORN","Corn",2017,2017,7,286717,"CHAMPAIGN"
"966",5,251792.450183696,"SOYBEANS","Soy",2017,2017,7,271640,"CHAMPAIGN"
"967",24,994.854622163345,"WHEAT","Winter Wheat",2017,2017,7,3371,"CHAMPAIGN"
"969",28,66.8968404690295,"OATS","Row Crops",2017,2017,7,192,"CHAMPAIGN"
"970",36,379.314209713187,"ALFALFA","Alfalfa",2017,2017,7,1485,"CHAMPAIGN"
"971",37,292.129368451303,"OTHER HAY/NON ALFALFA","Row Crops",2017,2017,7,864,"CHAMPAIGN"
"973",1,270904.57206921,"CORN","Corn",2017,2017,6,286717,"CHAMPAIGN"
"974",5,251956.284979513,"SOYBEANS","Soy",2017,2017,6,271640,"CHAMPAIGN"
"975",24,994.772555039504,"WHEAT","Winter Wheat",2017,2017,6,3371,"CHAMPAIGN"
"977",28,66.8968404690295,"OATS","Row Crops",2017,2017,6,192,"CHAMPAIGN"
"978",36,379.550919833542,"ALFALFA","Alfalfa",2017,2017,6,1485,"CHAMPAIGN"
"979",37,312.778943161945,"OTHER HAY/NON ALFALFA","Row Crops",2017,2017,6,864,"CHAMPAIGN"
"981",1,271152.864076235,"CORN","Corn",2017,2017,5,286717,"CHAMPAIGN"
"982",5,252339.857805061,"SOYBEANS","Soy",2017,2017,5,271640,"CHAMPAIGN"
"983",24,993.500245118062,"WHEAT","Winter Wheat",2017,2017,5,3371,"CHAMPAIGN"
"985",28,66.8968404690295,"OATS","Row Crops",2017,2017,5,192,"CHAMPAIGN"
"986",36,379.733633288412,"ALFALFA","Alfalfa",2017,2017,5,1485,"CHAMPAIGN"
"987",37,330.775593917137,"OTHER HAY/NON ALFALFA","Row Crops",2017,2017,5,864,"CHAMPAIGN"
"989",1,271719.359337261,"CORN","Corn",2017,2017,4,286717,"CHAMPAIGN"
"990",5,252799.955750776,"SOYBEANS","Soy",2017,2017,4,271640,"CHAMPAIGN"
"991",24,992.896074780615,"WHEAT","Winter Wheat",2017,2017,4,3371,"CHAMPAIGN"
"993",28,66.8968404690295,"OATS","Row Crops",2017,2017,4,192,"CHAMPAIGN"
"994",36,395.718011020587,"ALFALFA","Alfalfa",2017,2017,4,1485,"CHAMPAIGN"
"995",37,349.029834742887,"OTHER HAY/NON ALFALFA","Row Crops",2017,2017,4,864,"CHAMPAIGN"
"997",1,273524.986300968,"CORN","Corn",2017,2017,3,286717,"CHAMPAIGN"
"998",5,254376.290576732,"SOYBEANS","Soy",2017,2017,3,271640,"CHAMPAIGN"
"999",24,994.082564097908,"WHEAT","Winter Wheat",2017,2017,3,3371,"CHAMPAIGN"
"1001",28,66.8968404690295,"OATS","Row Crops",2017,2017,3,192,"CHAMPAIGN"
"1002",36,394.097578507333,"ALFALFA","Alfalfa",2017,2017,3,1485,"CHAMPAIGN"
"1003",37,365.528191297361,"OTHER HAY/NON ALFALFA","Row Crops",2017,2017,3,864,"CHAMPAIGN"
"1005",1,274119.719663234,"CORN","Corn",2017,2017,2,286717,"CHAMPAIGN"
"1006",5,254706.474330616,"SOYBEANS","Soy",2017,2017,2,271640,"CHAMPAIGN"
"1007",24,1013.62281219016,"WHEAT","Winter Wheat",2017,2017,2,3371,"CHAMPAIGN"
"1009",28,68.1226805939612,"OATS","Row Crops",2017,2017,2,192,"CHAMPAIGN"
"1010",36,439.552346526522,"ALFALFA","Alfalfa",2017,2017,2,1485,"CHAMPAIGN"
"1011",37,432.251014676097,"OTHER HAY/NON ALFALFA","Row Crops",2017,2017,2,864,"CHAMPAIGN"
"1013",1,274805.968874226,"CORN","Corn",2017,2017,1,286717,"CHAMPAIGN"
"1014",5,255215.250153079,"SOYBEANS","Soy",2017,2017,1,271640,"CHAMPAIGN"
"1015",24,1025.42716204398,"WHEAT","Winter Wheat",2017,2017,1,3371,"CHAMPAIGN"
"1017",28,68.2329425732544,"OATS","Row Crops",2017,2017,1,192,"CHAMPAIGN"
"1018",36,458.798119451522,"ALFALFA","Alfalfa",2017,2017,1,1485,"CHAMPAIGN"
"1019",37,621.949157212022,"OTHER HAY/NON ALFALFA","Row Crops",2017,2017,1,864,"CHAMPAIGN"
"1020",53,26.8464727544025,"PEAS","Row Crops",2017,2017,1,4,"CHAMPAIGN"
