"","MCHENRY.Class","MCHENRY.fieldacres","MCHENRY.Commodity","MCHENRY.Bin","MCHENRY.Year","MCHENRY.year","MCHENRY.threshold","MCHENRY.NASSacres","MCHENRY.County"
"390",24,1255.63515731542,"WHEAT","Winter Wheat",2012,2012,13,7368,"MCHENRY"
"391",36,515.236888088788,"HAY","Alfalfa",2012,2012,13,22814,"MCHENRY"
"392",1,66338.7615743813,"CORN","Corn",2012,2012,12,133976,"MCHENRY"
"393",5,27029.645312384,"SOYBEANS","Soy",2012,2012,12,60250,"MCHENRY"
"394",12,247.682436966902,"SWEET CORN","Sweet Corn",2012,2012,12,1579,"MCHENRY"
"395",24,1458.90956240969,"WHEAT","Winter Wheat",2012,2012,12,7368,"MCHENRY"
"396",36,586.095346293151,"HAY","Alfalfa",2012,2012,12,22814,"MCHENRY"
"397",1,69277.8230205895,"CORN","Corn",2012,2012,11,133976,"MCHENRY"
"398",5,28073.1978610966,"SOYBEANS","Soy",2012,2012,11,60250,"MCHENRY"
"399",12,261.370717603033,"SWEET CORN","Sweet Corn",2012,2012,11,1579,"MCHENRY"
"400",24,1615.82887983765,"WHEAT","Winter Wheat",2012,2012,11,7368,"MCHENRY"
"401",36,617.607121087875,"HAY","Alfalfa",2012,2012,11,22814,"MCHENRY"
"402",1,72191.2039836298,"CORN","Corn",2012,2012,10,133976,"MCHENRY"
"403",5,29037.4263127864,"SOYBEANS","Soy",2012,2012,10,60250,"MCHENRY"
"404",12,271.353692638543,"SWEET CORN","Sweet Corn",2012,2012,10,1579,"MCHENRY"
"405",24,1838.11533694693,"WHEAT","Winter Wheat",2012,2012,10,7368,"MCHENRY"
"406",36,649.668535377015,"HAY","Alfalfa",2012,2012,10,22814,"MCHENRY"
"407",1,72944.6314057906,"CORN","Corn",2012,2012,9,133976,"MCHENRY"
"408",5,29321.9581857496,"SOYBEANS","Soy",2012,2012,9,60250,"MCHENRY"
"409",12,271.353692638543,"SWEET CORN","Sweet Corn",2012,2012,9,1579,"MCHENRY"
"410",24,1877.7595834314,"WHEAT","Winter Wheat",2012,2012,9,7368,"MCHENRY"
"411",36,649.342713016035,"HAY","Alfalfa",2012,2012,9,22814,"MCHENRY"
"412",1,77057.1056166,"CORN","Corn",2012,2012,8,133976,"MCHENRY"
"413",5,30838.8355865496,"SOYBEANS","Soy",2012,2012,8,60250,"MCHENRY"
"414",12,279.306556155565,"SWEET CORN","Sweet Corn",2012,2012,8,1579,"MCHENRY"
"415",24,1974.62348464981,"WHEAT","Winter Wheat",2012,2012,8,7368,"MCHENRY"
"416",36,634.287092608109,"HAY","Alfalfa",2012,2012,8,22814,"MCHENRY"
"417",1,78652.7627009035,"CORN","Corn",2012,2012,7,133976,"MCHENRY"
"418",5,31513.3083519117,"SOYBEANS","Soy",2012,2012,7,60250,"MCHENRY"
"419",12,280.563500562043,"SWEET CORN","Sweet Corn",2012,2012,7,1579,"MCHENRY"
"420",24,1980.16450264862,"WHEAT","Winter Wheat",2012,2012,7,7368,"MCHENRY"
"421",36,650.084293159218,"HAY","Alfalfa",2012,2012,7,22814,"MCHENRY"
"422",1,79051.8739505145,"CORN","Corn",2012,2012,6,133976,"MCHENRY"
"423",5,31672.6735076618,"SOYBEANS","Soy",2012,2012,6,60250,"MCHENRY"
"424",12,280.563500562043,"SWEET CORN","Sweet Corn",2012,2012,6,1579,"MCHENRY"
"425",24,1980.17624927587,"WHEAT","Winter Wheat",2012,2012,6,7368,"MCHENRY"
"426",36,669.207243587648,"HAY","Alfalfa",2012,2012,6,22814,"MCHENRY"
"427",1,81098.3962432144,"CORN","Corn",2012,2012,5,133976,"MCHENRY"
"428",5,32590.2278214552,"SOYBEANS","Soy",2012,2012,5,60250,"MCHENRY"
"429",12,280.483981708514,"SWEET CORN","Sweet Corn",2012,2012,5,1579,"MCHENRY"
"430",24,2076.10302511244,"WHEAT","Winter Wheat",2012,2012,5,7368,"MCHENRY"
"431",36,670.211146139648,"HAY","Alfalfa",2012,2012,5,22814,"MCHENRY"
"432",1,85892.0840141461,"CORN","Corn",2012,2012,4,133976,"MCHENRY"
"433",5,34769.8975935586,"SOYBEANS","Soy",2012,2012,4,60250,"MCHENRY"
"434",12,278.894144757835,"SWEET CORN","Sweet Corn",2012,2012,4,1579,"MCHENRY"
"435",24,2246.19867449435,"WHEAT","Winter Wheat",2012,2012,4,7368,"MCHENRY"
"436",36,818.740210204412,"HAY","Alfalfa",2012,2012,4,22814,"MCHENRY"
"437",1,86930.8028929068,"CORN","Corn",2012,2012,3,133976,"MCHENRY"
"438",5,35128.5560007731,"SOYBEANS","Soy",2012,2012,3,60250,"MCHENRY"
"439",12,278.894144757835,"SWEET CORN","Sweet Corn",2012,2012,3,1579,"MCHENRY"
"440",24,2347.06628898539,"WHEAT","Winter Wheat",2012,2012,3,7368,"MCHENRY"
"441",36,873.419258772036,"HAY","Alfalfa",2012,2012,3,22814,"MCHENRY"
"442",1,96565.1020810884,"CORN","Corn",2012,2012,2,133976,"MCHENRY"
"443",5,39509.1746303864,"SOYBEANS","Soy",2012,2012,2,60250,"MCHENRY"
"444",12,288.021473635389,"SWEET CORN","Sweet Corn",2012,2012,2,1579,"MCHENRY"
"445",24,2727.84502804617,"WHEAT","Winter Wheat",2012,2012,2,7368,"MCHENRY"
"446",36,1320.66478863851,"HAY","Alfalfa",2012,2012,2,22814,"MCHENRY"
"447",1,98854.1346402243,"CORN","Corn",2012,2012,1,133976,"MCHENRY"
"448",5,40183.1193898867,"SOYBEANS","Soy",2012,2012,1,60250,"MCHENRY"
"449",12,288.030354695267,"SWEET CORN","Sweet Corn",2012,2012,1,1579,"MCHENRY"
"450",24,2846.55532669756,"WHEAT","Winter Wheat",2012,2012,1,7368,"MCHENRY"
"451",36,1427.64439783184,"HAY","Alfalfa",2012,2012,1,22814,"MCHENRY"
"828",1,49591.3288289353,"CORN","Corn",2017,2017,14,100056,"MCHENRY"
"829",5,32333.118214959,"SOYBEANS","Soy",2017,2017,14,69484,"MCHENRY"
"830",24,479.803530037612,"WHEAT","Winter Wheat",2017,2017,14,5820,"MCHENRY"
"831",36,390.134003448227,"HAY","Alfalfa",2017,2017,14,21658,"MCHENRY"
"834",1,54164.9899228693,"CORN","Corn",2017,2017,13,100056,"MCHENRY"
"835",5,35660.5436952384,"SOYBEANS","Soy",2017,2017,13,69484,"MCHENRY"
"836",24,728.430662782247,"WHEAT","Winter Wheat",2017,2017,13,5820,"MCHENRY"
"837",36,588.94947715388,"HAY","Alfalfa",2017,2017,13,21658,"MCHENRY"
"840",1,56642.0420886896,"CORN","Corn",2017,2017,12,100056,"MCHENRY"
"841",5,37006.4345856832,"SOYBEANS","Soy",2017,2017,12,69484,"MCHENRY"
"842",24,866.016495235873,"WHEAT","Winter Wheat",2017,2017,12,5820,"MCHENRY"
"843",36,728.311127367363,"HAY","Alfalfa",2017,2017,12,21658,"MCHENRY"
"846",1,59173.2604726662,"CORN","Corn",2017,2017,11,100056,"MCHENRY"
"847",5,38492.1685499246,"SOYBEANS","Soy",2017,2017,11,69484,"MCHENRY"
"848",24,977.244968816769,"WHEAT","Winter Wheat",2017,2017,11,5820,"MCHENRY"
"849",28,11.7649722905475,"OATS","Row Crops",2017,2017,11,148,"MCHENRY"
"850",36,797.911289508138,"HAY","Alfalfa",2017,2017,11,21658,"MCHENRY"
"853",1,61454.5155045758,"CORN","Corn",2017,2017,10,100056,"MCHENRY"
"854",5,40202.625033928,"SOYBEANS","Soy",2017,2017,10,69484,"MCHENRY"
"855",24,1005.04747021403,"WHEAT","Winter Wheat",2017,2017,10,5820,"MCHENRY"
"856",28,10.7581221245959,"OATS","Row Crops",2017,2017,10,148,"MCHENRY"
"857",36,872.279746039717,"HAY","Alfalfa",2017,2017,10,21658,"MCHENRY"
"861",1,62158.5108455614,"CORN","Corn",2017,2017,9,100056,"MCHENRY"
"862",5,40518.1119733959,"SOYBEANS","Soy",2017,2017,9,69484,"MCHENRY"
"863",24,1017.53599773763,"WHEAT","Winter Wheat",2017,2017,9,5820,"MCHENRY"
"864",28,11.2893176077008,"OATS","Row Crops",2017,2017,9,148,"MCHENRY"
"865",36,927.399187298096,"HAY","Alfalfa",2017,2017,9,21658,"MCHENRY"
"869",1,64870.1572745723,"CORN","Corn",2017,2017,8,100056,"MCHENRY"
"870",5,43263.6734530749,"SOYBEANS","Soy",2017,2017,8,69484,"MCHENRY"
"872",24,1147.82362060541,"WHEAT","Winter Wheat",2017,2017,8,5820,"MCHENRY"
"873",36,976.548405913789,"HAY","Alfalfa",2017,2017,8,21658,"MCHENRY"
"876",1,65920.9911696739,"CORN","Corn",2017,2017,7,100056,"MCHENRY"
"877",5,44479.9206934755,"SOYBEANS","Soy",2017,2017,7,69484,"MCHENRY"
"879",24,1077.64475227934,"WHEAT","Winter Wheat",2017,2017,7,5820,"MCHENRY"
"880",36,1043.00132197884,"HAY","Alfalfa",2017,2017,7,21658,"MCHENRY"
"883",1,66261.9518197201,"CORN","Corn",2017,2017,6,100056,"MCHENRY"
"884",5,44719.5542178272,"SOYBEANS","Soy",2017,2017,6,69484,"MCHENRY"
"886",24,1081.8958694187,"WHEAT","Winter Wheat",2017,2017,6,5820,"MCHENRY"
"887",36,1034.96417888553,"HAY","Alfalfa",2017,2017,6,21658,"MCHENRY"
"890",1,67751.2151585845,"CORN","Corn",2017,2017,5,100056,"MCHENRY"
"891",5,46223.6366336665,"SOYBEANS","Soy",2017,2017,5,69484,"MCHENRY"
"893",24,1110.64431898048,"WHEAT","Winter Wheat",2017,2017,5,5820,"MCHENRY"
"894",36,1094.23098977243,"HAY","Alfalfa",2017,2017,5,21658,"MCHENRY"
"897",1,71760.747614353,"CORN","Corn",2017,2017,4,100056,"MCHENRY"
"898",5,49375.2197030269,"SOYBEANS","Soy",2017,2017,4,69484,"MCHENRY"
"899",24,1133.44466255117,"WHEAT","Winter Wheat",2017,2017,4,5820,"MCHENRY"
"900",36,1171.38462271357,"HAY","Alfalfa",2017,2017,4,21658,"MCHENRY"
"903",1,72595.0282867841,"CORN","Corn",2017,2017,3,100056,"MCHENRY"
"904",5,50035.3950652708,"SOYBEANS","Soy",2017,2017,3,69484,"MCHENRY"
"905",24,1169.59517876596,"WHEAT","Winter Wheat",2017,2017,3,5820,"MCHENRY"
"906",36,1204.30667159285,"HAY","Alfalfa",2017,2017,3,21658,"MCHENRY"
"909",1,79559.618060646,"CORN","Corn",2017,2017,2,100056,"MCHENRY"
"910",5,57112.3095576681,"SOYBEANS","Soy",2017,2017,2,69484,"MCHENRY"
"912",24,1451.07225179059,"WHEAT","Winter Wheat",2017,2017,2,5820,"MCHENRY"
"913",28,15.7511969420715,"OATS","Row Crops",2017,2017,2,148,"MCHENRY"
"914",36,1572.13150076976,"HAY","Alfalfa",2017,2017,2,21658,"MCHENRY"
"918",1,81192.745594421,"CORN","Corn",2017,2017,1,100056,"MCHENRY"
"919",5,58366.424504542,"SOYBEANS","Soy",2017,2017,1,69484,"MCHENRY"
"921",24,1501.1381839559,"WHEAT","Winter Wheat",2017,2017,1,5820,"MCHENRY"
"922",28,16.2253346982404,"OATS","Row Crops",2017,2017,1,148,"MCHENRY"
"923",36,1818.51745583641,"HAY","Alfalfa",2017,2017,1,21658,"MCHENRY"
