"","WAUSHARA.Class","WAUSHARA.fieldacres","WAUSHARA.Commodity","WAUSHARA.Bin","WAUSHARA.Year","WAUSHARA.year","WAUSHARA.threshold","WAUSHARA.NASSacres","WAUSHARA.County"
"70",50,472.41216584844,"CUCUMBERS","Row Crops",2008,2008,10,1202,"WAUSHARA"
"71",53,1938.64789271317,"PEAS","Row Crops",2008,2008,10,1904,"WAUSHARA"
"76",1,32990.6088090384,"CORN","Corn",2008,2008,9,45057,"WAUSHARA"
"77",5,11628.9257936841,"SOYBEANS","Soy",2008,2008,9,10517,"WAUSHARA"
"78",12,9220.44487594411,"SWEET CORN","Sweet Corn",2008,2008,9,7523,"WAUSHARA"
"79",24,2469.06384723031,"WHEAT","Winter Wheat",2008,2008,9,1277,"WAUSHARA"
"80",27,144.998388912966,"RYE","Rye",2008,2008,9,720,"WAUSHARA"
"81",28,85.9530329117218,"OATS","Row Crops",2008,2008,9,468,"WAUSHARA"
"83",36,10315.0160680984,"HAY","Alfalfa",2008,2008,9,28801,"WAUSHARA"
"85",43,9887.71004342267,"POTATOES","Potatoes",2008,2008,9,9646,"WAUSHARA"
"86",50,472.905461481513,"CUCUMBERS","Row Crops",2008,2008,9,1202,"WAUSHARA"
"87",53,1938.69333406181,"PEAS","Row Crops",2008,2008,9,1904,"WAUSHARA"
"92",1,33116.370103564,"CORN","Corn",2008,2008,8,45057,"WAUSHARA"
"93",5,11664.2253851899,"SOYBEANS","Soy",2008,2008,8,10517,"WAUSHARA"
"94",12,9232.61733771223,"SWEET CORN","Sweet Corn",2008,2008,8,7523,"WAUSHARA"
"95",24,2491.89622715586,"WHEAT","Winter Wheat",2008,2008,8,1277,"WAUSHARA"
"96",27,145.479932338417,"RYE","Rye",2008,2008,8,720,"WAUSHARA"
"97",28,85.9530329117218,"OATS","Row Crops",2008,2008,8,468,"WAUSHARA"
"99",36,10506.2366582327,"HAY","Alfalfa",2008,2008,8,28801,"WAUSHARA"
"101",43,9899.76545412831,"POTATOES","Potatoes",2008,2008,8,9646,"WAUSHARA"
"102",50,472.905461481513,"CUCUMBERS","Row Crops",2008,2008,8,1202,"WAUSHARA"
"103",53,1938.82436320742,"PEAS","Row Crops",2008,2008,8,1904,"WAUSHARA"
"108",1,33328.7469463221,"CORN","Corn",2008,2008,7,45057,"WAUSHARA"
"109",5,11764.5320925967,"SOYBEANS","Soy",2008,2008,7,10517,"WAUSHARA"
"110",12,9250.17420445975,"SWEET CORN","Sweet Corn",2008,2008,7,7523,"WAUSHARA"
"111",24,2486.14788905747,"WHEAT","Winter Wheat",2008,2008,7,1277,"WAUSHARA"
"112",27,148.073758020172,"RYE","Rye",2008,2008,7,720,"WAUSHARA"
"113",28,86.5353846197083,"OATS","Row Crops",2008,2008,7,468,"WAUSHARA"
"115",36,10637.48057368,"HAY","Alfalfa",2008,2008,7,28801,"WAUSHARA"
"117",43,9907.43435735085,"POTATOES","Potatoes",2008,2008,7,9646,"WAUSHARA"
"118",50,472.905461481513,"CUCUMBERS","Row Crops",2008,2008,7,1202,"WAUSHARA"
"119",53,1939.66655692332,"PEAS","Row Crops",2008,2008,7,1904,"WAUSHARA"
"124",1,33523.3568957216,"CORN","Corn",2008,2008,6,45057,"WAUSHARA"
"125",5,11829.6563893265,"SOYBEANS","Soy",2008,2008,6,10517,"WAUSHARA"
"126",12,9266.89251079755,"SWEET CORN","Sweet Corn",2008,2008,6,7523,"WAUSHARA"
"127",24,2534.16699132565,"WHEAT","Winter Wheat",2008,2008,6,1277,"WAUSHARA"
"128",27,148.819666090392,"RYE","Rye",2008,2008,6,720,"WAUSHARA"
"129",28,86.5353846197083,"OATS","Row Crops",2008,2008,6,468,"WAUSHARA"
"131",36,10847.4073400783,"HAY","Alfalfa",2008,2008,6,28801,"WAUSHARA"
"133",43,9929.68301858789,"POTATOES","Potatoes",2008,2008,6,9646,"WAUSHARA"
"134",50,472.112155372331,"CUCUMBERS","Row Crops",2008,2008,6,1202,"WAUSHARA"
"135",53,1948.19228873985,"PEAS","Row Crops",2008,2008,6,1904,"WAUSHARA"
"140",1,33795.1503988821,"CORN","Corn",2008,2008,5,45057,"WAUSHARA"
"141",5,11898.4046963138,"SOYBEANS","Soy",2008,2008,5,10517,"WAUSHARA"
"142",12,9297.96790365216,"SWEET CORN","Sweet Corn",2008,2008,5,7523,"WAUSHARA"
"143",24,2590.76704505254,"WHEAT","Winter Wheat",2008,2008,5,1277,"WAUSHARA"
"144",27,150.734528765938,"RYE","Rye",2008,2008,5,720,"WAUSHARA"
"145",28,86.7099379990393,"OATS","Row Crops",2008,2008,5,468,"WAUSHARA"
"147",36,11330.958419903,"HAY","Alfalfa",2008,2008,5,28801,"WAUSHARA"
"149",43,9988.79361030913,"POTATOES","Potatoes",2008,2008,5,9646,"WAUSHARA"
"150",50,472.147165041018,"CUCUMBERS","Row Crops",2008,2008,5,1202,"WAUSHARA"
"151",53,1965.52788424127,"PEAS","Row Crops",2008,2008,5,1904,"WAUSHARA"
"156",1,34354.3487241552,"CORN","Corn",2008,2008,4,45057,"WAUSHARA"
"157",5,11999.6302475253,"SOYBEANS","Soy",2008,2008,4,10517,"WAUSHARA"
"158",12,9346.84785283618,"SWEET CORN","Sweet Corn",2008,2008,4,7523,"WAUSHARA"
"159",24,2665.09009794071,"WHEAT","Winter Wheat",2008,2008,4,1277,"WAUSHARA"
"160",27,148.928277756983,"RYE","Rye",2008,2008,4,720,"WAUSHARA"
"161",28,87.0067302582965,"OATS","Row Crops",2008,2008,4,468,"WAUSHARA"
"163",36,11927.3720719469,"HAY","Alfalfa",2008,2008,4,28801,"WAUSHARA"
"165",43,10054.5926440429,"POTATOES","Potatoes",2008,2008,4,9646,"WAUSHARA"
"166",50,471.328456012979,"CUCUMBERS","Row Crops",2008,2008,4,1202,"WAUSHARA"
"167",53,1971.05965797326,"PEAS","Row Crops",2008,2008,4,1904,"WAUSHARA"
"172",1,35041.7499935263,"CORN","Corn",2008,2008,3,45057,"WAUSHARA"
"173",5,12171.754193869,"SOYBEANS","Soy",2008,2008,3,10517,"WAUSHARA"
"174",12,9447.03155443864,"SWEET CORN","Sweet Corn",2008,2008,3,7523,"WAUSHARA"
"175",24,2887.49135963482,"WHEAT","Winter Wheat",2008,2008,3,1277,"WAUSHARA"
"176",27,162.06370900716,"RYE","Rye",2008,2008,3,720,"WAUSHARA"
"177",28,90.2708350394928,"OATS","Row Crops",2008,2008,3,468,"WAUSHARA"
"179",36,13246.437352243,"HAY","Alfalfa",2008,2008,3,28801,"WAUSHARA"
"181",43,10173.6457580486,"POTATOES","Potatoes",2008,2008,3,9646,"WAUSHARA"
"182",50,473.641161147078,"CUCUMBERS","Row Crops",2008,2008,3,1202,"WAUSHARA"
"183",53,1990.57911787476,"PEAS","Row Crops",2008,2008,3,1904,"WAUSHARA"
"188",1,35482.4757613706,"CORN","Corn",2008,2008,2,45057,"WAUSHARA"
"189",5,12392.4585302372,"SOYBEANS","Soy",2008,2008,2,10517,"WAUSHARA"
"190",12,9471.64043576512,"SWEET CORN","Sweet Corn",2008,2008,2,7523,"WAUSHARA"
"191",24,3183.54359341091,"WHEAT","Winter Wheat",2008,2008,2,1277,"WAUSHARA"
"192",27,167.594600195433,"RYE","Rye",2008,2008,2,720,"WAUSHARA"
"193",28,91.0926397273016,"OATS","Row Crops",2008,2008,2,468,"WAUSHARA"
"195",36,14733.0129527662,"HAY","Alfalfa",2008,2008,2,28801,"WAUSHARA"
"197",43,10192.2260457473,"POTATOES","Potatoes",2008,2008,2,9646,"WAUSHARA"
"198",50,474.190389714808,"CUCUMBERS","Row Crops",2008,2008,2,1202,"WAUSHARA"
"199",53,1989.56923931517,"PEAS","Row Crops",2008,2008,2,1904,"WAUSHARA"
"204",1,36298.2245293946,"CORN","Corn",2008,2008,1,45057,"WAUSHARA"
"205",5,12642.6493733447,"SOYBEANS","Soy",2008,2008,1,10517,"WAUSHARA"
"206",12,9460.58285622474,"SWEET CORN","Sweet Corn",2008,2008,1,7523,"WAUSHARA"
"207",24,3390.78050985448,"WHEAT","Winter Wheat",2008,2008,1,1277,"WAUSHARA"
"208",27,167.701549513812,"RYE","Rye",2008,2008,1,720,"WAUSHARA"
"209",28,91.0953507635541,"OATS","Row Crops",2008,2008,1,468,"WAUSHARA"
"211",36,17153.8064786955,"HAY","Alfalfa",2008,2008,1,28801,"WAUSHARA"
"213",43,10205.9908025757,"POTATOES","Potatoes",2008,2008,1,9646,"WAUSHARA"
"214",50,474.659817031915,"CUCUMBERS","Row Crops",2008,2008,1,1202,"WAUSHARA"
"215",53,1990.00099958942,"PEAS","Row Crops",2008,2008,1,1904,"WAUSHARA"
"931",1,28443.8343622392,"CORN","Corn",2012,2012,14,46523,"WAUSHARA"
"933",5,11186.9032763832,"SOYBEANS","Soy",2012,2012,14,17988,"WAUSHARA"
"934",12,6799.24273707216,"SWEET CORN","Sweet Corn",2012,2012,14,7619,"WAUSHARA"
"936",24,945.460095066157,"WHEAT","Winter Wheat",2012,2012,14,1435,"WAUSHARA"
"937",27,74.2701912406238,"RYE","Rye",2012,2012,14,400,"WAUSHARA"
"938",28,125.143539596719,"OATS","Row Crops",2012,2012,14,612,"WAUSHARA"
"940",36,2919.57310612273,"HAY","Alfalfa",2012,2012,14,22041,"WAUSHARA"
"943",43,11383.0362126866,"POTATOES","Potatoes",2012,2012,14,9019,"WAUSHARA"
"944",50,155.758837661446,"CUCUMBERS","Row Crops",2012,2012,14,3015,"WAUSHARA"
"945",53,876.617374603379,"PEAS","Row Crops",2012,2012,14,2682,"WAUSHARA"
"947",216,79.5689623623431,"PEPPERS","Row Crops",2012,2012,14,12,"WAUSHARA"
"948",1,33326.0288255585,"CORN","Corn",2012,2012,13,46523,"WAUSHARA"
"950",5,12252.5679417868,"SOYBEANS","Soy",2012,2012,13,17988,"WAUSHARA"
"951",12,7720.99736455018,"SWEET CORN","Sweet Corn",2012,2012,13,7619,"WAUSHARA"
"953",24,1144.89722251195,"WHEAT","Winter Wheat",2012,2012,13,1435,"WAUSHARA"
"954",27,104.000448511501,"RYE","Rye",2012,2012,13,400,"WAUSHARA"
"955",28,190.474609941534,"OATS","Row Crops",2012,2012,13,612,"WAUSHARA"
"957",36,4705.65668873473,"HAY","Alfalfa",2012,2012,13,22041,"WAUSHARA"
"960",43,13600.9817841754,"POTATOES","Potatoes",2012,2012,13,9019,"WAUSHARA"
"961",50,361.696405249836,"CUCUMBERS","Row Crops",2012,2012,13,3015,"WAUSHARA"
"962",53,933.836903824151,"PEAS","Row Crops",2012,2012,13,2682,"WAUSHARA"
"965",216,80.1016998687274,"PEPPERS","Row Crops",2012,2012,13,12,"WAUSHARA"
"966",1,35173.6193207487,"CORN","Corn",2012,2012,12,46523,"WAUSHARA"
"968",5,12750.1712377194,"SOYBEANS","Soy",2012,2012,12,17988,"WAUSHARA"
"969",12,7894.88646489057,"SWEET CORN","Sweet Corn",2012,2012,12,7619,"WAUSHARA"
"971",24,1198.75752356203,"WHEAT","Winter Wheat",2012,2012,12,1435,"WAUSHARA"
"972",27,93.8477128537824,"RYE","Rye",2012,2012,12,400,"WAUSHARA"
"973",28,219.095372066726,"OATS","Row Crops",2012,2012,12,612,"WAUSHARA"
"975",36,5452.52041027415,"HAY","Alfalfa",2012,2012,12,22041,"WAUSHARA"
"978",43,13696.9236269015,"POTATOES","Potatoes",2012,2012,12,9019,"WAUSHARA"
"979",50,385.051162340112,"CUCUMBERS","Row Crops",2012,2012,12,3015,"WAUSHARA"
"980",53,942.404618997361,"PEAS","Row Crops",2012,2012,12,2682,"WAUSHARA"
"983",216,80.1016998687274,"PEPPERS","Row Crops",2012,2012,12,12,"WAUSHARA"
"984",1,36114.1776182724,"CORN","Corn",2012,2012,11,46523,"WAUSHARA"
"986",5,12967.9786646216,"SOYBEANS","Soy",2012,2012,11,17988,"WAUSHARA"
"987",12,7951.23355724103,"SWEET CORN","Sweet Corn",2012,2012,11,7619,"WAUSHARA"
"989",24,1208.46043979902,"WHEAT","Winter Wheat",2012,2012,11,1435,"WAUSHARA"
"990",27,94.8675317790839,"RYE","Rye",2012,2012,11,400,"WAUSHARA"
"991",28,220.749899248292,"OATS","Row Crops",2012,2012,11,612,"WAUSHARA"
"993",36,5791.83201547929,"HAY","Alfalfa",2012,2012,11,22041,"WAUSHARA"
"996",43,13803.0035072737,"POTATOES","Potatoes",2012,2012,11,9019,"WAUSHARA"
"997",50,346.657749028491,"CUCUMBERS","Row Crops",2012,2012,11,3015,"WAUSHARA"
"998",53,948.837183450527,"PEAS","Row Crops",2012,2012,11,2682,"WAUSHARA"
"1001",216,81.1215927566095,"PEPPERS","Row Crops",2012,2012,11,12,"WAUSHARA"
"1002",1,36677.8733722159,"CORN","Corn",2012,2012,10,46523,"WAUSHARA"
"1004",5,13085.6315731967,"SOYBEANS","Soy",2012,2012,10,17988,"WAUSHARA"
"1005",12,7996.44677418037,"SWEET CORN","Sweet Corn",2012,2012,10,7619,"WAUSHARA"
"1007",24,1227.39939304521,"WHEAT","Winter Wheat",2012,2012,10,1435,"WAUSHARA"
"1008",27,96.7698959850812,"RYE","Rye",2012,2012,10,400,"WAUSHARA"
"1009",28,221.051060065744,"OATS","Row Crops",2012,2012,10,612,"WAUSHARA"
"1011",36,5974.21083745168,"HAY","Alfalfa",2012,2012,10,22041,"WAUSHARA"
"1014",43,13839.3302295634,"POTATOES","Potatoes",2012,2012,10,9019,"WAUSHARA"
"1015",50,347.535320959092,"CUCUMBERS","Row Crops",2012,2012,10,3015,"WAUSHARA"
"1016",53,956.510016282045,"PEAS","Row Crops",2012,2012,10,2682,"WAUSHARA"
"1019",216,81.1215927566095,"PEPPERS","Row Crops",2012,2012,10,12,"WAUSHARA"
"1020",1,36875.7148282639,"CORN","Corn",2012,2012,9,46523,"WAUSHARA"
"1022",5,13184.3898568159,"SOYBEANS","Soy",2012,2012,9,17988,"WAUSHARA"
"1023",12,8002.43863371331,"SWEET CORN","Sweet Corn",2012,2012,9,7619,"WAUSHARA"
"1025",24,1242.03056310705,"WHEAT","Winter Wheat",2012,2012,9,1435,"WAUSHARA"
"1026",27,96.7698959850812,"RYE","Rye",2012,2012,9,400,"WAUSHARA"
"1027",28,221.053321776303,"OATS","Row Crops",2012,2012,9,612,"WAUSHARA"
"1029",36,6184.83608489351,"HAY","Alfalfa",2012,2012,9,22041,"WAUSHARA"
"1032",43,13850.0017593031,"POTATOES","Potatoes",2012,2012,9,9019,"WAUSHARA"
"1033",50,347.184292168753,"CUCUMBERS","Row Crops",2012,2012,9,3015,"WAUSHARA"
"1034",53,958.014615732429,"PEAS","Row Crops",2012,2012,9,2682,"WAUSHARA"
"1037",216,81.1215927566095,"PEPPERS","Row Crops",2012,2012,9,12,"WAUSHARA"
"1038",1,37087.4459926854,"CORN","Corn",2012,2012,8,46523,"WAUSHARA"
"1040",5,13221.0974844048,"SOYBEANS","Soy",2012,2012,8,17988,"WAUSHARA"
"1041",12,8009.04506470732,"SWEET CORN","Sweet Corn",2012,2012,8,7619,"WAUSHARA"
"1043",24,1262.65863877777,"WHEAT","Winter Wheat",2012,2012,8,1435,"WAUSHARA"
"1044",27,97.1192277685602,"RYE","Rye",2012,2012,8,400,"WAUSHARA"
"1045",28,221.194652684719,"OATS","Row Crops",2012,2012,8,612,"WAUSHARA"
"1047",36,6310.74995505281,"HAY","Alfalfa",2012,2012,8,22041,"WAUSHARA"
"1050",43,13867.9227371081,"POTATOES","Potatoes",2012,2012,8,9019,"WAUSHARA"
"1051",50,347.22296660488,"CUCUMBERS","Row Crops",2012,2012,8,3015,"WAUSHARA"
"1052",53,958.298499922676,"PEAS","Row Crops",2012,2012,8,2682,"WAUSHARA"
"1055",216,81.1215927566095,"PEPPERS","Row Crops",2012,2012,8,12,"WAUSHARA"
"1056",1,37360.8678655214,"CORN","Corn",2012,2012,7,46523,"WAUSHARA"
"1058",5,13263.8781345393,"SOYBEANS","Soy",2012,2012,7,17988,"WAUSHARA"
"1059",12,8024.38308474499,"SWEET CORN","Sweet Corn",2012,2012,7,7619,"WAUSHARA"
"1061",24,1273.08778312636,"WHEAT","Winter Wheat",2012,2012,7,1435,"WAUSHARA"
"1062",27,97.179890537851,"RYE","Rye",2012,2012,7,400,"WAUSHARA"
"1063",28,221.962326657405,"OATS","Row Crops",2012,2012,7,612,"WAUSHARA"
"1065",36,6423.4496971126,"HAY","Alfalfa",2012,2012,7,22041,"WAUSHARA"
"1068",43,13890.6218640335,"POTATOES","Potatoes",2012,2012,7,9019,"WAUSHARA"
"1069",50,347.989404419119,"CUCUMBERS","Row Crops",2012,2012,7,3015,"WAUSHARA"
"1070",53,961.27087755416,"PEAS","Row Crops",2012,2012,7,2682,"WAUSHARA"
"1073",216,81.1215927566095,"PEPPERS","Row Crops",2012,2012,7,12,"WAUSHARA"
"1074",1,37694.181900299,"CORN","Corn",2012,2012,6,46523,"WAUSHARA"
"1076",5,13324.6685078024,"SOYBEANS","Soy",2012,2012,6,17988,"WAUSHARA"
"1077",12,8036.87117853777,"SWEET CORN","Sweet Corn",2012,2012,6,7619,"WAUSHARA"
"1079",24,1293.00937531609,"WHEAT","Winter Wheat",2012,2012,6,1435,"WAUSHARA"
"1080",27,98.4733260666132,"RYE","Rye",2012,2012,6,400,"WAUSHARA"
"1081",28,223.233251529984,"OATS","Row Crops",2012,2012,6,612,"WAUSHARA"
"1083",36,6567.06353779763,"HAY","Alfalfa",2012,2012,6,22041,"WAUSHARA"
"1086",43,13913.6369806102,"POTATOES","Potatoes",2012,2012,6,9019,"WAUSHARA"
"1087",50,347.5946686001,"CUCUMBERS","Row Crops",2012,2012,6,3015,"WAUSHARA"
"1088",53,962.933572503131,"PEAS","Row Crops",2012,2012,6,2682,"WAUSHARA"
"1091",216,81.1215927566095,"PEPPERS","Row Crops",2012,2012,6,12,"WAUSHARA"
"1092",1,38167.6664898119,"CORN","Corn",2012,2012,5,46523,"WAUSHARA"
"1094",5,13467.5663711008,"SOYBEANS","Soy",2012,2012,5,17988,"WAUSHARA"
"1095",12,8060.70022972519,"SWEET CORN","Sweet Corn",2012,2012,5,7619,"WAUSHARA"
"1097",24,1323.40522206064,"WHEAT","Winter Wheat",2012,2012,5,1435,"WAUSHARA"
"1098",27,98.5682637955475,"RYE","Rye",2012,2012,5,400,"WAUSHARA"
"1099",28,196.674372738232,"OATS","Row Crops",2012,2012,5,612,"WAUSHARA"
"1101",36,6840.34630285578,"HAY","Alfalfa",2012,2012,5,22041,"WAUSHARA"
"1104",43,13970.6684205151,"POTATOES","Potatoes",2012,2012,5,9019,"WAUSHARA"
"1105",50,360.682571471873,"CUCUMBERS","Row Crops",2012,2012,5,3015,"WAUSHARA"
"1106",53,977.501118336364,"PEAS","Row Crops",2012,2012,5,2682,"WAUSHARA"
"1109",216,81.1215927566095,"PEPPERS","Row Crops",2012,2012,5,12,"WAUSHARA"
"1110",1,38943.0228907987,"CORN","Corn",2012,2012,4,46523,"WAUSHARA"
"1112",5,13584.7292945622,"SOYBEANS","Soy",2012,2012,4,17988,"WAUSHARA"
"1113",12,8099.33080516747,"SWEET CORN","Sweet Corn",2012,2012,4,7619,"WAUSHARA"
"1115",24,1356.67245544966,"WHEAT","Winter Wheat",2012,2012,4,1435,"WAUSHARA"
"1116",27,99.5758874315198,"RYE","Rye",2012,2012,4,400,"WAUSHARA"
"1117",28,210.432301631938,"OATS","Row Crops",2012,2012,4,612,"WAUSHARA"
"1119",36,7294.38546837691,"HAY","Alfalfa",2012,2012,4,22041,"WAUSHARA"
"1122",43,14073.1297155376,"POTATOES","Potatoes",2012,2012,4,9019,"WAUSHARA"
"1123",50,363.466163567969,"CUCUMBERS","Row Crops",2012,2012,4,3015,"WAUSHARA"
"1124",53,979.307926447643,"PEAS","Row Crops",2012,2012,4,2682,"WAUSHARA"
"1127",216,81.2270680719458,"PEPPERS","Row Crops",2012,2012,4,12,"WAUSHARA"
"1128",1,40115.1485480155,"CORN","Corn",2012,2012,3,46523,"WAUSHARA"
"1130",5,13787.5978072216,"SOYBEANS","Soy",2012,2012,3,17988,"WAUSHARA"
"1131",12,8182.75182707661,"SWEET CORN","Sweet Corn",2012,2012,3,7619,"WAUSHARA"
"1133",24,1389.17329967928,"WHEAT","Winter Wheat",2012,2012,3,1435,"WAUSHARA"
"1134",27,101.252884426964,"RYE","Rye",2012,2012,3,400,"WAUSHARA"
"1135",28,215.671894454382,"OATS","Row Crops",2012,2012,3,612,"WAUSHARA"
"1137",36,8391.10997693763,"HAY","Alfalfa",2012,2012,3,22041,"WAUSHARA"
"1140",43,14277.5665363056,"POTATOES","Potatoes",2012,2012,3,9019,"WAUSHARA"
"1141",50,366.331678271298,"CUCUMBERS","Row Crops",2012,2012,3,3015,"WAUSHARA"
"1142",53,984.927535721141,"PEAS","Row Crops",2012,2012,3,2682,"WAUSHARA"
"1145",216,81.2270680719458,"PEPPERS","Row Crops",2012,2012,3,12,"WAUSHARA"
"1146",1,41146.6685768982,"CORN","Corn",2012,2012,2,46523,"WAUSHARA"
"1148",5,13929.1432454896,"SOYBEANS","Soy",2012,2012,2,17988,"WAUSHARA"
"1149",12,8189.99137670452,"SWEET CORN","Sweet Corn",2012,2012,2,7619,"WAUSHARA"
"1151",24,1470.70026906315,"WHEAT","Winter Wheat",2012,2012,2,1435,"WAUSHARA"
"1153",27,115.956641673042,"RYE","Rye",2012,2012,2,400,"WAUSHARA"
"1154",28,217.327255554995,"OATS","Row Crops",2012,2012,2,612,"WAUSHARA"
"1156",36,9752.63359696302,"HAY","Alfalfa",2012,2012,2,22041,"WAUSHARA"
"1159",43,14335.9927935636,"POTATOES","Potatoes",2012,2012,2,9019,"WAUSHARA"
"1160",50,318.603403747338,"CUCUMBERS","Row Crops",2012,2012,2,3015,"WAUSHARA"
"1161",53,1007.2306198436,"PEAS","Row Crops",2012,2012,2,2682,"WAUSHARA"
"1164",216,81.9352962795325,"PEPPERS","Row Crops",2012,2012,2,12,"WAUSHARA"
"1165",1,42545.3233734622,"CORN","Corn",2012,2012,1,46523,"WAUSHARA"
"1167",5,14075.7347212727,"SOYBEANS","Soy",2012,2012,1,17988,"WAUSHARA"
"1168",12,8197.28029128738,"SWEET CORN","Sweet Corn",2012,2012,1,7619,"WAUSHARA"
"1170",24,1531.86456042374,"WHEAT","Winter Wheat",2012,2012,1,1435,"WAUSHARA"
"1172",27,129.209484598524,"RYE","Rye",2012,2012,1,400,"WAUSHARA"
"1173",28,216.606577834332,"OATS","Row Crops",2012,2012,1,612,"WAUSHARA"
"1175",36,11523.4001148075,"HAY","Alfalfa",2012,2012,1,22041,"WAUSHARA"
"1178",43,14364.3560165354,"POTATOES","Potatoes",2012,2012,1,9019,"WAUSHARA"
"1179",50,328.980691398359,"CUCUMBERS","Row Crops",2012,2012,1,3015,"WAUSHARA"
"1180",53,1007.77638996691,"PEAS","Row Crops",2012,2012,1,2682,"WAUSHARA"
"1184",216,82.8011001361499,"PEPPERS","Row Crops",2012,2012,1,12,"WAUSHARA"
"2160",1,29893.1176493308,"CORN","Corn",2017,2017,14,44408,"WAUSHARA"
