Commodity,Year,Label,Percent (%)
Wheat,2012,"Langlade County, Wisconsin",4.9
Oats,2012,"Langlade County, Wisconsin",9.9
Alfalfa,2012,"Langlade County, Wisconsin",12.4
Dry Beans,2012,"Langlade County, Wisconsin",5.0
Potatoes,2012,"Langlade County, Wisconsin",25.1
Corn,2017,"Langlade County, Wisconsin",22.4
Soybeans,2017,"Langlade County, Wisconsin",11.4
Oats,2017,"Langlade County, Wisconsin",14.7
Alfalfa,2017,"Langlade County, Wisconsin",12.7
Other Hay/Non Alfalfa,2017,"Langlade County, Wisconsin",6.0
Dry Beans,2017,"Langlade County, Wisconsin",4.2
Potatoes,2017,"Langlade County, Wisconsin",25.8
Corn,2008,"Rock County, Wisconsin",64.3
Soybeans,2008,"Rock County, Wisconsin",23.8
Alfalfa,2008,"Rock County, Wisconsin",6.5
Corn,2012,"Rock County, Wisconsin",60.0
Soybeans,2012,"Rock County, Wisconsin",30.8
Alfalfa,2012,"Rock County, Wisconsin",4.9
Corn,2017,"Rock County, Wisconsin",56.5
Soybeans,2017,"Rock County, Wisconsin",36.0
Corn,2008,"Waushara County, Wisconsin",46.3
Soybeans,2008,"Waushara County, Wisconsin",10.8
Sweet Corn,2008,"Waushara County, Wisconsin",7.7
Alfalfa,2008,"Waushara County, Wisconsin",11.7
Dry Beans,2008,"Waushara County, Wisconsin",7.8
Potatoes,2008,"Waushara County, Wisconsin",9.9
Corn,2012,"Waushara County, Wisconsin",44.3
Soybeans,2012,"Waushara County, Wisconsin",17.1
Sweet Corn,2012,"Waushara County, Wisconsin",7.3
Alfalfa,2012,"Waushara County, Wisconsin",8.2
Dry Beans,2012,"Waushara County, Wisconsin",6.7
Potatoes,2012,"Waushara County, Wisconsin",8.6
Corn,2017,"Waushara County, Wisconsin",46.1
Soybeans,2017,"Waushara County, Wisconsin",18.0
Alfalfa,2017,"Waushara County, Wisconsin",9.2
Dry Beans,2017,"Waushara County, Wisconsin",8.0
Potatoes,2017,"Waushara County, Wisconsin",9.0
