"","HURON.Class","HURON.fieldacres","HURON.Commodity","HURON.Bin","HURON.Year","HURON.year","HURON.threshold","HURON.NASSacres","HURON.County"
"746",36,18781.0284935421,"HAY","Alfalfa",2012,2012,8,21197,"HURON"
"747",41,53916.679410509,"SUGARBEETS","Sugarbeets",2012,2012,8,55896,"HURON"
"749",43,235.596840237823,"POTATOES","Potatoes",2012,2012,8,4,"HURON"
"752",1,122428.919385541,"CORN","Corn",2012,2012,7,130915,"HURON"
"753",5,43923.0235545093,"SOYBEANS","Soy",2012,2012,7,47931,"HURON"
"754",21,61.1505138391223,"BARLEY","Row Crops",2012,2012,7,226,"HURON"
"755",24,56107.5404158238,"WHEAT","Winter Wheat",2012,2012,7,110424,"HURON"
"756",27,32.8255398678113,"RYE","Rye",2012,2012,7,685,"HURON"
"757",28,425.974661847535,"OATS","Row Crops",2012,2012,7,805,"HURON"
"758",36,18923.3111519617,"HAY","Alfalfa",2012,2012,7,21197,"HURON"
"759",41,53985.2901289075,"SUGARBEETS","Sugarbeets",2012,2012,7,55896,"HURON"
"761",43,239.69492475599,"POTATOES","Potatoes",2012,2012,7,4,"HURON"
"764",1,122797.472447723,"CORN","Corn",2012,2012,6,130915,"HURON"
"765",5,44042.6639753238,"SOYBEANS","Soy",2012,2012,6,47931,"HURON"
"766",21,61.1505138391223,"BARLEY","Row Crops",2012,2012,6,226,"HURON"
"767",24,56300.6003000214,"WHEAT","Winter Wheat",2012,2012,6,110424,"HURON"
"768",27,32.8255398678113,"RYE","Rye",2012,2012,6,685,"HURON"
"769",28,427.381511030251,"OATS","Row Crops",2012,2012,6,805,"HURON"
"770",36,19042.7060661764,"HAY","Alfalfa",2012,2012,6,21197,"HURON"
"771",41,54054.7021104254,"SUGARBEETS","Sugarbeets",2012,2012,6,55896,"HURON"
"773",43,240.579495742665,"POTATOES","Potatoes",2012,2012,6,4,"HURON"
"776",1,123171.872492065,"CORN","Corn",2012,2012,5,130915,"HURON"
"777",5,44167.0778570506,"SOYBEANS","Soy",2012,2012,5,47931,"HURON"
"778",21,61.7107678386121,"BARLEY","Row Crops",2012,2012,5,226,"HURON"
"779",24,56524.8767255792,"WHEAT","Winter Wheat",2012,2012,5,110424,"HURON"
"780",27,32.8255398678113,"RYE","Rye",2012,2012,5,685,"HURON"
"781",28,427.692403869392,"OATS","Row Crops",2012,2012,5,805,"HURON"
"782",36,19274.4879618755,"HAY","Alfalfa",2012,2012,5,21197,"HURON"
"783",41,54234.3720573489,"SUGARBEETS","Sugarbeets",2012,2012,5,55896,"HURON"
"785",43,240.406287987607,"POTATOES","Potatoes",2012,2012,5,4,"HURON"
"789",1,123640.500707979,"CORN","Corn",2012,2012,4,130915,"HURON"
"790",5,44342.1475247549,"SOYBEANS","Soy",2012,2012,4,47931,"HURON"
"791",21,61.7107678386121,"BARLEY","Row Crops",2012,2012,4,226,"HURON"
"792",24,56883.7624470119,"WHEAT","Winter Wheat",2012,2012,4,110424,"HURON"
"793",27,32.8255398678113,"RYE","Rye",2012,2012,4,685,"HURON"
"794",28,428.086826523848,"OATS","Row Crops",2012,2012,4,805,"HURON"
"795",36,19426.9873777153,"HAY","Alfalfa",2012,2012,4,21197,"HURON"
"796",41,54347.642310166,"SUGARBEETS","Sugarbeets",2012,2012,4,55896,"HURON"
"798",43,239.649626958707,"POTATOES","Potatoes",2012,2012,4,4,"HURON"
"802",1,124360.069830248,"CORN","Corn",2012,2012,3,130915,"HURON"
"803",5,44428.3907683421,"SOYBEANS","Soy",2012,2012,3,47931,"HURON"
"804",21,61.7365528471948,"BARLEY","Row Crops",2012,2012,3,226,"HURON"
"805",24,57140.7027369328,"WHEAT","Winter Wheat",2012,2012,3,110424,"HURON"
"806",27,32.8255398678113,"RYE","Rye",2012,2012,3,685,"HURON"
"807",28,429.029375305416,"OATS","Row Crops",2012,2012,3,805,"HURON"
"808",36,19887.3415096599,"HAY","Alfalfa",2012,2012,3,21197,"HURON"
"809",41,54513.2519647323,"SUGARBEETS","Sugarbeets",2012,2012,3,55896,"HURON"
"811",43,236.133917827412,"POTATOES","Potatoes",2012,2012,3,4,"HURON"
"815",1,124590.887830093,"CORN","Corn",2012,2012,2,130915,"HURON"
"816",5,44520.7754388823,"SOYBEANS","Soy",2012,2012,2,47931,"HURON"
"817",21,62.0708458541577,"BARLEY","Row Crops",2012,2012,2,226,"HURON"
"818",24,57463.9774281695,"WHEAT","Winter Wheat",2012,2012,2,110424,"HURON"
"819",27,33.0206666085718,"RYE","Rye",2012,2012,2,685,"HURON"
"820",28,429.029375305416,"OATS","Row Crops",2012,2012,2,805,"HURON"
"821",36,20123.5524277219,"HAY","Alfalfa",2012,2012,2,21197,"HURON"
"822",41,54579.7461574373,"SUGARBEETS","Sugarbeets",2012,2012,2,55896,"HURON"
"824",43,240.201346786442,"POTATOES","Potatoes",2012,2012,2,4,"HURON"
"828",1,124828.758299362,"CORN","Corn",2012,2012,1,130915,"HURON"
"829",5,44531.8787102245,"SOYBEANS","Soy",2012,2012,1,47931,"HURON"
"830",21,62.0960938799268,"BARLEY","Row Crops",2012,2012,1,226,"HURON"
"831",24,57599.6063253049,"WHEAT","Winter Wheat",2012,2012,1,110424,"HURON"
"832",27,33.5173383680029,"RYE","Rye",2012,2012,1,685,"HURON"
"833",28,429.029375305416,"OATS","Row Crops",2012,2012,1,805,"HURON"
"834",36,20297.3528317858,"HAY","Alfalfa",2012,2012,1,21197,"HURON"
"835",41,54619.1672664478,"SUGARBEETS","Sugarbeets",2012,2012,1,55896,"HURON"
"837",43,240.204540690961,"POTATOES","Potatoes",2012,2012,1,4,"HURON"
"1534",1,81749.3584958839,"CORN","Corn",2017,2017,14,120605,"HURON"
"1535",5,49177.2338372121,"SOYBEANS","Soy",2017,2017,14,66153,"HURON"
"1536",21,73.9833859507434,"BARLEY","Row Crops",2017,2017,14,166,"HURON"
"1537",24,61500.2399610977,"WHEAT","Winter Wheat",2017,2017,14,150400,"HURON"
"1538",27,263.853805676632,"RYE","Rye",2017,2017,14,1784,"HURON"
"1539",28,798.959368865829,"OATS","Row Crops",2017,2017,14,1008,"HURON"
"1540",36,18345.869135696,"HAY","Alfalfa",2017,2017,14,26620,"HURON"
"1541",41,44407.1410060825,"SUGARBEETS","Sugarbeets",2017,2017,14,58745,"HURON"
"1543",43,135.563393074825,"POTATOES","Potatoes",2017,2017,14,6,"HURON"
"1548",1,88638.8481366666,"CORN","Corn",2017,2017,13,120605,"HURON"
"1549",5,52305.6968534128,"SOYBEANS","Soy",2017,2017,13,66153,"HURON"
"1550",21,76.2634279484009,"BARLEY","Row Crops",2017,2017,13,166,"HURON"
"1551",24,64624.9497963408,"WHEAT","Winter Wheat",2017,2017,13,150400,"HURON"
"1552",27,267.790569239955,"RYE","Rye",2017,2017,13,1784,"HURON"
"1553",28,873.783582607709,"OATS","Row Crops",2017,2017,13,1008,"HURON"
"1555",36,20413.9367087194,"HAY","Alfalfa",2017,2017,13,26620,"HURON"
"1556",41,47197.0814165863,"SUGARBEETS","Sugarbeets",2017,2017,13,58745,"HURON"
"1558",43,143.541947608831,"POTATOES","Potatoes",2017,2017,13,6,"HURON"
"1563",1,89801.5662944792,"CORN","Corn",2017,2017,12,120605,"HURON"
"1564",5,53171.1632570233,"SOYBEANS","Soy",2017,2017,12,66153,"HURON"
"1565",21,76.2634279484009,"BARLEY","Row Crops",2017,2017,12,166,"HURON"
"1566",24,65287.3314222145,"WHEAT","Winter Wheat",2017,2017,12,150400,"HURON"
"1567",27,272.048654728248,"RYE","Rye",2017,2017,12,1784,"HURON"
"1568",28,883.404072586073,"OATS","Row Crops",2017,2017,12,1008,"HURON"
"1570",36,21019.5909127175,"HAY","Alfalfa",2017,2017,12,26620,"HURON"
"1571",41,47594.0014381466,"SUGARBEETS","Sugarbeets",2017,2017,12,58745,"HURON"
"1573",43,144.686377857339,"POTATOES","Potatoes",2017,2017,12,6,"HURON"
"1579",1,90801.5855815098,"CORN","Corn",2017,2017,11,120605,"HURON"
"1580",5,53704.9697746884,"SOYBEANS","Soy",2017,2017,11,66153,"HURON"
"1581",21,76.2634279484009,"BARLEY","Row Crops",2017,2017,11,166,"HURON"
"1582",24,65707.1172156035,"WHEAT","Winter Wheat",2017,2017,11,150400,"HURON"
"1583",27,284.04565864396,"RYE","Rye",2017,2017,11,1784,"HURON"
"1584",28,908.67479636105,"OATS","Row Crops",2017,2017,11,1008,"HURON"
"1586",36,21290.2178104594,"HAY","Alfalfa",2017,2017,11,26620,"HURON"
"1587",41,47960.2933765828,"SUGARBEETS","Sugarbeets",2017,2017,11,58745,"HURON"
"1589",43,144.511706475718,"POTATOES","Potatoes",2017,2017,11,6,"HURON"
"1595",1,91595.8851810501,"CORN","Corn",2017,2017,10,120605,"HURON"
"1596",5,54109.5672178068,"SOYBEANS","Soy",2017,2017,10,66153,"HURON"
"1597",21,76.2634279484009,"BARLEY","Row Crops",2017,2017,10,166,"HURON"
"1598",24,65956.8682003788,"WHEAT","Winter Wheat",2017,2017,10,150400,"HURON"
"1599",27,300.015111620237,"RYE","Rye",2017,2017,10,1784,"HURON"
"1600",28,916.63490845228,"OATS","Row Crops",2017,2017,10,1008,"HURON"
"1602",36,21429.9489314837,"HAY","Alfalfa",2017,2017,10,26620,"HURON"
"1603",41,48157.833226771,"SUGARBEETS","Sugarbeets",2017,2017,10,58745,"HURON"
"1605",43,156.31409300309,"POTATOES","Potatoes",2017,2017,10,6,"HURON"
"1611",1,92102.2120780676,"CORN","Corn",2017,2017,9,120605,"HURON"
"1612",5,54332.0649882108,"SOYBEANS","Soy",2017,2017,9,66153,"HURON"
"1613",21,76.2634279484009,"BARLEY","Row Crops",2017,2017,9,166,"HURON"
"1614",24,66148.5775405846,"WHEAT","Winter Wheat",2017,2017,9,150400,"HURON"
"1615",27,291.155125648215,"RYE","Rye",2017,2017,9,1784,"HURON"
"1616",28,919.391470603568,"OATS","Row Crops",2017,2017,9,1008,"HURON"
"1618",36,21537.1853429194,"HAY","Alfalfa",2017,2017,9,26620,"HURON"
"1619",41,48303.0174511621,"SUGARBEETS","Sugarbeets",2017,2017,9,58745,"HURON"
"1621",43,156.626062160664,"POTATOES","Potatoes",2017,2017,9,6,"HURON"
"1627",1,92422.3334276501,"CORN","Corn",2017,2017,8,120605,"HURON"
"1628",5,54514.6670181509,"SOYBEANS","Soy",2017,2017,8,66153,"HURON"
"1629",21,76.3511738117932,"BARLEY","Row Crops",2017,2017,8,166,"HURON"
"1630",24,66254.987774129,"WHEAT","Winter Wheat",2017,2017,8,150400,"HURON"
"1631",27,302.812870446273,"RYE","Rye",2017,2017,8,1784,"HURON"
"1632",28,921.673446487427,"OATS","Row Crops",2017,2017,8,1008,"HURON"
"1634",36,21623.9619650622,"HAY","Alfalfa",2017,2017,8,26620,"HURON"
"1635",41,48362.7893403254,"SUGARBEETS","Sugarbeets",2017,2017,8,58745,"HURON"
"1637",43,156.891429945555,"POTATOES","Potatoes",2017,2017,8,6,"HURON"
"1643",1,92671.5769024331,"CORN","Corn",2017,2017,7,120605,"HURON"
